Player,Nation,Age,Minutes,ShotsOnTargetAgainst,GoalsAgainst,Saves,Save%,HomeTeam,Away_Team,Date,PlayerTeam
Filip Kurto,pl POL,33-273,90,4,4,0,0,Adelaide United,Macarthur FC,14/03/2025,Macarthur FC
James Delianov,au AUS,25-145,90,6,5,1,16.7,Adelaide United,Macarthur FC,14/03/2025,Adelaide United
Dylan Peraic-Cullen,au AUS,18-234,90,5,2,3,60,Auckland FC,Central Coast Mariners,16/03/2025,Central Coast Mariners
Alex Paulsen,nz NZL,22-255,90,4,2,2,50,Auckland FC,Central Coast Mariners,16/03/2025,Auckland FC
Matthew Sutton,au AUS,25-009,90,8,2,6,75,Newcastle Jets,Western United,16/03/2025,Western United
Noah James,au AUS,24-030,90,12,6,6,50,Newcastle Jets,Western United,16/03/2025,Newcastle Jets
Matt Acton,au AUS,32-285,90,3,1,2,66.7,Perth Glory,Brisbane Roar,15/03/2025,Brisbane Roar
Oliver Sail,nz NZL,29-061,90,3,3,0,0,Perth Glory,Brisbane Roar,15/03/2025,Perth Glory
Josh Oluwayemi,ng NGA,24-003,90,7,1,6,85.7,Sydney FC,Wellington Phoenix,16/03/2025,Wellington Phoenix
Harrison Devenish-Meares,au AUS,28-140,90,1,1,0,0,Sydney FC,Wellington Phoenix,16/03/2025,Sydney FC
Mitchell Langerak,au AUS,36-205,90,9,4,5,55.6,Western Sydney Wanderers,Melbourne Victory,15/03/2025,Melbourne Victory
Lawrence Thomas,au AUS,32-310,90,7,2,5,71.4,Western Sydney Wanderers,Melbourne Victory,15/03/2025,Western Sydney Wanderers
