Date,Track,Race Name,Race,Market,Selection,Number,Horse,Rank,WIN_RESULT,WIN_BSP,PLACE_RESULT,PLACE_BSP
2026-03-01,Coffs Harbour,R1 1010m Mdn,1,254557839,85319938,1,Impending Fortune,1,0.0,12.0,0.0,3.05
2026-03-01,Coffs Harbour,R1 1010m Mdn,1,254557839,86620073,3,Whatsthetimemrwolf,3,0.0,4.4,0.0,1.6
2026-03-01,Coffs Harbour,R1 1010m Mdn,1,254557839,87805066,2,Kemal,4,1.0,7.0,1.0,2.1
2026-03-01,Coffs Harbour,R1 1010m Mdn,1,254557839,88420024,7,Egyptian Lass,2,0.0,31.48,0.0,4.9
2026-03-01,Coffs Harbour,R1 1010m Mdn,1,254557839,95620738,9,Unite The Stars,5,0.0,8.0,0.0,2.26
2026-03-01,Coffs Harbour,R2 1412m CL3,2,254557842,475997,6,Gaming,3,0.0,7.77,1.0,2.98
2026-03-01,Coffs Harbour,R2 1412m CL3,2,254557842,46133756,8,Master Of Rewards,5,0.0,484.28,0.0,160.93
2026-03-01,Coffs Harbour,R2 1412m CL3,2,254557842,56684953,5,Thedaythemusicdied,4,0.0,16.02,0.0,6.4
2026-03-01,Coffs Harbour,R2 1412m CL3,2,254557842,72199742,3,Talana,2,0.0,4.12,0.0,1.94
2026-03-01,Coffs Harbour,R2 1412m CL3,2,254557842,95620739,1,Satono Invader,1,1.0,1.95,1.0,1.26
2026-03-01,Coffs Harbour,R3 1212m Mdn,3,254557845,95620743,4,Sunvolt,2,0.0,6.01,1.0,1.99
2026-03-01,Coffs Harbour,R3 1212m Mdn,3,254557845,95620744,5,Rubinsky,1,0.0,3.3,1.0,1.43
2026-03-01,Coffs Harbour,R3 1212m Mdn,3,254557845,95620745,6,Powerful Annie,3,0.0,8.4,0.0,2.9
2026-03-01,Coffs Harbour,R3 1212m Mdn,3,254557845,95620746,7,Pratibha,4,0.0,6.8,0.0,2.62
2026-03-01,Coffs Harbour,R3 1212m Mdn,3,254557845,95620748,11,Sivo,5,1.0,10.5,1.0,2.6
2026-03-01,Coffs Harbour,R4 1412m Mdn,4,254557848,78714046,1,Burn Bobby Burn,3,0.0,9.25,0.0,2.7
2026-03-01,Coffs Harbour,R4 1412m Mdn,4,254557848,81263625,2,Stainless Steel,5,0.0,14.91,1.0,2.85
2026-03-01,Coffs Harbour,R4 1412m Mdn,4,254557848,95620749,3,Melaten,4,1.0,3.2,1.0,1.58
2026-03-01,Coffs Harbour,,4,254557848,95620751,5,Sarmat,2,,,,
2026-03-01,Coffs Harbour,R4 1412m Mdn,4,254557848,95620754,10,Lillie Da Pink,1,0.0,3.94,0.0,1.78
2026-03-01,Coffs Harbour,R5 1312m CL1,5,254557851,7070842,3,Constellation,2,0.0,6.38,0.0,2.36
2026-03-01,Coffs Harbour,R5 1312m CL1,5,254557851,58407152,10,Fools Play,5,0.0,13.0,0.0,3.9
2026-03-01,Coffs Harbour,R5 1312m CL1,5,254557851,67324220,9,Mum Knows,3,0.0,8.0,0.0,3.45
2026-03-01,Coffs Harbour,R5 1312m CL1,5,254557851,82344046,1,Coco Dreaming,4,0.0,12.45,0.0,5.16
2026-03-01,Coffs Harbour,R5 1312m CL1,5,254557851,95620757,5,Love N Rockets,1,1.0,10.0,1.0,3.34
2026-03-01,Coffs Harbour,R6 1212m Hcap,6,254557854,38619310,10,Little Prophet,5,1.0,55.0,1.0,7.8
2026-03-01,Coffs Harbour,R6 1212m Hcap,6,254557854,56904831,5,Monte Outlander,3,0.0,14.5,0.0,4.1
2026-03-01,Coffs Harbour,R6 1212m Hcap,6,254557854,67934984,8,Wanjina Rose,2,0.0,4.9,1.0,1.83
2026-03-01,Coffs Harbour,R6 1212m Hcap,6,254557854,73753955,4,Aye Aye Skipper,1,0.0,2.76,1.0,1.32
2026-03-01,Coffs Harbour,R6 1212m Hcap,6,254557854,95620761,13,Boom Court,4,0.0,44.0,0.0,7.8
2026-03-01,Coffs Harbour,R7 1010m CL3,7,254557857,46889347,3,Zenti,3,0.0,12.5,0.0,3.6
2026-03-01,Coffs Harbour,R7 1010m CL3,7,254557857,68449776,4,Boambee Beach,2,0.0,11.0,0.0,3.55
2026-03-01,Coffs Harbour,R7 1010m CL3,7,254557857,82857131,7,Come On Glamour,4,1.0,4.2,1.0,1.88
2026-03-01,Coffs Harbour,R7 1010m CL3,7,254557857,84471821,10,Speedy Target,5,0.0,117.63,0.0,16.35
2026-03-01,Coffs Harbour,R7 1010m CL3,7,254557857,84982049,2,Soobooco,1,0.0,6.3,0.0,2.21
2026-03-01,Colac,R1 1000m Mdn,1,254556944,71473524,8,Miss Xtravaganza,4,0.0,160.0,0.0,18.35
2026-03-01,Colac,R1 1000m Mdn,1,254556944,95621169,2,Aint A Bad Day,1,0.0,6.4,0.0,1.95
2026-03-01,Colac,R1 1000m Mdn,1,254556944,95621170,3,Real Heir,3,0.0,5.46,1.0,2.1
2026-03-01,Colac,R1 1000m Mdn,1,254556944,95621173,7,Bonifire,5,0.0,11.0,0.0,2.82
2026-03-01,Colac,R1 1000m Mdn,1,254556944,95621175,10,Symbol Of State,2,0.0,4.0,0.0,1.62
2026-03-01,Colac,R2 1600m Mdn,2,254556951,1130227,7,Message Bank,2,0.0,7.19,0.0,2.74
2026-03-01,Colac,R2 1600m Mdn,2,254556951,7364775,8,Milady,3,0.0,25.58,0.0,6.2
2026-03-01,Colac,R2 1600m Mdn,2,254556951,92784097,4,Shines Discreetly,4,0.0,36.0,0.0,7.4
2026-03-01,Colac,R2 1600m Mdn,2,254556951,93574417,2,Fire Type,5,0.0,5.4,1.0,1.91
2026-03-01,Colac,R2 1600m Mdn,2,254556951,95621179,6,Lowestoft,1,0.0,2.78,1.0,1.51
2026-03-01,Colac,R3 1200m Mdn,3,254556958,92997071,5,Pafitis,1,0.0,2.54,1.0,1.27
2026-03-01,Colac,R3 1200m Mdn,3,254556958,94060369,1,Arwyn,3,0.0,28.06,0.0,6.0
2026-03-01,Colac,R3 1200m Mdn,3,254556958,95384947,3,River Wolf,5,0.0,13.99,0.0,2.94
2026-03-01,Colac,R3 1200m Mdn,3,254556958,95621184,10,Fierce Dreams,4,0.0,3.7,1.0,1.58
2026-03-01,Colac,R3 1200m Mdn,3,254556958,95621189,16,Romuald,2,0.0,6.8,0.0,2.08
2026-03-01,Colac,R4 1000m Hcap,4,254556965,18985172,1,Avid General,1,0.0,13.56,0.0,7.2
2026-03-01,Colac,R4 1000m Hcap,4,254556965,56807613,4,Fugacity,2,0.0,4.16,0.0,2.07
2026-03-01,Colac,R4 1000m Hcap,4,254556965,65823273,7,Mr Time,4,0.0,13.0,0.0,4.8
2026-03-01,Colac,R4 1000m Hcap,4,254556965,90048745,5,Redemption Time,5,0.0,6.89,1.0,3.4
2026-03-01,Colac,R4 1000m Hcap,4,254556965,95621190,2,Gamadale Indi,3,0.0,7.29,0.0,3.74
2026-03-01,Colac,R5 2000m Hcap,5,254556972,706250,9,Downtown Man,5,0.0,20.0,0.0,4.9
2026-03-01,Colac,R5 2000m Hcap,5,254556972,3502697,5,Squander,3,0.0,2.67,0.0,1.31
2026-03-01,Colac,R5 2000m Hcap,5,254556972,85814409,2,Quick Qudos,1,1.0,5.13,1.0,1.84
2026-03-01,Colac,R5 2000m Hcap,5,254556972,92504746,7,Chartwell House,2,0.0,8.17,1.0,2.76
2026-03-01,Colac,R5 2000m Hcap,5,254556972,94688392,6,Ruscello,4,0.0,11.02,0.0,2.76
2026-03-01,Colac,R6 1200m Hcap,6,254556979,41034616,2,Port Louis,4,0.0,4.04,1.0,1.58
2026-03-01,Colac,R6 1200m Hcap,6,254556979,72915948,4,Designs Of Eight,3,1.0,2.98,1.0,1.38
2026-03-01,Colac,R6 1200m Hcap,6,254556979,82018398,8,Sweet City Dancer,2,0.0,5.73,1.0,1.78
2026-03-01,Colac,,6,254556979,85250904,3,Rubiquity,1,,,,
2026-03-01,Colac,R6 1200m Hcap,6,254556979,95621193,5,Overtoux,5,0.0,11.0,0.0,2.81
2026-03-01,Colac,R7 1600m Hcap,7,254556986,45967656,8,Red Stiletto,2,0.0,27.26,0.0,6.4
2026-03-01,Colac,R7 1600m Hcap,7,254556986,64367345,3,Cryptic Clue,3,1.0,9.38,1.0,2.6
