Date,Code,State,Venue,Tipster,Market_Id,Selection_Id,Bet_Type,Best_Bet,Bet_Text,Selection_Name,Win_Lose,  Bsp  ,   Tipster_Profit   ,   Back_Profit   ,   Lay_Profit   
1/11/2024,Thoroughbred,NSW,Moree,Mitch Lewis,235291911,4643361,BACK,TRUE,Rated Price: 2.1 | Stake: 2 Units,3. Tavros,0, $2.45 ,-$2.00 ,-$2.00 , $1.28 
1/11/2024,Thoroughbred,NSW,Moree,Mitch Lewis,235291921,52237774,BACK,FALSE,Rated Price: 3 | Stake: 1 Units,5. Hill Billy Flyer,0, $4.64 ,-$1.00 ,-$1.00 , $0.26 
1/11/2024,Thoroughbred,NSW,Moree,Mitch Lewis,235291906,1386912,BACK,FALSE,Rated Price: 3 | Stake: 1 Units,5. Gunmetal,1, $2.72 , $1.55 , $1.55 ,-$1.00 
1/11/2024,Greyhounds,NSW,Richmond,Joe Lannutti,235338885,75677308,LAY,TRUE,Rated Price: 5 | Stake: 2 Units,6. Jakey Blue,0, $2.91 , $0.97 ,-$2.00 , $0.97 
1/11/2024,Greyhounds,NSW,Richmond,Joe Lannutti,235338895,75677311,LAY,TRUE,Rated Price: 5.5 | Stake: 2 Units,8. King Cant Win,0, $4.92 , $0.47 ,-$2.00 , $0.47 
1/11/2024,Greyhounds,NSW,Richmond,Joe Lannutti,235338915,65388427,LAY,TRUE,Rated Price: 4 | Stake: 2 Units,8. Zipping Granger,0, $5.30 , $0.43 ,-$2.00 , $0.43 
1/11/2024,Greyhounds,NSW,Richmond,Joe Lannutti,235338890,74616260,BACK,TRUE,Rated Price: 2 | Stake: 3 Units,2. Late Night News,1, $1.54 , $1.51 , $1.51 ,-$3.00 
1/11/2024,Harness,VIC,Swan Hill,Brett & Darren Carroll,235340927,13127034,BACK,FALSE,Rated Price: 2.5 | Stake: 2 Units,1. Friends,0, $4.21 ,-$2.00 ,-$2.00 , $0.58 
1/11/2024,Harness,VIC,Swan Hill,Brett & Darren Carroll,235340933,50740831,BACK,FALSE,Rated Price: 3 | Stake: 2 Units,1. Dallas Miki,1, $4.60 , $6.70 , $6.70 ,-$2.00 
1/11/2024,Harness,VIC,Swan Hill,Brett & Darren Carroll,235340945,36255295,BACK,FALSE,Rated Price: 1.9 | Stake: 3 Units,6. Parisian Artiste,1, $1.84 , $2.34 , $2.34 ,-$3.00 
1/11/2024,Harness,VIC,Swan Hill,Brett & Darren Carroll,235340942,24128257,BACK,TRUE,Rated Price: 1.5 | Stake: 4 Units,13. Like A Wildfire,1, $1.61 , $2.27 , $2.27 ,-$4.00 
