EVENT_DATE,PATH,EVENT_ID,MARKET_TYPE,MARKET_ID,MARKET_NAME,SELECTION_ID,RUNNER_NAME,RUNNER_STATUS,IS_WINNER,HOME_TEAM,AWAY_TEAM,BEST_BACK_FIRST_BALL,BEST_LAY_FIRST_BALL,MATCHED_VOLUME_FIRST_BALL,BEST_BACK_FIRST_INN_FOUR_OV,BEST_LAY_FIRST_INN_FOUR_OV,MATCHED_VOLUME_FIRST_INN_FOUR_OV,BEST_BACK_FIRST_INN_SIX_OV,BEST_LAY_FIRST_INN_SIX_OV,MATCHED_VOLUME_FIRST_INN_SIX_OV,BEST_BACK_FIRST_INN_TEN_OV,BEST_LAY_FIRST_INN_TEN_OV,MATCHED_VOLUME_FIRST_INN_TEN_OV,BEST_BACK_FIRST_INN_FIFTEEN_OV,BEST_LAY_FIRST_INN_FIFTEEN_OV,MATCHED_VOLUME_FIRST_INN_FIFTEEN_OV,BEST_BACK_FIRST_INN_CONCLUSION,BEST_LAY_FIRST_INN_CONCLUSION,MATCHED_VOLUME_FIRST_INN_CONCLUSION,BEST_BACK_SECOND_INN_FOUR_OV,BEST_LAY_SECOND_INN_FOUR_OV,MATCHED_VOLUME_SECOND_INN_FOUR_OV,BEST_BACK_SECOND_INN_SIX_OV,BEST_LAY_SECOND_INN_SIX_OV,MATCHED_VOLUME_SECOND_INN_SIX_OV,BEST_BACK_SECOND_INN_TEN_OV,BEST_LAY_SECOND_INN_TEN_OV,MATCHED_VOLUME_SECOND_INN_TEN_OV,BEST_BACK_SECOND_INN_FIFTEEN_OV,BEST_LAY_SECOND_INN_FIFTEEN_OV,MATCHED_VOLUME_SECOND_INN_FIFTEEN_OV,TOTAL_MATCHED_VOLUME
2025-11-13 00:00:00.000 Z,WBBL/Sydney Sixers W v Hobart Hurricanes W,34942068,MATCH_ODDS,250372441,Match Odds,89981477,Hobart Hurricanes W,WINNER,1,Sydney Sixers W,v Hobart Hurricanes W,2.16,2.18,115020,2.18,2.18,169861.02,2.32,2.2,181093.58,2.02,2.02,590715.62,1.4,1.38,8153913.82,1.49,1.37,13537185.91,1.01,1.01,38747699.62,1.02,1.01,37972974.09,1.01,1.01,38739187.72,,1.01,38755588.06,38755762.35
2025-11-13 00:00:00.000 Z,WBBL/Sydney Sixers W v Hobart Hurricanes W,34942068,MATCH_ODDS,250372441,Match Odds,89981476,Sydney Sixers W,LOSER,0,Sydney Sixers W,v Hobart Hurricanes W,1.85,1.86,670702.14,1.9,1.83,4199286.51,1.78,1.74,5245661.49,1.99,1.97,7485435.45,3.6,3.5,9266577.27,3.3,2.86,9605033.87,260,280,9770049.27,170,110,9759636.33,200,170,9769010.1,1000,,9771399.9,9771407.06
2025-11-14 00:00:00.000 Z,WBBL/Adelaide Strikers W v Melbourne Renegades W,34948145,MATCH_ODDS,250496204,Match Odds,90023847,Adelaide Strikers W,WINNER,1,Adelaide Strikers W,v Melbourne Renegades W,1.2,1.17,7925612.16,1.4,1.37,6130712.7,1.21,1.18,8353135.68,1.31,1.3,11246816.31,1.38,1.33,15376625.17,1.2,1.18,19233968.52,1.1,1.09,29637251.35,1.06,1.05,32510103.31,1.03,1.02,36998738.71,1.01,1.01,44049248.94,44050642.8
2025-11-14 00:00:00.000 Z,WBBL/Adelaide Strikers W v Melbourne Renegades W,34948145,MATCH_ODDS,250496204,Match Odds,90021943,Melbourne Renegades W,LOSER,0,Adelaide Strikers W,v Melbourne Renegades W,6.4,6.4,443812.52,3.6,3.55,326386.27,6.6,6.2,444505.48,4.2,4.2,534022.49,3.9,2.96,894976.74,6,6.2,1133863.16,11,11,1250206.38,19,18.5,1264080.49,40,40,1280838.99,490,220,1300281.7,1301159.77
2025-11-14 00:00:00.000 Z,WBBL/Perth Scorchers W v Melbourne Stars W,34952154,MATCH_ODDS,250496038,Match Odds,90023848,Melbourne Stars W,WINNER,1,Perth Scorchers W,v Melbourne Stars W,2,2.02,209803.16,2.22,2.18,1553716.01,2.14,2.14,1836900.36,1.76,1.68,2695312.87,1.22,1.18,7264609.36,1.38,1.35,12943982.76,1.22,1.18,27512033.97,1.01,1.01,30543366.88,1.19,1.12,22833336.46,1.19,1.12,22834192.73,30588615.52
2025-11-14 00:00:00.000 Z,WBBL/Perth Scorchers W v Melbourne Stars W,34952154,MATCH_ODDS,250496038,Match Odds,90213197,Perth Scorchers W,LOSER,0,Perth Scorchers W,v Melbourne Stars W,1.98,1.99,151148.64,1.83,1.79,1774925.16,1.91,1.81,2705490.41,2.38,2.36,3399214.64,6.4,5.7,3779167.28,3.8,3.75,4207665.05,5.8,5.7,4509133.99,300,200,4535700.14,8.2,8,4458995.71,8.2,8,4458997.75,4536693.9
2025-11-15 00:00:00.000 Z,WBBL/Hobart Hurricanes W v Brisbane Heat W,34955618,MATCH_ODDS,250532506,Match Odds,90021942,Brisbane Heat W,LOSER,0,Hobart Hurricanes W,v Brisbane Heat W,1.85,1.86,425994.95,2.8,2.78,704586.76,2.38,2.36,768265.32,4.2,3.6,907216.91,2.6,2.52,713368.87,2.6,2.52,713365.18,2.12,1.98,1332011.07,2.12,2,1332858.59,,,1407176.02,2.68,2.62,713811.33,1407176.02
2025-11-15 00:00:00.000 Z,WBBL/Hobart Hurricanes W v Brisbane Heat W,34955618,MATCH_ODDS,250532506,Match Odds,89981477,Hobart Hurricanes W,WINNER,1,Hobart Hurricanes W,v Brisbane Heat W,2.16,2.18,107866.62,1.56,1.56,3068963.65,1.74,1.65,3955916.19,1.39,1.27,11740091.39,1.65,1.61,3284777.1,1.65,1.61,3283524.81,2.02,1.96,16284322.89,2.02,1.96,16284484.92,,,22686937.11,1.6,1.58,3332992.73,22686937.11
2025-11-15 00:00:00.000 Z,WBBL/Sydney Thunder W v Sydney Sixers W,34955625,MATCH_ODDS,250532684,Match Odds,89981476,Sydney Sixers W,WINNER,1,Sydney Thunder W,v Sydney Sixers W,1.98,1.99,237134.34,1.79,1.74,2078759.52,1.74,1.54,2257061.07,2.26,1.98,7085528.55,4.1,4,7716870.17,4.1,4,7718280.32,1.58,1.5,11847856.84,1.47,1.42,13020989.22,1.01,1.01,26113016.26,1.01,1.01,26178624.64,26180061.59
2025-11-15 00:00:00.000 Z,WBBL/Sydney Thunder W v Sydney Sixers W,34955625,MATCH_ODDS,250532684,Match Odds,90023791,Sydney Thunder W,LOSER,0,Sydney Thunder W,v Sydney Sixers W,2,2.02,161760.09,2.36,2.32,4531970.08,2.78,2.72,4577693.49,1.91,1.85,5450668.79,1.33,1.31,16751920.6,1.33,1.32,16756707.33,2.84,2.72,23599391.19,3.5,3.15,23714050.4,220,260,23852706.91,270,900,23854934.09,23855174.56
