Date,Code,State,Venue,Tipster,Market_Id,Selection_Id,Bet_Type,Best_Bet,Bet_Text,Selection_Name,Win_Lose, Bsp , Tipster_Profit , Back_Profit , Lay_Profit 
22/12/2024,Harness,TAS,Hobart,Jamie Cockshutt,237453438,62033150,BACK,TRUE,Rated Price:  | Stake: 5 Units,2. Sherocks Sherolls,1, $1.24 , $1.12 , $1.20 ,-$5.00 
22/12/2024,Thoroughbred,VIC,Horsham,Glenn Ingram,237423693,56905202,BACK,TRUE,Rated Price: 3 | Stake: 2 Units,1. Captain Joolian,1, $3.15 , $4.00 , $4.30 ,-$2.00 
22/12/2024,Thoroughbred,VIC,Horsham,Lachlan Mosley,237423700,58918104,BACK,TRUE,Rated Price:  | Stake: 3 Units,6. Early Warning,0, $2.05 ,-$3.00 ,-$3.00 , $2.86 
22/12/2024,Thoroughbred,SA,Mount Gambier,Lachlan Mosley,237427112,78047848,BACK,FALSE,Rated Price:  | Stake: 2 Units,9. Brown Nose Day Gal ,1, $3.58 , $4.80 , $5.16 ,-$2.00 
22/12/2024,Thoroughbred,SA,Mount Gambier,Lachlan Mosley,237427143,27057815,BACK,FALSE,Rated Price:  | Stake: 2 Units,3. Bull Dust ,1, $2.70 , $3.16 , $3.40 ,-$2.00 
22/12/2024,Thoroughbred,VIC,Sale,Chris Camilleri,237424597,69323071,BACK,FALSE,Rated Price: 3.2 | Stake: 2 Units,9. Ginger Sweet ,0, $4.40 ,-$2.00 ,-$2.00 , $0.59 
22/12/2024,Thoroughbred,NSW,Taree,Joshua Ingram,237423715,57148242,BACK,FALSE,Rated Price:  | Stake: 1 Units,1. Star Of Lullar,0, $43.78 ,-$1.00 ,-$1.00 , $0.02 
22/12/2024,Thoroughbred,NSW,Taree,Joshua Ingram,237423715,78046241,BACK,FALSE,Rated Price:  | Stake: 2 Units,9. Broken Wings,0, $5.85 ,-$2.00 ,-$2.00 , $0.41 
22/12/2024,Thoroughbred,NSW,Taree,Joshua Ingram,237423726,76006004,BACK,FALSE,Rated Price:  | Stake: 1 Units,7. Bondi Prophet,0, $4.20 ,-$1.00 ,-$1.00 , $0.31 
22/12/2024,Thoroughbred,NSW,Taree,Joshua Ingram,237423730,65823501,BACK,TRUE,Rated Price:  | Stake: 1 Units,6. Threetimesalady,0, $4.70 ,-$1.00 ,-$1.00 , $0.27 
23/12/2024,Greyhounds,NSW,Maitland,Joe Lannutti,237490818,76911943,BACK,TRUE,Rated Price: 1.9 | Stake: 4 Units,8. Dawn Raider,1, $1.54 , $2.01 , $2.16 ,-$4.00 
23/12/2024,Greyhounds,NSW,Maitland,Joe Lannutti,237490823,77729778,LAY,TRUE,Rated Price: 6 | Stake: 2 Units,6. Shorty Boy,1, $2.89 ,-$2.00 , $3.78 ,-$2.00 
23/12/2024,Greyhounds,NSW,Maitland,Joe Lannutti,237490828,77136498,BACK,TRUE,Rated Price: 1.6 | Stake: 4 Units,3. Slick Badger,1, $1.16 , $0.60 , $0.64 ,-$4.00 
23/12/2024,Greyhounds,NSW,Maitland,Joe Lannutti,237490833,73678210,LAY,TRUE,Rated Price: 6 | Stake: 2 Units,3. Cheryl Blue,0, $3.03 , $0.92 ,-$2.00 , $0.99 
23/12/2024,Greyhounds,VIC,Sandown Park,Michael Tye,237488944,78084539,BACK,FALSE,Rated Price: 2 | Stake: 2 Units,4. On The Loose ,1, $2.19 , $2.21 , $2.38 ,-$2.00 
