LOCAL_MEETING_DATE,SCHEDULED_RACE_TIME,ACTUAL_OFF_TIME,TRACK,STATE_CODE,RACE_NO,WIN_MARKET_ID,WIN_MARKET_NAME,PLACE_MARKET_ID,RACING_TYPE,DISTANCE,RACE_TYPE,SELECTION_ID,TAB_NUMBER,SELECTION_NAME,WIN_RESULT,WIN_BSP,PLACE_RESULT,PLACE_BSP,WIN_BSP_VOLUME,WIN_PREPLAY_MAX_PRICE_TAKEN,WIN_PREPLAY_MIN_PRICE_TAKEN,WIN_PREPLAY_LAST_PRICE_TAKEN,WIN_PREPLAY_WEIGHTED_AVERAGE_PRICE_TAKEN,WIN_PREPLAY_VOLUME,WIN_INPLAY_MAX_PRICE_TAKEN,WIN_INPLAY_MIN_PRICE_TAKEN,WIN_LAST_PRICE_TAKEN,WIN_INPLAY_WEIGHTED_AVERAGE_PRICE_TAKEN,WIN_INPLAY_VOLUME,PLACE_BSP_VOLUME,PLACE_MAX_PRICE_TAKEN,PLACE_MIN_PRICE_TAKEN,PLACE_LAST_PRICE_TAKEN,PLACE_WEIGHTED_AVERAGE_PRICE_TAKEN,PLACE_PREPLAY_VOLUME,BEST_AVAIL_BACK_AT_SCHEDULED_OFF,BEST_AVAIL_LAY_AT_SCHEDULED_OFF,BACK_MARKET_PERCENTAGE_AT_SCHEDULED_OFF,LAY_MARKET_PERCENTAGE_AT_SCHEDULED_OFF
1/05/2023,1:42:00 PM,1:44:24 PM,Bankstown,NSW,1,213553256,R1 1740m Pace M,213553257,Harness,1740,Pace,53976402,1,Shirley Bromac,LOSER,1.24,WINNER,,1653.29,1.7,1.24,1.25,1.31,4709.79,1.63,1.02,1.03,1.29,843.06,,1.2,1.12,1.13,1.14,1442.68,1.36,1.38,1.02,0.97
1/05/2023,1:42:00 PM,1:44:24 PM,Bankstown,NSW,1,213553256,R1 1740m Pace M,213553257,Harness,1740,Pace,17980249,2,Enable Me,LOSER,15.52,LOSER,,103.31,16.5,7.2,16.5,11.69,302.45,970,4.2,970,59.37,81.51,,2.96,1.9,2.76,2.28,543.49,10,12,1.02,0.97
1/05/2023,1:42:00 PM,1:44:24 PM,Bankstown,NSW,1,213553256,R1 1740m Pace M,213553257,Harness,1740,Pace,46496299,3,Cruznfrankie,LOSER,35.52,LOSER,,25.75,32,17.5,29,26.07,55.14,990,20,990,92.2,14.74,,5.3,4.2,5.3,4.94,23.29,23,28,1.02,0.97
1/05/2023,1:42:00 PM,1:44:24 PM,Bankstown,NSW,1,213553256,R1 1740m Pace M,213553257,Harness,1740,Pace,1070979,4,Cracker Barrel,LOSER,11.86,LOSER,,171.84,16.5,9.2,13,10.46,560.91,980,5.2,980,40.56,166.72,,6.8,2.52,2.66,3.77,617.73,10,10.5,1.02,0.97
1/05/2023,1:42:00 PM,1:44:24 PM,Bankstown,NSW,1,213553256,R1 1740m Pace M,213553257,Harness,1740,Pace,28646698,5,Major Noah William,WINNER,141.28,WINNER,,19.13,310,34,50,83.91,60.37,120,3.25,20,8.65,235.66,,19,8.8,17.5,15.89,42.18,120,160,1.02,0.97
1/05/2023,1:42:00 PM,1:44:24 PM,Bankstown,NSW,1,213553256,R1 1740m Pace M,213553257,Harness,1740,Pace,55287608,6,Deanothedinosaur,LOSER,64.2,LOSER,,36.07,60,29,42,39.92,111.4,990,55,990,107.48,16.03,,8.4,1.12,6,3.3,86.44,34,40,1.02,0.97
1/05/2023,2:17:00 PM,2:20:10 PM,Bankstown,NSW,2,213553258,R2 1740m Pace M,213553259,Harness,1740,Pace,27759715,1,Fiftyshades Cresco,LOSER,10.08,WINNER,,228.97,10.5,4.7,8.6,6.27,757.96,25,1.06,1.06,3.1,449.59,,3.7,2.02,2.92,2.51,2200.25,5.2,5.9,1.05,0.92
1/05/2023,2:17:00 PM,2:20:10 PM,Bankstown,NSW,2,213553258,R2 1740m Pace M,213553259,Harness,1740,Pace,15723093,2,Panacias Seal,LOSER,4.02,LOSER,,464.21,5.3,3.9,4.5,4.33,869.44,970,2.22,970,6.23,1355.78,,2.34,2.06,2.24,2.16,410.5,4.5,4.8,1.05,0.92
1/05/2023,2:17:00 PM,2:20:10 PM,Bankstown,NSW,2,213553258,R2 1740m Pace M,213553259,Harness,1740,Pace,27290351,3,Taramin,WINNER,2.59,WINNER,,983.02,3.55,2.66,2.76,2.98,2517.95,32,1.23,2,2.91,381.77,,2.92,1.74,1.74,1.88,331.41,3.3,3.5,1.05,0.92
1/05/2023,2:17:00 PM,2:20:10 PM,Bankstown,NSW,2,213553258,R2 1740m Pace M,213553259,Harness,1740,Pace,42170639,4,Whereishe,LOSER,75,LOSER,,40.66,95,55,65,67.07,32.49,990,32,990,108.79,8.2,,23,11,15,13.94,95.47,70,95,1.05,0.92
1/05/2023,2:17:00 PM,2:20:10 PM,Bankstown,NSW,2,213553258,R2 1740m Pace M,213553259,Harness,1740,Pace,55287609,5,Zen Master,LOSER,3.36,LOSER,,876.44,5.9,3.7,3.7,4.22,1271.26,990,2.14,990,11.75,753.89,,3.75,2.14,2.2,3.07,371.96,3.75,5,1.05,0.92
1/05/2023,2:17:00 PM,2:20:10 PM,Bankstown,NSW,2,213553258,R2 1740m Pace M,213553259,Harness,1740,Pace,38753679,6,Jeffcoate,LOSER,23.44,LOSER,,51.75,28,18.5,25,20.68,106.12,980,12,980,50.8,29.82,,8,5.2,7,6.07,68.84,20,23,1.05,0.92
