Date,Track,Race Name,Race,MarketID,SelectionID,Number,Horse,Rank,WIN_RESULT,WIN_BSP,PLACE_RESULT,PLACE_BSP
1/01/2024,Burrumbeet,R3 1350m Mdn,3,223034957,59453497,3,Lonjourno,1,0,1.69,1,1.2
1/01/2024,Burrumbeet,R3 1350m Mdn,3,223034957,499424,8,Intrusive,2,0,5.58,0,1.74
1/01/2024,Burrumbeet,R3 1350m Mdn,3,223034957,64343435,9,Glorious Machine,3,1,15.5,1,2.77
1/01/2024,Burrumbeet,R3 1350m Mdn,3,223034957,64343437,12,Prancingintherain,4,0,15,0,2.48
1/01/2024,Burrumbeet,R3 1350m Mdn,3,223034957,64343436,10,Hava Craicin Time,5,0,16.85,0,2.78
1/01/2024,Burrumbeet,R4 1350m Hcap,4,223034964,32456381,9,High Delta,1,0,11.5,0,2.83
1/01/2024,Burrumbeet,R4 1350m Hcap,4,223034964,39811021,2,Caboteur,2,0,7.73,1,2.6
1/01/2024,Burrumbeet,R4 1350m Hcap,4,223034964,22397039,6,Copthorne,3,1,24,1,5.6
1/01/2024,Burrumbeet,R4 1350m Hcap,4,223034964,22255273,3,Fabians Spirit,4,0,6.67,0,2.18
1/01/2024,Burrumbeet,R4 1350m Hcap,4,223034964,44993921,1,Lovano,5,0,4.8,0,1.89
1/01/2024,Burrumbeet,R5 1350m Hcap,5,223034971,64343441,4,Sistine Explorer,1,0,1.99,0,1.39
1/01/2024,Burrumbeet,R5 1350m Hcap,5,223034971,46520415,1,Sold Tha Car,2,0,6.4,0,2.54
1/01/2024,Burrumbeet,R5 1350m Hcap,5,223034971,46292045,8,Pontificate,3,0,8.62,0,3.4
1/01/2024,Burrumbeet,R5 1350m Hcap,5,223034971,64343440,3,Kathys Beau,4,1,7.56,1,2.87
1/01/2024,Burrumbeet,R5 1350m Hcap,5,223034971,45319809,5,Tatsuro,5,0,15,1,5.24
1/01/2024,Burrumbeet,R6 1800m Cup,6,223034978,17873592,4,Diplomac Jack,1,0,7.6,0,2.5
1/01/2024,Burrumbeet,R6 1800m Cup,6,223034978,36700977,5,Bannerton,2,0,4,1,1.56
1/01/2024,Burrumbeet,R6 1800m Cup,6,223034978,49807124,8,Jackand,3,0,5.82,1,1.85
1/01/2024,Burrumbeet,R6 1800m Cup,6,223034978,26083247,3,Ziggi Rocks,4,1,12,1,3.15
1/01/2024,Burrumbeet,R6 1800m Cup,6,223034978,51295207,1,Extra Elusive,5,0,5,0,2.08
1/01/2024,Burrumbeet,R7 1000m Hcap,7,223034985,22552493,13,Unique Bambino,1,0,6.65,0,2.34
1/01/2024,Burrumbeet,R7 1000m Hcap,7,223034985,24503196,5,Magestic Diva,2,0,8.45,0,2.56
1/01/2024,Burrumbeet,R7 1000m Hcap,7,223034985,19818340,2,Daskulya,3,0,4.6,1,1.79
1/01/2024,Burrumbeet,R7 1000m Hcap,7,223034985,43184588,9,Giallo,4,,,,
1/01/2024,Burrumbeet,R7 1000m Hcap,7,223034985,62393952,11,Onepointsevengone,5,0,4.07,0,1.72
1/01/2024,Canterbury,R1 1900m Mdn,1,222975977,57078143,2,Suit Of Armour,1,1,2.83,1,1.32
