EVENT_DATE,PATH,GROUP,STATE,EVENT_ID,MARKET_ID,MARKET_NAME,SELECTION_ID,RUNNER_NAME,IS_WINNER,BEST_BACK_PRICE_60_MIN_PRIOR,BEST_LAY_PRICE_60_MIN_PRIOR,IMPLIED_PROB,MATCHED_VOLUME_60_MIN_PRIOR,TOTAL_MATCHED_VOLUME,LAST_PREPLAY_PRICE
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,QLD,31355989,197241023,Seat of Herbert,2049782,Coalition,1,1.08,1.2,93%,4526.02,4526.02,1.1
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,QLD,31355989,197241023,Seat of Herbert,2365174,Any Other Party or Independent,0,30,,3%,,,
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,QLD,31355989,197241023,Seat of Herbert,2049781,Labor,0,5,,20%,32,32,4.4
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,VIC,31339813,197238482,Seat of Higgins,8498800,Independent,0,80,,1%,,,
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,VIC,31339813,197238482,Seat of Higgins,3789290,The Greens,0,4.9,20,20%,205.01,205.01,6
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,VIC,31339813,197238482,Seat of Higgins,1111887,Any Other Party,0,110,,1%,,,
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,VIC,31339813,197238482,Seat of Higgins,2049782,Coalition,0,1.56,2,64%,2335.94,2442.94,1.56
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,VIC,31339813,197238482,Seat of Higgins,2049781,Labor,1,2.5,4,40%,612.48,617.48,2.5
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,SA,31356074,197919332,Seat of Hindmarsh,2049781,Labor,1,1.01,1.07,99%,9476.44,9476.44,1.02
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,SA,31356074,197919332,Seat of Hindmarsh,2365174,Any Other Party or Independent,0,11,,9%,,,
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,SA,31356074,197919332,Seat of Hindmarsh,2049782,Coalition,0,16,,6%,,,
2022-05-27 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,QLD,31355989,197298230,Seat of Hinkler,2049782,Coalition,1,1.18,1.34,85%,4452.88,4452.88,1.13
2022-05-27 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,QLD,31355989,197298230,Seat of Hinkler,1111887,Any Other Party,0,30,,3%,,,
2022-05-27 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,QLD,31355989,197298230,Seat of Hinkler,8498800,Independent,0,4.4,,23%,110.84,110.84,9.2
2022-05-27 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,QLD,31355989,197298230,Seat of Hinkler,2049781,Labor,0,30,,3%,13.57,13.57,150
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,VIC,31339813,197919165,Seat of Holt,2049781,Labor,1,1.01,1.04,99%,10069.9,10069.9,1.02
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,VIC,31339813,197919165,Seat of Holt,2365174,Any Other Party or Independent,0,17,,6%,,,
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,VIC,31339813,197919165,Seat of Holt,2049782,Coalition,0,14,,7%,5,5,14
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,VIC,31339813,197919170,Seat of Hotham,2049781,Labor,1,1.01,1.05,99%,8082,8082,1.01
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,VIC,31339813,197919170,Seat of Hotham,2365174,Any Other Party or Independent,0,16,,6%,,,
2022-05-24 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,NSW,31355970,197238602,Seat of Hughes,2049782,Coalition,1,1.5,1.66,67%,5776.75,5902.3,1.4
2022-05-24 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,NSW,31355970,197238602,Seat of Hughes,8498800,Independent,0,2.7,,37%,789.94,789.94,5.8
2022-05-24 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,NSW,31355970,197238602,Seat of Hughes,1111887,Any Other Party,0,80,,1%,7.94,7.94,80
2022-05-24 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,NSW,31355970,197238602,Seat of Hughes,23938065,United Australia Party,0,12,,8%,268.04,268.04,15
2022-05-24 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,NSW,31355970,197238602,Seat of Hughes,2049781,Labor,0,30,,3%,19.91,19.91,30
2022-05-24 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,NSW,31355970,197917553,Seat of Hume,2049782,Coalition,1,1.02,1.09,98%,9522.78,9522.78,1.02
2022-05-24 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,NSW,31355970,197917553,Seat of Hume,8498800,Independent,0,16,,6%,37.6,37.6,11
2022-05-24 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,NSW,31355970,197917553,Seat of Hume,1111887,Any Other Party,0,18,,6%,0.14,0.14,1000
2022-05-24 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,NSW,31355970,197298493,Seat of Hunter,2049781,Labor,1,1.2,1.4,83%,6270.4,6519.52,1.2
2022-05-24 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,NSW,31355970,197298493,Seat of Hunter,2365174,Any Other Party or Independent,0,30,,3%,17.42,17.42,95
2022-05-24 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,NSW,31355970,197298493,Seat of Hunter,15724847,One Nation,0,30,,3%,96.37,96.37,1000
2022-05-24 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,NSW,31355970,197298493,Seat of Hunter,2049782,Coalition,0,3.5,,29%,446.27,446.27,3.8
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,VIC,31339813,197919145,Seat of Indi,1111887,Any Other Party,0,27,,4%,,,
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,VIC,31339813,197919145,Seat of Indi,8498800,Independent,1,1.04,1.11,96%,3510.24,4866.1,1.06
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,VIC,31339813,197919145,Seat of Indi,2049782,Coalition,0,6.8,,15%,123.62,273.62,17.5
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,VIC,31339813,197919145,Seat of Indi,2049781,Labor,0,23,,4%,0.6,0.6,1000
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,VIC,31339813,197919174,Seat of Isaacs,2049781,Labor,1,1.03,1.09,97%,2969,2969,1.03
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,VIC,31339813,197919174,Seat of Isaacs,2365174,Any Other Party or Independent,0,17,,6%,,,
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,VIC,31339813,197919174,Seat of Isaacs,2049782,Coalition,0,14,,7%,5,5,14
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,VIC,31339813,197919175,Seat of Jagajaga,2049781,Labor,1,1.01,1.07,99%,11834.38,11834.38,1.02
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,VIC,31339813,197919175,Seat of Jagajaga,2365174,Any Other Party or Independent,0,17,,6%,,,
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,VIC,31339813,197919175,Seat of Jagajaga,2049782,Coalition,0,15.5,,6%,,,
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,QLD,31355989,197919227,Seat of Kennedy,2365174,Any Other Party or Independent,0,19,,5%,1.65,1.65,19
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,QLD,31355989,197919227,Seat of Kennedy,39448080,Katters Australia Party,1,1.01,1.02,99%,9268.42,9268.42,1.01
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,QLD,31355989,197919227,Seat of Kennedy,2049782,Coalition,0,17,,6%,1.85,1.85,17
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,QLD,31355989,197919227,Seat of Kennedy,2049781,Labor,0,24,,4%,1.31,1.31,24
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,NSW,31355970,197917554,Seat of Kingsford Smith,2049781,Labor,1,1.01,1.07,99%,7941.13,7941.13,1.01
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,NSW,31355970,197917554,Seat of Kingsford Smith,2365174,Any Other Party or Independent,0,30,,3%,5,5,50
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,SA,31356074,197919266,Seat of Kingston,2049781,Labor,1,1.01,,99%,8484.32,8484.32,1.02
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,SA,31356074,197919266,Seat of Kingston,2365174,Any Other Party or Independent,0,12,,8%,,,
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,SA,31356074,197919266,Seat of Kingston,2049782,Coalition,0,16,,6%,,,
