LOCAL_MEETING_DATE,SCHEDULED_RACE_TIME,ACTUAL_OFF_TIME,TRACK,STATE_CODE,RACE_NO,WIN_MARKET_ID,WIN_MARKET_NAME,PLACE_MARKET_ID,RACING_TYPE,DISTANCE,RACE_TYPE,SELECTION_ID,TAB_NUMBER,SELECTION_NAME,WIN_RESULT,WIN_BSP,PLACE_RESULT,PLACE_BSP,WIN_BSP_VOLUME,WIN_PREPLAY_MAX_PRICE_TAKEN,WIN_PREPLAY_MIN_PRICE_TAKEN,WIN_PREPLAY_LAST_PRICE_TAKEN,WIN_PREPLAY_WEIGHTED_AVERAGE_PRICE_TAKEN,WIN_PREPLAY_VOLUME,WIN_INPLAY_MAX_PRICE_TAKEN,WIN_INPLAY_MIN_PRICE_TAKEN,WIN_LAST_PRICE_TAKEN,WIN_INPLAY_WEIGHTED_AVERAGE_PRICE_TAKEN,WIN_INPLAY_VOLUME,PLACE_BSP_VOLUME,PLACE_MAX_PRICE_TAKEN,PLACE_MIN_PRICE_TAKEN,PLACE_LAST_PRICE_TAKEN,PLACE_WEIGHTED_AVERAGE_PRICE_TAKEN,PLACE_PREPLAY_VOLUME,BEST_AVAIL_BACK_AT_SCHEDULED_OFF,BEST_AVAIL_LAY_AT_SCHEDULED_OFF,BACK_MARKET_PERCENTAGE_AT_SCHEDULED_OFF,LAY_MARKET_PERCENTAGE_AT_SCHEDULED_OFF
2026-05-01,15:12:00.000,15:12:34.000,Addington,NZ,1,257545436,R1 2600m Trot S,257545437,Harness,2600,Trot,97920162,1,Axel Rose,LOSER,,WINNER,,,4.9,3.15,3.3,3.6,63.81,16.5,1.84,11,5.79,119.45,,,,,,,3.3,4.9,1.26,0.75
2026-05-01,15:12:00.000,15:12:34.000,Addington,NZ,1,257545436,R1 2600m Trot S,257545437,Harness,2600,Trot,50089735,2,Cormoran Strike,LOSER,,LOSER,,,18,17.5,18,17.66,4.78,80,80,80,80,0.27,,6.4,6.4,6.4,6.4,7.7,17.5,36,1.26,0.75
2026-05-01,15:12:00.000,15:12:34.000,Addington,NZ,1,257545436,R1 2600m Trot S,257545437,Harness,2600,Trot,71374519,3,Luvavici,LOSER,,WINNER,,,6.8,3.2,4.5,4.19,260.92,27,2.5,13.5,9.38,10.28,,,,,,,3.75,6.8,1.26,0.75
2026-05-01,15:12:00.000,15:12:34.000,Addington,NZ,1,257545436,R1 2600m Trot S,257545437,Harness,2600,Trot,89266369,4,Zoltan Boscik,LOSER,,LOSER,,,15,8,12.5,9.9,31.66,27,22,24,23.79,0.88,,,,,,,9.4,12,1.26,0.75
2026-05-01,15:12:00.000,15:12:34.000,Addington,NZ,1,257545436,R1 2600m Trot S,257545437,Harness,2600,Trot,17311009,5,Rachmaninov,LOSER,,LOSER,,,30,29,29,29.2,4.78,55,11,55,20.12,4.32,,,,,,,29,390,1.26,0.75
2026-05-01,15:12:00.000,15:12:34.000,Addington,NZ,1,257545436,R1 2600m Trot S,257545437,Harness,2600,Trot,73104193,6,Makaku,LOSER,,LOSER,,,9.8,5.5,8.2,7.82,117.42,880,16,230,71.35,7.05,,,,,,,6.2,9.6,1.26,0.75
2026-05-01,15:12:00.000,15:12:34.000,Addington,NZ,1,257545436,R1 2600m Trot S,257545437,Harness,2600,Trot,928100,7,Dream Of You,LOSER,,LOSER,,,60,50,50,53.62,8.01,880,19,880,48.41,5.31,,,,,,,50,390,1.26,0.75
2026-05-01,15:12:00.000,15:12:34.000,Addington,NZ,1,257545436,R1 2600m Trot S,257545437,Harness,2600,Trot,1421694,8,Maui,LOSER,,LOSER,,,17.5,13,17,15.98,6.72,250,250,250,250,0.08,,,,,,,16.5,390,1.26,0.75
2026-05-01,15:12:00.000,15:12:34.000,Addington,NZ,1,257545436,R1 2600m Trot S,257545437,Harness,2600,Trot,91693581,9,One Over Da Line,WINNER,,WINNER,,,9.8,3.85,8,5.38,207.8,1.76,1.37,1.39,1.53,15.45,,1.64,1.64,1.64,1.64,0.17,4,5.7,1.26,0.75
2026-05-01,15:40:00.000,15:41:30.000,Addington,NZ,2,257545438,R2 1980m Pace M,257545439,Harness,1980,Pace,97920163,1,Could Be Katy,LOSER,,LOSER,,,4.9,3,4.6,4.02,295.21,26,12.5,15,17.66,4,,,,,,,3.75,4,1.29,0.79
2026-05-01,15:40:00.000,15:41:30.000,Addington,NZ,2,257545438,R2 1980m Pace M,257545439,Harness,1980,Pace,97920164,2,Fay Courtney,LOSER,,LOSER,,,3.25,2.4,2.56,2.48,181.48,29,12.5,29,18.17,18.05,,1.49,1.49,1.49,1.49,15.3,2.4,4.2,1.29,0.79
2026-05-01,15:40:00.000,15:41:30.000,Addington,NZ,2,257545438,R2 1980m Pace M,257545439,Harness,1980,Pace,97920165,3,Mishy,LOSER,,LOSER,,,5.5,3.75,3.85,4.27,174.78,11.5,1.3,10,1.74,65.27,,2.22,2.22,2.22,2.22,7,3.85,6.4,1.29,0.79
2026-05-01,15:40:00.000,15:41:30.000,Addington,NZ,2,257545438,R2 1980m Pace M,257545439,Harness,1980,Pace,97920166,4,Rockabilly Reign,LOSER,,LOSER,,,380,50,140,211.03,18.25,390,380,390,380.72,0.27,,,,,,,50,370,1.29,0.79
2026-05-01,15:40:00.000,15:41:30.000,Addington,NZ,2,257545438,R2 1980m Pace M,257545439,Harness,1980,Pace,2477052,5,Jennifer Robyn,LOSER,,WINNER,,,16.5,6.4,16.5,9.99,31.91,380,95,290,297.51,3.92,,,,,,,7.6,15.5,1.29,0.79
2026-05-01,15:40:00.000,15:41:30.000,Addington,NZ,2,257545438,R2 1980m Pace M,257545439,Harness,1980,Pace,47078185,6,Harrys Girl,LOSER,,LOSER,,,20,9.8,20,16.24,33.51,22,7,7,9.83,5,,,,,,,16,20,1.29,0.79
2026-05-01,15:40:00.000,15:41:30.000,Addington,NZ,2,257545438,R2 1980m Pace M,257545439,Harness,1980,Pace,97920167,7,Song Of Seas,WINNER,,WINNER,,,40,7.6,22,11.73,24.02,,,,,,,,,,,,7.4,40,1.29,0.79
2026-05-01,16:15:00.000,16:15:00.000,Addington,NZ,3,257545440,R3 2600m Pace M,257545441,Harness,2600,Pace,96457069,1,Wishing For U,LOSER,,LOSER,,,9.2,5,8.2,8.43,59.93,8.4,8,8,8.3,3,,2.38,2.38,2.38,2.38,0.08,8,9.8,1.08,0.93
2026-05-01,16:15:00.000,16:15:00.000,Addington,NZ,3,257545440,R3 2600m Pace M,257545441,Harness,2600,Pace,2355344,2,Route Sixty Six,LOSER,,WINNER,,,3.7,2.94,3.15,3.22,393.92,,,,,,,,,,,,3.1,3.4,1.08,0.93
2026-05-01,16:15:00.000,16:15:00.000,Addington,NZ,3,257545440,R3 2600m Pace M,257545441,Harness,2600,Pace,64369127,3,Normie Stead,LOSER,,LOSER,,,40,40,40,40,1.96,,,,,,,,,,,,40,55,1.08,0.93
2026-05-01,16:15:00.000,16:15:00.000,Addington,NZ,3,257545440,R3 2600m Pace M,257545441,Harness,2600,Pace,108623,4,Heaven,LOSER,,WINNER,,,9.6,7.8,9.6,8.78,49.79,,,,,,,,,,,,8.8,9.8,1.08,0.93
2026-05-01,16:15:00.000,16:15:00.000,Addington,NZ,3,257545440,R3 2600m Pace M,257545441,Harness,2600,Pace,84401440,5,Molly Maeve Estelle,LOSER,,LOSER,,,11.5,7.8,9.2,9.87,126.6,,,,,,,,,,,,8.4,9.6,1.08,0.93
2026-05-01,16:15:00.000,16:15:00.000,Addington,NZ,3,257545440,R3 2600m Pace M,257545441,Harness,2600,Pace,94951877,6,Jay R Tolkien,LOSER,,LOSER,,,16,7.6,11,11.94,66.88,,,,,,,,,,,,11,12,1.08,0.93
2026-05-01,16:15:00.000,16:15:00.000,Addington,NZ,3,257545440,R3 2600m Pace M,257545441,Harness,2600,Pace,77964709,7,Bettor Go Vinnie,WINNER,,WINNER,,,7.4,5,5.4,5.94,118.52,,,,,,,,,,,,4.9,5.6,1.08,0.93
2026-05-01,16:15:00.000,16:15:00.000,Addington,NZ,3,257545440,R3 2600m Pace M,257545441,Harness,2600,Pace,77964710,8,Crusher Lou,LOSER,,LOSER,,,19,17,17,17.5,31.54,,,,,,,,,,,,16.5,23,1.08,0.93
2026-05-01,16:15:00.000,16:15:00.000,Addington,NZ,3,257545440,R3 2600m Pace M,257545441,Harness,2600,Pace,2692495,9,Trail Boss,LOSER,,LOSER,,,55,55,55,55,1.96,,,,,,,,,,,,55,120,1.08,0.93
2026-05-01,16:40:00.000,16:40:29.000,Addington,NZ,4,257545442,R4 1980m Pace M,257545443,Harness,1980,Pace,97920168,1,Rakero Maddie,LOSER,,LOSER,,,80,46,80,57.64,1.04,880,250,250,631.39,0.46,,,,,,,26,210,1.24,0.91
2026-05-01,16:40:00.000,16:40:29.000,Addington,NZ,4,257545442,R4 1980m Pace M,257545443,Harness,1980,Pace,97920169,2,Nella Keenan,LOSER,,WINNER,,,12.5,9.8,12,11.7,47.61,230,5.1,230,17.41,22.71,,,,,,,5,19,1.24,0.91
2026-05-01,16:40:00.000,16:40:29.000,Addington,NZ,4,257545442,R4 1980m Pace M,257545443,Harness,1980,Pace,97920171,4,Wicked Deal,LOSER,,LOSER,,,16.5,16.5,16.5,16.5,1.85,990,7.2,860,344.4,3.31,,,,,,,10.5,19.5,1.24,0.91
2026-05-01,16:40:00.000,16:40:29.000,Addington,NZ,4,257545442,R4 1980m Pace M,257545443,Harness,1980,Pace,97920172,5,Rosetta Road,LOSER,,LOSER,,,19.5,15.5,15.5,17.16,5.82,860,100,860,138.57,1.29,,,,,,,14.5,32,1.24,0.91
2026-05-01,16:40:00.000,16:40:29.000,Addington,NZ,4,257545442,R4 1980m Pace M,257545443,Harness,1980,Pace,97920173,6,Ashes Of Midnight,LOSER,,LOSER,,,7,5.8,6,6.66,42.64,230,17.5,230,35.02,6.04,,,,,,,5,7.2,1.24,0.91
2026-05-01,16:40:00.000,16:40:29.000,Addington,NZ,4,257545442,R4 1980m Pace M,257545443,Harness,1980,Pace,97920174,7,Wat Fun,WINNER,,WINNER,,,1.76,1.5,1.5,1.58,1182.5,1.21,1.01,1.01,1.09,265.68,,1.87,1.22,1.22,1.49,23.22,1.57,1.59,1.24,0.91
2026-05-01,17:21:00.000,17:21:31.000,Addington,NZ,5,257545444,R5 1980m Pace M,257545445,Harness,1980,Pace,97920176,1,Betterthanbabe,LOSER,,LOSER,,,180,55,90,89.8,2.38,880,240,390,276.62,0.46,,,,,,,48,150,1.09,0.95
2026-05-01,17:21:00.000,17:21:31.000,Addington,NZ,5,257545444,R5 1980m Pace M,257545445,Harness,1980,Pace,93371028,2,Cinderella Franco,LOSER,,WINNER,,,4.5,2.48,2.94,3.54,571.44,880,1.85,880,10.41,26.79,,,,,,,2.88,2.9,1.09,0.95
2026-05-01,17:21:00.000,17:21:31.000,Addington,NZ,5,257545444,R5 1980m Pace M,257545445,Harness,1980,Pace,95966379,3,Ebony Arden,LOSER,,LOSER,,,13.5,6.8,8.6,9.88,51.1,880,19,240,119.53,4.21,,,,,,,9.6,11,1.09,0.95
2026-05-01,17:21:00.000,17:21:31.000,Addington,NZ,5,257545444,R5 1980m Pace M,257545445,Harness,1980,Pace,97920177,4,Christies Art,LOSER,,LOSER,,,16,7.8,11.5,10.36,51.4,880,19.5,880,88.45,4.46,,,,,,,11.5,15,1.09,0.95
2026-05-01,17:21:00.000,17:21:31.000,Addington,NZ,5,257545444,R5 1980m Pace M,257545445,Harness,1980,Pace,51150043,5,Diamonds Are Forever,LOSER,,LOSER,,,5.2,3.5,5.2,4.44,218.64,880,17,390,94.43,3.96,,,,,,,4,5.2,1.09,0.95
2026-05-01,17:21:00.000,17:21:31.000,Addington,NZ,5,257545444,R5 1980m Pace M,257545445,Harness,1980,Pace,82821449,6,Dynasty,WINNER,,WINNER,,,5.8,2.92,3.15,3.77,444.31,1.98,1.01,1.01,1.12,74.05,,,,,,,3.5,4.1,1.09,0.95
2026-05-01,17:59:00.000,17:59:23.000,Addington,NZ,6,257545446,R6 2600m Pace S,257545447,Harness,2600,Pace,81438149,1,Arma Hunter,LOSER,,LOSER,,,4.5,1.51,1.62,1.99,1885.31,29,1.29,6.6,5.73,18.32,,1.38,1.33,1.33,1.37,35.44,1.24,1.88,1.37,0.89
2026-05-01,17:59:00.000,17:59:23.000,Addington,NZ,6,257545446,R6 2600m Pace S,257545447,Harness,2600,Pace,39601312,2,Teds Legacy,LOSER,,LOSER,,,530,18,60,47.21,32.57,870,250,250,332,0.15,,,,,,,29,530,1.37,0.89
2026-05-01,17:59:00.000,17:59:23.000,Addington,NZ,6,257545446,R6 2600m Pace S,257545447,Harness,2600,Pace,45321445,3,Commander Ben,LOSER,,LOSER,,,350,22,110,64.59,10.87,870,250,250,398.24,0.19,,,,,,,30,150,1.37,0.89
2026-05-01,17:59:00.000,17:59:23.000,Addington,NZ,6,257545446,R6 2600m Pace S,257545447,Harness,2600,Pace,51462813,4,Bettor Be Sharp,LOSER,,LOSER,,,70,36,70,60.71,18.92,880,250,870,620.29,0.46,,4.1,4.1,4.1,4.1,5.68,36,65,1.37,0.89
2026-05-01,17:59:00.000,17:59:23.000,Addington,NZ,6,257545446,R6 2600m Pace S,257545447,Harness,2600,Pace,97920178,5,Crimson Tide,LOSER,,LOSER,,,25,7,21,15.52,76.01,870,250,870,350.02,0.15,,2.58,2.56,2.58,2.57,7.57,16,21,1.37,0.89
2026-05-01,17:59:00.000,17:59:23.000,Addington,NZ,6,257545446,R6 2600m Pace S,257545447,Harness,2600,Pace,50089794,6,Tempo Warrior,LOSER,,LOSER,,,24,8,24,14.78,71.45,9.4,9.4,9.4,9.4,8.84,,2.9,2.6,2.9,2.72,12.57,16.5,22,1.37,0.89
2026-05-01,17:59:00.000,17:59:23.000,Addington,NZ,6,257545446,R6 2600m Pace S,257545447,Harness,2600,Pace,82019866,7,Bryces Meddle,LOSER,,WINNER,,,15.5,4.4,10.5,10.03,138.61,60,4.2,60,10.43,24.46,,,,,,,9,13.5,1.37,0.89
2026-05-01,17:59:00.000,17:59:23.000,Addington,NZ,6,257545446,R6 2600m Pace S,257545447,Harness,2600,Pace,3928907,8,Biggles,LOSER,,LOSER,,,210,18,200,43.8,20.78,870,390,870,834,0.26,,,,,,,55,210,1.37,0.89
2026-05-01,17:59:00.000,17:59:23.000,Addington,NZ,6,257545446,R6 2600m Pace S,257545447,Harness,2600,Pace,28273748,9,Lester,LOSER,,WINNER,,,9.6,4.5,9,7.51,146.33,32,3.15,32,6.04,22.89,,1.84,1.79,1.79,1.82,79.35,7,8.8,1.37,0.89
2026-05-01,17:59:00.000,17:59:23.000,Addington,NZ,6,257545446,R6 2600m Pace S,257545447,Harness,2600,Pace,426411,10,Tanzania,WINNER,,WINNER,,,24,7,24,13.46,105.27,250,250,250,250,0.04,,,,,,,14.5,19,1.37,0.89
2026-05-01,18:27:00.000,18:29:22.000,Addington,NZ,7,257545448,R7 2600m Trot S,257545449,Harness,2600,Trot,61027470,1,Lil Whip,LOSER,,LOSER,,,44,19.5,42,24.17,23.25,880,390,880,635,0.04,,,,,,,20,23,1.26,0.78
2026-05-01,18:27:00.000,18:29:22.000,Addington,NZ,7,257545448,R7 2600m Trot S,257545449,Harness,2600,Trot,46080709,2,Paige,LOSER,,LOSER,,,48,23,42,29.95,20.08,880,250,880,333.87,0.17,,,,,,,24,190,1.26,0.78
2026-05-01,18:27:00.000,18:29:22.000,Addington,NZ,7,257545448,R7 2600m Trot S,257545449,Harness,2600,Trot,82048734,3,Wanna Play A Game,LOSER,,LOSER,,,18.5,10.5,18.5,12.27,111.13,880,10.5,390,34.56,2.57,,2.84,2.8,2.84,2.81,47,11.5,14,1.26,0.78
2026-05-01,18:27:00.000,18:29:22.000,Addington,NZ,7,257545448,R7 2600m Trot S,257545449,Harness,2600,Trot,78291451,4,Millie Let Loose,LOSER,,LOSER,,,11.5,7.6,7.6,9.98,108.28,390,11,250,39.83,2.26,,2.5,2.26,2.26,2.27,44,11.5,16,1.26,0.78
2026-05-01,18:27:00.000,18:29:22.000,Addington,NZ,7,257545448,R7 2600m Trot S,257545449,Harness,2600,Trot,85214173,5,Birdy,LOSER,,LOSER,,,140,27,90,37.21,22.04,250,24,250,28.09,12.37,,,,,,,36,370,1.26,0.78
2026-05-01,18:27:00.000,18:29:22.000,Addington,NZ,7,257545448,R7 2600m Trot S,257545449,Harness,2600,Trot,51150453,6,Styrax,LOSER,,LOSER,,,75,21,32,26.55,22.59,880,250,880,318.58,0.21,,,,,,,23,210,1.26,0.78
2026-05-01,18:27:00.000,18:29:22.000,Addington,NZ,7,257545448,R7 2600m Trot S,257545449,Harness,2600,Trot,6887517,8,Freya,LOSER,,WINNER,,,15.5,5.5,15.5,11.26,74.97,250,65,250,88.68,1.23,,,,,,,6,10.5,1.26,0.78
2026-05-01,18:27:00.000,18:29:22.000,Addington,NZ,7,257545448,R7 2600m Trot S,257545449,Harness,2600,Trot,61027478,9,Princess Sadie,LOSER,,WINNER,,,9.6,6.6,8.2,8.41,86.62,250,2.9,250,10.44,37.48,,2.4,2.4,2.4,2.4,5,5.4,7,1.26,0.78
