Tipster_Name,MeetingDate,TrackName,Content,International_Meeting,Racing_Code,Race,Selection,BettingStrategy,MarketType,RP,SelectionName,Stake,BestBet,Market_ID,Selection_ID,MBR,RESULT,BSP,PROFIT_BSP,PROFIT_BSP_RP,PROFIT_BESTBET
Brett & Darren Carroll,3/06/2026,Bendigo,EXPERT TIPS,FALSE,Harness,6,1,LAY,WIN,$7.00,1. Shazza Love,1,,258824450,95965242,8,0,7.87,0.13,0.00,0.00
Brett & Darren Carroll,3/06/2026,Bendigo,EXPERT TIPS,FALSE,Harness,8,6,BACK,WIN,$2.50,6. Royal Appointment,2,BEST BET,258824454,4669929,8,0,2.3,-2.00,0.00,-2.00
Jackson Oldham,3/06/2026,Sandown,EXPERT TIPS,FALSE,Thoroughbred,8,7,BACK,WIN,$2.40,7. Rodriquez,2,BEST BET,258790742,90286836,8,0,2.64,-2.00,-2.00,-2.00
Jackson Oldham,3/06/2026,Sandown,EXPERT TIPS,FALSE,Thoroughbred,8,12,LAY,WIN,$6.95,12. Lauberhorn,2,BEST BET,258790742,8970834,8,1,6.21,-2.00,-2.00,-2.00
Mitch Lewis,3/06/2026,Warwick Farm,EXPERT TIPS,FALSE,Thoroughbred,2,8,BACK,WIN,$1.80,8. Our Huntress,3,,258790784,91806884,10,0,3.01,-3.00,-3.00,0.00
Mitch Lewis,3/06/2026,Warwick Farm,EXPERT TIPS,FALSE,Thoroughbred,4,2,BACK,WIN,$2.20,2. Hovland,3,BEST BET,258790802,78289954,10,1,3.19,5.91,5.91,5.91
Mitch Lewis,3/06/2026,Warwick Farm,EXPERT TIPS,FALSE,Thoroughbred,7,6,BACK,WIN,$6.00,6. Formal,1,,258790829,80398998,10,0,4.02,-1.00,0.00,0.00
Mitch Lewis,3/06/2026,Warwick Farm,EXPERT TIPS,FALSE,Thoroughbred,7,6,BACK,PLACE,$6.00,6. Formal,1,,258790830,80398998,10,0,2.24,-1.00,0.00,0.00
Brett & Darren Carroll,4/06/2026,Kilmore,EXPERT TIPS,FALSE,Harness,2,6,BACK,WIN,$2.00,6. Big Nik,2,BEST BET,258848387,99142301,8,0,4.57,-2.00,-2.00,-2.00
Brett & Darren Carroll,4/06/2026,Kilmore,EXPERT TIPS,FALSE,Harness,4,10,BACK,WIN,$3.50,10. Tobys Shout,1,,258848391,73793683,8,0,2.69,-1.00,0.00,0.00
Brett & Darren Carroll,4/06/2026,Kilmore,EXPERT TIPS,FALSE,Harness,7,4,BACK,WIN,$2.00,4. Ijustcantseeit,1,,258848397,99142308,8,1,2.46,1.34,1.34,0.00
Michael Tye,4/06/2026,Sandown Park,EXPERT TIPS,FALSE,Greyhounds,10,2,BACK,WIN,$2.40,2. Shes Saintly ,1,,258851614,94736763,8,0,2.37,-1.00,0.00,0.00
Michael Tye,4/06/2026,Sandown Park,EXPERT TIPS,FALSE,Greyhounds,11,4,LAY,WIN,$2.50,4. Quest For Storm ,2,,258851619,97157486,8,1,3.17,-2.00,0.00,0.00
Michael Tye,4/06/2026,Sandown Park,EXPERT TIPS,FALSE,Greyhounds,2,5,LAY,WIN,$4.25,5. Paw Raelia ,2,BEST BET,258851571,99149610,8,0,3.7,0.68,0.68,0.68
Michael Tye,4/06/2026,Sandown Park,EXPERT TIPS,FALSE,Greyhounds,3,2,BACK,WIN,$1.40,2. Aydens Warrior ,2,,258851576,73919517,8,0,1.2,-2.00,0.00,0.00
Michael Tye,4/06/2026,Sandown Park,EXPERT TIPS,FALSE,Greyhounds,5,1,BACK,WIN,$2.30,1. Paw Zhana,3,BEST BET,258851587,93537302,8,1,1.82,2.26,0.00,2.26
Michael Tye,4/06/2026,Sandown Park,EXPERT TIPS,FALSE,Greyhounds,7,1,BACK,WIN,$1.33,1. Inclination ,3,,258851599,5205593,8,0,1.41,-3.00,-3.00,0.00
Michael Tye,4/06/2026,Sandown Park,EXPERT TIPS,FALSE,Greyhounds,9,2,BACK,WIN,$2.05,2. Paw Oswald ,1,,258851609,72642116,8,1,1.86,0.79,0.00,0.00
Michael Tye,5/06/2026,Bendigo,EXPERT TIPS,FALSE,Greyhounds,10,8,BACK,WIN,$5.00,8. Mepunga Lara ,2,,258884368,83052248,8,0,8.93,-2.00,-2.00,0.00
Michael Tye,5/06/2026,Bendigo,EXPERT TIPS,FALSE,Greyhounds,10,8,BACK,PLACE,$5.00,8. Mepunga Lara ,2,,258884369,83052248,8,0,3.01,-2.00,0.00,0.00
Michael Tye,5/06/2026,Bendigo,EXPERT TIPS,FALSE,Greyhounds,11,1,LAY,WIN,$2.25,1. Vista Weird,3,,258884373,83570515,8,1,1.92,-3.00,-3.00,0.00
Michael Tye,5/06/2026,Bendigo,EXPERT TIPS,FALSE,Greyhounds,3,6,BACK,WIN,$1.68,6. Dewana Family ,3,,258884333,99207548,8,0,1.58,-3.00,0.00,0.00
Michael Tye,5/06/2026,Bendigo,EXPERT TIPS,FALSE,Greyhounds,4,2,LAY,WIN,$4.80,2. Precious Robe ,2,,258884338,99207553,8,0,11.67,0.17,0.00,0.00
