Date,Code,State,Venue,Tipster,Market_Id,Selection_Id,Bet_Type,Best_Bet,Bet_Text,Selection_Name,Win_Lose,Bsp,Tipster_Profit,Back_Profit,Lay_Profit
22/07/2024,Harness,WA,Gloucester Park,Scott Hill,230880963,60190335,BACK,FALSE,Rated Price: 2.2 | Stake: 2 Units,2. Grevis,0,3.45,-2,-2.00,0.82
22/07/2024,Harness,WA,Gloucester Park,Scott Hill,230880975,23437914,BACK,FALSE,Rated Price: 3.3 | Stake: 1 Units,7. Walsh,0,4.8,-1,-1.00,0.26
22/07/2024,Harness,WA,Gloucester Park,Scott Hill,230880972,56939673,BACK,FALSE,Rated Price: 1.85 | Stake: 3 Units,2. Elwaddell,1,3,6,6.00,-3.00
22/07/2024,Harness,WA,Gloucester Park,Scott Hill,230880981,48106174,LAY,FALSE,Rated Price: 3.3 | Stake: 3 Units,8. Our Sandy Shore,1,2.77,-3,5.31,-3.00
22/07/2024,Harness,VIC,Warragul,Darren and Brett Carroll,230882600,68960166,BACK,TRUE,Rated Price: 1.5 | Stake: 3 Units,1. Goodtime Miki,1,2.71,5.13,5.13,-3.00
22/07/2024,Harness,VIC,Warragul,Darren and Brett Carroll,230882610,71685974,LAY,TRUE,Rated Price: 13 | Stake: 3 Units,7. Kimcando,0,11.23,0.293255132,-3.00,0.29
22/07/2024,Thoroughbred,NSW,Gunnedah,Joshua Ingram,230883799,3824276,BACK,TRUE,Rated Price:  | Stake: 3 Units,5. Gigaton,0,1.71,-3,-3.00,4.23
22/07/2024,Thoroughbred,NSW,Gunnedah,Joshua Ingram,230883824,71684572,BACK,FALSE,Rated Price:  | Stake: 2 Units,18. Sanzeno,0,4.5,-2,-2.00,0.57
22/07/2024,Thoroughbred,NSW,Gunnedah,Joshua Ingram,230883829,71684575,BACK,FALSE,Rated Price:  | Stake: 1 Units,4. Up The Country,0,4.6,-1,-1.00,0.28
22/07/2024,Thoroughbred,VIC,Seymour,Glenn Ingram,230853086,56053580,BACK,TRUE,Rated Price: 2.5 | Stake: 3 Units,4. Silver Waves,0,3.6,-3,-3.00,1.15
23/07/2024,Greyhounds,NSW,Gosford,Joe Lannutti,230955296,65978527,BACK,TRUE,Rated Price: 1.8 | Stake: 3 Units,2. Impress Fowler,0,1.45,-3,-3.00,6.67
