LOCAL_MEETING_DATE,SCHEDULED_RACE_TIME,ACTUAL_OFF_TIME,TRACK,STATE_CODE,RACE_NO,WIN_MARKET_ID,WIN_MARKET_NAME,PLACE_MARKET_ID,RACING_TYPE,DISTANCE,RACE_TYPE,SELECTION_ID,TAB_NUMBER,SELECTION_NAME,WIN_RESULT,WIN_BSP,PLACE_RESULT,PLACE_BSP,WIN_BSP_VOLUME,WIN_PREPLAY_MAX_PRICE_TAKEN,WIN_PREPLAY_MIN_PRICE_TAKEN,WIN_PREPLAY_LAST_PRICE_TAKEN,WIN_PREPLAY_WEIGHTED_AVERAGE_PRICE_TAKEN,WIN_PREPLAY_VOLUME,WIN_INPLAY_MAX_PRICE_TAKEN,WIN_INPLAY_MIN_PRICE_TAKEN,WIN_LAST_PRICE_TAKEN,WIN_INPLAY_WEIGHTED_AVERAGE_PRICE_TAKEN,WIN_INPLAY_VOLUME,PLACE_BSP_VOLUME,PLACE_MAX_PRICE_TAKEN,PLACE_MIN_PRICE_TAKEN,PLACE_LAST_PRICE_TAKEN,PLACE_WEIGHTED_AVERAGE_PRICE_TAKEN,PLACE_PREPLAY_VOLUME,BEST_AVAIL_BACK_AT_SCHEDULED_OFF,BEST_AVAIL_LAY_AT_SCHEDULED_OFF,BACK_MARKET_PERCENTAGE_AT_SCHEDULED_OFF,LAY_MARKET_PERCENTAGE_AT_SCHEDULED_OFF
2021-02-01,13:30:00,13:30:40,Donald,VIC,1,178629182,R1 1000m Mdn,178629181.0,Thoroughbred,1000,Mdn,37829855,1,Bartholdi Boy,LOSER,5.29,WINNER,2.28,2511.58,14.0,4.9,5.0,5.26,17648.01,750.0,4.9,750.0,12.69,469.04,770.45,2.56,1.91,2.3,2.27,1543.79,5.0,5.2,1.02,0.99
2021-02-01,13:30:00,13:30:40,Donald,VIC,1,178629182,R1 1000m Mdn,178629181.0,Thoroughbred,1000,Mdn,38352252,2,Ians Boy,LOSER,14.38,LOSER,5.68,1542.74,29.0,10.0,15.5,16.68,2867.47,780.0,14.0,750.0,23.62,206.71,315.03,6.2,3.9,5.5,5.43,287.26,15.0,16.0,1.02,0.99
2021-02-01,13:30:00,13:30:40,Donald,VIC,1,178629182,R1 1000m Mdn,178629181.0,Thoroughbred,1000,Mdn,28230647,3,Kumana,LOSER,37.36,LOSER,13.0,1476.24,55.0,17.0,44.0,40.06,1570.36,920.0,34.0,300.0,45.97,224.75,155.66,15.0,13.0,13.0,13.84,94.85,40.0,42.0,1.02,0.99
2021-02-01,13:30:00,13:30:40,Donald,VIC,1,178629182,R1 1000m Mdn,178629181.0,Thoroughbred,1000,Mdn,38352253,4,Blak Hart,LOSER,6.4,LOSER,2.52,3219.9,8.0,4.4,6.8,6.1,10288.63,880.0,6.2,700.0,15.88,535.96,1190.26,2.78,1.95,2.56,2.48,2225.06,6.2,6.6,1.02,0.99
2021-02-01,13:30:00,13:30:40,Donald,VIC,1,178629182,R1 1000m Mdn,178629181.0,Thoroughbred,1000,Mdn,38352254,5,Fleet Dreams,LOSER,23.69,LOSER,7.4,1222.31,48.0,18.0,26.0,27.82,2492.76,750.0,21.0,200.0,27.32,220.34,262.64,11.0,5.3,7.0,8.27,467.13,24.0,26.0,1.02,0.99
2021-02-01,13:30:00,13:30:40,Donald,VIC,1,178629182,R1 1000m Mdn,178629181.0,Thoroughbred,1000,Mdn,37796277,7,I Am Ready,WINNER,1.88,WINNER,1.27,7947.06,2.72,1.71,1.89,1.88,47005.52,1.89,1.01,1.01,1.27,3786.9,2943.25,1.31,1.22,1.29,1.28,5732.03,1.9,1.92,1.02,0.99
2021-02-01,14:00:00,14:00:29,Donald,VIC,2,178629184,R2 1200m Mdn,178629183.0,Thoroughbred,1200,Mdn,35934801,2,Blueberry Boy,LOSER,18.96,LOSER,7.08,888.15,24.0,9.4,19.5,17.7,2066.68,910.0,15.0,910.0,43.82,209.72,264.99,7.2,3.85,6.4,5.79,51.23,19.0,20.0,1.01,0.99
2021-02-01,14:00:00,14:00:29,Donald,VIC,2,178629184,R2 1200m Mdn,178629183.0,Thoroughbred,1200,Mdn,38352256,3,My Boy Sooty,LOSER,33.61,LOSER,11.87,907.48,110.0,32.0,36.0,40.85,1011.8,920.0,23.0,920.0,44.59,252.05,130.18,16.0,11.0,13.0,12.49,109.79,36.0,38.0,1.01,0.99
2021-02-01,14:00:00,14:00:29,Donald,VIC,2,178629184,R2 1200m Mdn,178629183.0,Thoroughbred,1200,Mdn,38352257,4,Beefiftytwo,LOSER,209.75,LOSER,81.82,396.65,460.0,48.0,160.0,189.57,226.15,900.0,65.0,65.0,238.07,18.29,39.79,90.0,30.0,90.0,61.13,28.69,160.0,200.0,1.01,0.99
2021-02-01,14:00:00,14:00:29,Donald,VIC,2,178629184,R2 1200m Mdn,178629183.0,Thoroughbred,1200,Mdn,35546116,5,Fizzar,LOSER,3.08,WINNER,1.68,3829.27,6.2,2.7,3.05,3.05,11944.17,280.0,1.5,280.0,4.88,2825.71,836.52,1.84,1.64,1.72,1.73,1777.35,3.05,3.1,1.01,0.99
