DATE,VENUE,tipster,market_id,selection_id,bet_type,bet_text,SELECTION_NAME,WIN_LOSE,BSP,Tipster_Profit,Back_Profit,Lay_Profit,
18/10/2023,Launceston,Steve Christie,219796646,57377499,Back,Back 2. Sugoi Legend,Sugoi Legend,0,4.10,-1.00,-1.00,0.32,
18/10/2023,Launceston,Steve Christie,219796646,55493824,Back,Back 7. Reward For Rosie,Reward For Rosie,0,12.00,-1.00,-1.00,0.09,
18/10/2023,Randwick,Pros Vs Bookies,219798312,61791061,Lay,Lay 1. Harlow Mist,Harlow Mist,1,3.00,-1.00,2.00,-1.00,
18/10/2023,Randwick,Jack Franklyn,219798325,60228964,Back,Back 1. Rhythm Of Love,Rhythm Of Love,0,1.61,-1.00,-1.00,1.63,
18/10/2023,Randwick,Jack Franklyn,219798332,52696598,Lay,Lay 1. Iknowastar,Iknowastar,1,2.24,-1.00,1.24,-1.00,
18/10/2023,Randwick,Pros Vs Bookies,219798332,52696598,Lay,Lay 1. Iknowastar,Iknowastar,1,2.24,-1.00,1.24,-1.00,
18/10/2023,Randwick,Jack Franklyn,219798339,164552,Back,Back 9. Port Lockroy,Port Lockroy,1,2.63,1.63,1.63,-1.00,
18/10/2023,Randwick,Pros Vs Bookies,219798346,61791074,Lay,Lay 3. Whinchat,Whinchat,0,5.10,0.24,-1.00,0.24,
18/10/2023,Randwick,Jack Franklyn,219798346,61791075,Back,Back 7. Vinnies Spirit,Vinnies Spirit,0,3.27,-1.00,-1.00,0.44,
18/10/2023,Rockhampton,Jaycin Campbell,219837488,61826873,Lay,Lay 8. Showtime Prissy,Showtime Prissy,0,3.02,0.50,-1.00,0.50,
18/10/2023,Rockhampton,Jaycin Campbell,219837498,53255072,Back,Back 4. Whos Billy,Whos Billy,1,1.88,0.88,0.88,-1.00,
18/10/2023,Rockhampton,Jaycin Campbell,219837518,47179462,Lay,Lay 2. Pretty Cindy,Pretty Cindy,0,9.46,0.12,-1.00,0.12,
18/10/2023,Rockhampton,Jaycin Campbell,219837518,48844160,Back,Back 6. Sir Banjo,Sir Banjo,0,3.31,-1.00,-1.00,0.43,
18/10/2023,Rockhampton,Jaycin Campbell,219837528,59650299,Back,Back 6. Cyndies Hope,Cyndies Hope,0,2.72,-1.00,-1.00,0.58,
19/10/2023,Albion Park,Jaycin Campbell,219891078,59812503,Lay,Lay 7. Very Handy,Very Handy,0,3.45,0.41,-1.00,0.41,
19/10/2023,Albion Park,Jaycin Campbell,219891083,45712380,Back,Back 3. Hello Cyndie,Hello Cyndie,0,2.33,-1.00,-1.00,0.75,
19/10/2023,Albion Park,Jaycin Campbell,219891088,61862064,Back,Back 6. Inconspicuous,Inconspicuous,1,4.50,3.50,3.50,-1.00,
19/10/2023,Albion Park,Jaycin Campbell,219891123,40032157,Back,Back 8. Champagne Jazzy,Champagne Jazzy,0,6.40,-1.00,-1.00,0.19,
19/10/2023,Hawkesbury,Chris Camilleri,219833036,58600671,Lay,Lay 1. Avonview,Avonview,0,2.46,0.68,-1.00,0.68,
20/10/2023,Gloucester Park,Scott Hill,219892174,53914833,Back,Back 8. Im The Black Fla,Im The Black Flash,1,1.54,0.54,0.54,-1.00,
20/10/2023,Gloucester Park,Scott Hill,219892177,28672124,Back,Back 1. Rocknroll Elliot,Rocknroll Elliot,1,2.53,1.53,1.53,-1.00,
20/10/2023,Gloucester Park,Scott Hill,219892180,42153492,Back,Back 1. Thomson Bay,Thomson Bay,1,2.84,1.84,1.84,-1.00,
20/10/2023,Gloucester Park,Scott Hill,219892183,39519582,Back,Back 1. Blitzembye,Blitzembye,0,4.30,-1.00,-1.00,0.30,
20/10/2023,Gloucester Park,Scott Hill,219892195,41745603,Back,Back 9. Youre So Fine,Youre So Fine,0,3.59,-1.00,-1.00,0.39,
20/10/2023,Gloucester Park,Scott Hill,219892198,47817343,Back,Back 4. Soho Firestone,Soho Firestone,0,5.60,-1.00,-1.00,0.22,
20/10/2023,Gloucester Park,Scott Hill,219892201,40119296,Back,Back 7. My Ultimate Baxt,My Ultimate Baxter,1,3.30,2.30,2.30,-1.00,
20/10/2023,Pakenham,Jackson Oldham,219888295,56685299,Back,Back 3. London Point,London Point,0,4.04,-1.00,-1.00,0.33,
20/10/2023,Pakenham,Jackson Oldham,219888309,61861413,Lay,Lay 2. Romas Wish,Romas Wish,0,4.78,0.26,-1.00,0.26,
20/10/2023,Taree,Jack Franklyn,219889882,43350653,Back,Back 6. Hunter Bred,Hunter Bred,0,3.89,-1.00,-1.00,0.35,
20/10/2023,Taree,Jack Franklyn,219889887,61860943,Lay,Lay 2. Oakfield Badger,Oakfield Badger,0,3.95,0.34,-1.00,0.34,
