DATE,VENUE,tipster,market_id,selection_id,bet_type,bet_text,best_bet,SELECTION_NAME,WIN_LOSE,BSP,Tipster_Profit,Back_Profit,Lay_Profit
2/04/2023,Gawler,Lachlan Mosley,212119392,54173989,Back,Back WIN #7 Currency Ka,1,Currency Kamar,0,19.5,-1,-1,0.054054054
2/04/2023,Gawler,Lachlan Mosley,212119404,45737370,Lay,Lay WIN #3 Winning Revo,2,Winning Revolution,1,2.57,-1,1.57,-1
2/04/2023,Gawler,Lachlan Mosley,212119410,41308195,Back,Back WIN #14 Last Zerpr,1,Last Zerprise,0,9.99,-1,-1,0.111234705
2/04/2023,Gawler,Lachlan Mosley,212119410,54174002,Back,Back WIN #11 Dazzling P,1,Dazzling Prospect,0,12.86,-1,-1,0.084317032
2/04/2023,Launceston,Jamie Cockshutt,212120797,41840560,Back,Back WIN #9 Major Leste,1,Major Lester,0,4.19,-1,-1,0.313479624
2/04/2023,Launceston,Jamie Cockshutt,212120797,20690215,Back,Back WIN #8 Mr Kiwi,1,Mr Kiwi,0,40,-1,-1,0.025641026
2/04/2023,Launceston,Jamie Cockshutt,212120799,13611584,Back,Back WIN #6 Alaphilippe,2,Alaphilippe,0,1.72,-1,-1,1.388888889
2/04/2023,Launceston,Jamie Cockshutt,212120801,54111729,Back,Back WIN #6 I Of The Hu,1,I Of The Hurrikane,1,4.08,3.08,3.08,-1
2/04/2023,Launceston,Jamie Cockshutt,212120801,54111728,Back,Back WIN #5 Svitolina,1,Svitolina,0,13.4,-1,-1,0.080645161
2/04/2023,Launceston,Jamie Cockshutt,212120803,54111731,Back,Back WIN #3 Rocknoverti,1,Rocknovertime,0,10,-1,-1,0.111111111
2/04/2023,Launceston,Jamie Cockshutt,212120803,24038611,Back,Back EW #2 Kadar,1,Kadar,0,11.21,-1,-1,0.097943193
2/04/2023,Launceston,Jamie Cockshutt,212120804,24038611,Back,Back EW #2 Kadar,1,Kadar,0,60,-1,-1,0.016949153
2/04/2023,Launceston,Jamie Cockshutt,212120805,38475450,Back,Back WIN #1 Boom,1,Boom,0,6.93,-1,-1,0.168634064
2/04/2023,Launceston,Jamie Cockshutt,212120805,2440454,Back,Back WIN #2 Check In,1,Check In,0,7.36,-1,-1,0.157232704
2/04/2023,Launceston,Jamie Cockshutt,212120807,28223725,Back,Back WIN #3 Star Watchi,1,Star Watching,0,4.87,-1,-1,0.258397933
2/04/2023,Launceston,Jamie Cockshutt,212120809,27550529,Back,Back WIN #7 Stevie Jolt,1,Stevie Jolt,0,9.84,-1,-1,0.113122172
2/04/2023,Launceston,Jamie Cockshutt,212120809,27046899,Back,Back WIN #10 Oneofthela,1,Oneofthelads,0,20,-1,-1,0.052631579
2/04/2023,Launceston,Jamie Cockshutt,212120811,22457908,Back,Back WIN #4 Major Davv,1,Major Davvin,0,3.3,-1,-1,0.434782609
2/04/2023,Launceston,Jamie Cockshutt,212120813,41911456,Back,Back WIN #4 Gordievsky,1,Gordievsky,0,4.16,-1,-1,0.316455696
2/04/2023,Sale,Chris Camilleri,212120827,53407564,Back,Back WIN #9 Ravin,1,Ravin,0,3.58,-1,-1,0.387596899
2/04/2023,Sale,Chris Camilleri,212120831,44364773,Back,Back WIN #3 Tobaysure,2,Tobaysure,1,2.74,1.74,1.74,-1
2/04/2023,Sale,Chris Camilleri,212120835,38721625,Lay,Lay WIN #1 Dawn County,2,Dawn County,0,6.2,0.192307692,-1,0.192307692
2/04/2023,Sale,Chris Camilleri,212120839,976439,Back,Back WIN #1 Fine Dane,1,Fine Dane,0,8.08,-1,-1,0.141242938
2/04/2023,Sale,Chris Camilleri,212120843,54174186,Back,Back WIN #2 Sweetened,1,Sweetened,1,1.67,0.67,0.67,-1
1/04/2023,Wentworth Park,David Allan,212121366,42385587,Back,Back WIN #4 Bandit Jane,1,Bandit Jane,1,2.44,1.44,1.44,-1
1/04/2023,Wentworth Park,David Allan,212121371,42256510,Lay,Lay WIN #4 Cawbourne Magic,2,Cawbourne Magic,1,2.75098641,-1,1.75098641,-1
1/04/2023,Wentworth Park,David Allan,212121381,39789004,Back,Back WIN #2 Zipping Kry,1,Zipping Kyrgios,0,6.44015914,-1,-1,0.183818152
1/04/2023,Wentworth Park,David Allan,212121381,54212415,Back,Back WIN #9 Kaheem Bale,1,Kaheem Bale,0,7,-1,-1,0.166666667
1/04/2023,Wentworth Park,David Allan,212121386,42688902,Back,Back WIN #2 Simply Limelight,2,Simply Limelight,1,3.56228998,2.56228998,2.56228998,-1
1/04/2023,Wentworth Park,David Allan,212121391,47612954,Back,Back WIN #2 Yachi Bale,1,Yachi Bale,0,3.92518694,-1,-1,0.341858493
1/04/2023,Wentworth Park,David Allan,212121401,10204659,Back,Back WIN #1 Mortified,1,Mortified,1,2.75632372,1.75632372,1.75632372,-1
4/04/2023,Gloucester Park,Scott Hill,212244320,39594729,Back,Back WIN #5 Bettors Des,1,Bettors Destroya,0,4.39465948,-1,-1,0.294580357
4/04/2023,Gloucester Park,Scott Hill,212244323,47672023,Lay,Lay WIN #5 Im Themightylucy,2,Im Themightylucy,1,2.05427216,-1,1.05427216,-1
4/04/2023,Gloucester Park,Scott Hill,212244323,8687413,Back,Back WIN #7 Mister Arde,1,Mister Ardee,0,9.34068753,-1,-1,0.119894193
4/04/2023,Gloucester Park,Scott Hill,212244326,54186186,Back,Back WIN #11 Eton Rock,2,Eton Rock,0,2.02353283,-1,-1,0.977008231
4/04/2023,Gloucester Park,Scott Hill,212244332,36331356,Back,Back #6 Speeding Star,1,Speeding Star,0,5.1024176,-1,-1,0.243758705
4/04/2023,Gloucester Park,Scott Hill,212244335,47223763,Back,Back WIN #3 Tricky Miki,1,Tricky Miki,0,1.35183936,-1,-1,2.84220617
4/04/2023,Albion Park,Ryan Spice,212244410,54187352,Back,Back WIN #9 Born To Wri,1,Born To Write,0,3.9,-1,-1,0.344827586
4/04/2023,Albion Park,Ryan Spice,212244412,54187353,Back,Back TO LAY #2 Empress Byeline,2,Empress Byeline,0,1.42,-1,-1,2.380952381
4/04/2023,Albion Park,Ryan Spice,212244414,45875835,Back,Back WIN #1 Elouise Dal,1,Elouisa Dale,0,1.85,-1,-1,1.176470588
4/04/2023,Albion Park,Ryan Spice,212244418,45303193,Back,Back WIN #5 Hold Onto Ya Bling,2,Hold Onto Ya Bling,0,1.89718568,-1,-1,1.114596479
4/04/2023,Kyneton,Glenn Ingram,212254064,7643336,Back,Back WIN #2 Whisky Mac,1,Whisky Mac,0,7.36139143,-1,-1,0.157198313
5/04/2023,Ipswich,Shane Ciurleo,212303543,54339840,Back,Back WIN #10 Zoraydah,2,Zoraydah,0,3.65,-1,-1,0.377358491
