Date,Code,State,Venue,Tipster,Market_Id,Selection_Id,Bet_Type,Best_Bet,Bet_Text,Selection_Name,Win_Lose,Bsp,Tipster_Profit,Back_Profit,Lay_Profit
2/08/2024,Greyhounds,VIC,Geelong,Michael Tye,231310097,63760325,BACK,FALSE,Rated Price : 4 | Stake: 1 Units,1. Idyllic Luther ,0,6.4,-1,-1,0.19
2/08/2024,Greyhounds,VIC,Geelong,Michael Tye,231310117,57733074,LAY,FALSE,Rated Price : 7.5 | Stake: 1 Units,1. Ice Bath Forth ,0,5.08,0.23,-1,0.25
2/08/2024,Greyhounds,VIC,Geelong,Michael Tye,231310112,67401402,BACK,FALSE,Rated Price : 3.65 | Stake: 1 Units,8. Nacho Problem,0,4.9,-1,-1,0.26
2/08/2024,Greyhounds,VIC,Geelong,Michael Tye,231310107,71223753,BACK,TRUE,Rated Price : 2.4 | Stake: 3 Units,4. Vilma Bale,0,3.15,-3,-3,1.4
2/08/2024,Greyhounds,VIC,Geelong,Michael Tye,231310132,66295692,LAY,TRUE,Rated Price : 4 | Stake: 1 Units,1.  Barbie Zeal ,0,2.84,0.51,-1,0.54
2/08/2024,Greyhounds,VIC,Geelong,Michael Tye,231310117,72201515,BACK,FALSE,Rated Price : 2.5 | Stake: 1 Units,6. Serial Sticker ,1,2.04,0.97,1.04,-1
2/08/2024,Thoroughbred,NSW,Scone,Mitch Lewis,231272298,71651264,BACK,FALSE,Rated Price : 6 | Stake: 1 Units,3. Moon Treaty,0,16.47,-1,-1,0.06
2/08/2024,Thoroughbred,NSW,Scone,Mitch Lewis,231272318,71939911,LAY,TRUE,Rated Price : 5 | Stake: 1 Units,3. Sky Artist,0,10.16,0.1,-1,0.11
2/08/2024,Thoroughbred,NSW,Scone,Mitch Lewis,231272318,72167527,BACK,FALSE,Rated Price : 3.2 | Stake: 1 Units,4. Brok Cafe,1,4.6,3.24,3.6,-1
2/08/2024,Thoroughbred,UK,Goodwood,Rory Flanagan,231283764,44926322,BACK,FALSE,Rated Price : 7 | Stake: 1 Units,Urban Sprawl,0,24.1,-1,-1,0.04
2/08/2024,Thoroughbred,UK,Goodwood,Rory Flanagan,231283764,42230284,BACK,FALSE,Rated Price : 8 | Stake: 1 Units,Two Tempting,0,21.79,-1,-1,0.05
2/08/2024,Thoroughbred,UK,Goodwood,Rory Flanagan,231283764,39693015,BACK,FALSE,Rated Price : 9 | Stake: 1 Units,Toimy Son,1,19.86,17.92,18.86,-1
2/08/2024,Thoroughbred,UK,Goodwood,Rory Flanagan,231283748,35824463,BACK,FALSE,Rated Price : 5 | Stake: 2 Units,Super Superjack,0,11.56,-2,-2,0.19
2/08/2024,Thoroughbred,UK,Goodwood,Rory Flanagan,231283796,59154553,BACK,FALSE,Rated Price : 5 | Stake: 2 Units,New Chelsea,0,4.9,-2,-2,0.51
2/08/2024,Thoroughbred,UK,Goodwood,Rory Flanagan,231283796,45448902,BACK,FALSE,Rated Price : 5 | Stake: 2 Units,Assailant,1,4.52,6.69,7.04,-2
2/08/2024,Thoroughbred,UK,Goodwood,Rory Flanagan,231283757,58186708,BACK,FALSE,Rated Price : 3 | Stake: 2 Units,Al Musmak,0,4.34,-2,-2,0.6
2/08/2024,Thoroughbred,UK,Goodwood,Rory Flanagan,231283780,49525932,BACK,FALSE,Rated Price : 2.75 | Stake: 3 Units,Ciceros Gift,0,4.3,-3,-3,0.91
2/08/2024,Thoroughbred,UK,Goodwood,Rory Flanagan,231283773,56460594,BACK,TRUE,Rated Price : 2.75 | Stake: 4 Units,Big Evs,1,2.77,6.73,7.08,-4
2/08/2024,Harness,WA,Gloucester Park,Scott Hill,231275874,60190348,LAY,FALSE,Rated Price : 2.8 | Stake: 3 Units,9. Never Ending,0,3.9,0.96,-3,1.03
2/08/2024,Harness,WA,Gloucester Park,Scott Hill,231275871,50512037,BACK,FALSE,Rated Price : 3.3 | Stake: 1 Units,5. Arma Xfactor,0,3.2,-1,-1,0.45
2/08/2024,Harness,WA,Gloucester Park,Scott Hill,231275878,72137570,BACK,FALSE,Rated Price : 8 | Stake: 1 Units,12. Hale Saint Louie,0,2.42,-1,-1,0.7
2/08/2024,Harness,WA,Gloucester Park,Scott Hill,231275865,42078348,BACK,TRUE,Rated Price : 1.85 | Stake: 3 Units,3. Winegum,0,2.09,-3,-3,2.75
2/08/2024,Thoroughbred,QLD,Ipswich,The Leg Up,231275096,62789049,LAY,FALSE,Rated Price : 4.2 | Stake: 1 Units,12. Shore To Happen,0,4.5,0.29,-1,0.29
3/08/2024,Harness,VIC,Melton,Brett & Darren Carroll,231284178,64998086,LAY,TRUE,Rated Price : 10 | Stake: 2 Units,4. El Resamo,0,21.77,0.09,-2,0.1
3/08/2024,Harness,VIC,Melton,Brett & Darren Carroll,231284160,50295842,BACK,TRUE,Rated Price : 1.8 | Stake: 3 Units,3. Layden,0,3.14,-3,-3,1.4
3/08/2024,Thoroughbred,VIC,Hamilton,Glenn Ingram,231312769,1288845,BACK,TRUE,Rated Price : 2.5 | Stake: 3 Units,3. Hand Me Down,1,2.93,5.38,5.79,-3
3/08/2024,Thoroughbred,VIC,Flemington,Jackson Oldham,231274829,69389923,LAY,TRUE,Rated Price : 8.2 | Stake: 4 Units,1. Alpine Flying,0,12.47,0.32,-4,0.35
3/08/2024,Thoroughbred,VIC,Flemington,Jackson Oldham,231274874,35802275,LAY,FALSE,Rated Price : 14 | Stake: 3 Units,3. Astero,0,8.2,0.39,-3,0.42
3/08/2024,Thoroughbred,VIC,Flemington,Jackson Oldham,231274847,72168121,BACK,FALSE,Rated Price : 2.8 | Stake: 2 Units,6. Le Zebra,0,2.89,-2,-2,1.06
3/08/2024,Thoroughbred,VIC,Flemington,Jackson Oldham,231274838,54405068,BACK,TRUE,Rated Price : 1.65 | Stake: 5 Units,3. Midtown Boss,0,2.16,-5,-5,4.31
3/08/2024,Greyhounds,WA,Mandurah,Jaycin Campbell,231338546,68930749,LAY,FALSE,Rated Price : 5 | Stake: 2 Units,5. Tear Tremor,0,7.37,0.29,-2,0.31
3/08/2024,Greyhounds,WA,Mandurah,Jaycin Campbell,231338561,69830163,LAY,TRUE,Rated Price : 5.5 | Stake: 2 Units,4. Global Tracker,0,5.3,0.43,-2,0.47
3/08/2024,Greyhounds,WA,Mandurah,Jaycin Campbell,231338546,63404132,BACK,TRUE,Rated Price : 2.5 | Stake: 2 Units,2. Brute Banner,1,2.73,3.22,3.46,-2
3/08/2024,Greyhounds,WA,Mandurah,Jaycin Campbell,231338536,51218647,BACK,FALSE,Rated Price : 2.5 | Stake: 2 Units,3. Carter Axelrod,0,2.24,-2,-2,1.61
