LOCAL_MEETING_DATE,SCHEDULED_RACE_TIME,ACTUAL_OFF_TIME,TRACK,STATE_CODE,RACE_NO,WIN_MARKET_ID,WIN_MARKET_NAME,PLACE_MARKET_ID,RACING_TYPE,DISTANCE,RACE_TYPE,SELECTION_ID,TAB_NUMBER,SELECTION_NAME,WIN_RESULT,WIN_BSP,PLACE_RESULT,PLACE_BSP,WIN_BSP_VOLUME,WIN_PREPLAY_MAX_PRICE_TAKEN,WIN_PREPLAY_MIN_PRICE_TAKEN,WIN_PREPLAY_LAST_PRICE_TAKEN,WIN_PREPLAY_WEIGHTED_AVERAGE_PRICE_TAKEN,WIN_PREPLAY_VOLUME,WIN_INPLAY_MAX_PRICE_TAKEN,WIN_INPLAY_MIN_PRICE_TAKEN,WIN_LAST_PRICE_TAKEN,WIN_INPLAY_WEIGHTED_AVERAGE_PRICE_TAKEN,WIN_INPLAY_VOLUME,PLACE_BSP_VOLUME,PLACE_MAX_PRICE_TAKEN,PLACE_MIN_PRICE_TAKEN,PLACE_LAST_PRICE_TAKEN,PLACE_WEIGHTED_AVERAGE_PRICE_TAKEN,PLACE_PREPLAY_VOLUME,BEST_AVAIL_BACK_AT_SCHEDULED_OFF,BEST_AVAIL_LAY_AT_SCHEDULED_OFF,BACK_MARKET_PERCENTAGE_AT_SCHEDULED_OFF,LAY_MARKET_PERCENTAGE_AT_SCHEDULED_OFF
1/03/2023,6:03:00 PM,6:03:56 PM,Bathurst,NSW,1,210599863,R1 1730m Pace M,210599864,Harness,1730,Pace,38937818,1,Taylors Four,WINNER,12.5,WINNER,,158.27,19,10,12,11.94,757.56,130,1.03,1.16,6.67,363.65,,2.78,1.71,1.71,2.25,938.15,13,19,1.11,0.94
1/03/2023,6:03:00 PM,6:03:56 PM,Bathurst,NSW,1,210599863,R1 1730m Pace M,210599864,Harness,1730,Pace,39056790,2,Lucky Zara,LOSER,18.2,LOSER,,101.52,29,14,27,17.95,234.51,890,16.5,890,57.87,36.77,,3.35,2.4,2.6,2.91,180.62,14.5,18,1.11,0.94
1/03/2023,6:03:00 PM,6:03:56 PM,Bathurst,NSW,1,210599863,R1 1730m Pace M,210599864,Harness,1730,Pace,22775170,3,Christiano Rose,LOSER,3.94,LOSER,,390.44,4,2.84,3.55,3.61,585.88,880,1.11,880,2.98,1093.66,,2.44,1.29,1.83,1.68,369.52,3.25,3.6,1.11,0.94
1/03/2023,6:03:00 PM,6:03:56 PM,Bathurst,NSW,1,210599863,R1 1730m Pace M,210599864,Harness,1730,Pace,52968111,4,Magic Tulhurst,LOSER,423.07,LOSER,,40.04,910,85,910,190.05,25.03,1000,960,970,968.35,0.57,,,,,,,310,780,1.11,0.94
1/03/2023,6:03:00 PM,6:03:56 PM,Bathurst,NSW,1,210599863,R1 1730m Pace M,210599864,Harness,1730,Pace,13535794,5,Roll The Seven,LOSER,9.28,LOSER,,215.87,16.5,9.2,9.6,9.93,858.11,1000,6.8,400,64.94,58.73,,2.58,2.36,2.36,2.52,193.44,9.8,14,1.11,0.94
1/03/2023,6:03:00 PM,6:03:56 PM,Bathurst,NSW,1,210599863,R1 1730m Pace M,210599864,Harness,1730,Pace,40112095,6,Major Holiday,LOSER,15.4,LOSER,,171.95,25,12.5,19.5,14.56,160.85,780,15,780,41.61,39.96,,3.85,3.1,3.55,3.61,111.79,14,24,1.11,0.94
1/03/2023,6:03:00 PM,6:03:56 PM,Bathurst,NSW,1,210599863,R1 1730m Pace M,210599864,Harness,1730,Pace,49586692,7,Mcardle Magic,LOSER,380.37,LOSER,,25.9,380,85,370,126.17,9.46,1000,370,960,429.84,4.62,,16,16,16,16,0.1,140,340,1.11,0.94
1/03/2023,6:03:00 PM,6:03:56 PM,Bathurst,NSW,1,210599863,R1 1730m Pace M,210599864,Harness,1730,Pace,35500354,8,Kalypso Sam,LOSER,272.64,LOSER,,58.96,660,100,440,111.24,27.46,1000,650,1000,825.52,0.77,,18.5,12,12,14.17,15,110,460,1.11,0.94
1/03/2023,6:03:00 PM,6:03:56 PM,Bathurst,NSW,1,210599863,R1 1730m Pace M,210599864,Harness,1730,Pace,42414234,9,Kulani Courage,LOSER,51.22,WINNER,,56.06,65,32,60,39.86,16.04,1000,3,100,42.19,41.76,,,,,,,34,55,1.11,0.94
1/03/2023,6:03:00 PM,6:03:56 PM,Bathurst,NSW,1,210599863,R1 1730m Pace M,210599864,Harness,1730,Pace,47843144,10,Studleigh Melise,LOSER,1.98,WINNER,,3353.81,4,2.16,2.36,2.44,4562.67,120,1.04,1.89,1.89,3110.35,,2.24,1.33,1.59,1.84,403.27,2.3,2.42,1.11,0.94
