Tipster_Name,MeetingDate,TrackName,Content,International_Meeting,Racing_Code,Race,Selection,BettingStrategy,MarketType,RP,SelectionName,Stake,BestBet,Market_ID,Selection_ID,MBR,RESULT,BSP,PROFIT_BSP,PROFIT_BSP_RP,PROFIT_BESTBET
Joe Lannutti,1/11/2024,Richmond,EXPERT TIPS,FALSE,Greyhounds,11,8,LAY,WIN,4,8. Zipping Granger,2,BEST BET,235338915,65388427,7,0,5.3,0.43,0,0.43
Darren Carroll,1/11/2024,Swan Hill,EXPERT TIPS,FALSE,Harness,1,1,BACK,WIN,2.5,1. Friends,2,,235340927,13127034,7,0,4.21,-2,-2,0
Darren Carroll,1/11/2024,Swan Hill,EXPERT TIPS,FALSE,Harness,3,1,BACK,WIN,3,1. Dallas Miki,2,,235340933,50740831,7,1,4.6,6.7,6.7,0
Darren Carroll,1/11/2024,Swan Hill,EXPERT TIPS,FALSE,Harness,6,13,BACK,WIN,1.5,13. Like A Wildfire,4,BEST BET,235340942,24128257,7,1,1.61,2.27,2.27,2.27
Darren Carroll,1/11/2024,Swan Hill,EXPERT TIPS,FALSE,Harness,7,6,BACK,WIN,1.9,6. Parisian Artiste,3,,235340945,36255295,7,1,1.84,2.34,0,0
Ryan Spice,2/11/2024,Albion Park,EXPERT TIPS,FALSE,Harness,1,1,BACK,WIN,1.5,1. Mossdale Terry,3,BEST BET,235383715,38335690,7,0,1.2,-3,0,-3
Ryan Spice,2/11/2024,Albion Park,EXPERT TIPS,FALSE,Harness,2,2,LAY,WIN,4,2. Rocknpenny,1,BEST BET,235383718,41730232,7,0,5.01,0.23,0,0.23
Ryan Spice,2/11/2024,Albion Park,EXPERT TIPS,FALSE,Harness,4,11,BACK,WIN,4,11. Is That A Bid,2,,235383724,28699498,7,0,3.36,-2,0,0
Ryan Spice,2/11/2024,Albion Park,EXPERT TIPS,FALSE,Harness,6,1,BACK,WIN,4,1. Betterthan Popsy,1,,235441725,40718023,7,0,5.8,-1,-1,0
Ryan Spice,2/11/2024,Albion Park,EXPERT TIPS,FALSE,Harness,7,2,BACK,WIN,8,2. Lara Tiara,1,,235383730,51072581,7,0,11.64,-1,-1,0
Ryan Spice,2/11/2024,Albion Park,EXPERT TIPS,FALSE,Harness,8,1,BACK,PLACE,1.8,1. Jeseeka,2,,235383734,68066037,7,0,1.81,-2,-2,0
Terry Leighton,2/11/2024,Ascot,EXPERT TIPS,FALSE,Thoroughbred,2,8,BACK,WIN,2.4,8. Lord Randolph,2,,235296514,75314671,7,0,2.31,-2,0,0
Terry Leighton,2/11/2024,Ascot,EXPERT TIPS,FALSE,Thoroughbred,3,5,BACK,WIN,4.2,5. Amjaad,1,,235296523,423602,7,0,3.19,-1,0,0
Terry Leighton,2/11/2024,Ascot,EXPERT TIPS,FALSE,Thoroughbred,3,7,BACK,WIN,6.5,7. Winning Shuffle,1,,235296523,75719236,7,0,8.27,-1,-1,0
Terry Leighton,2/11/2024,Ascot,EXPERT TIPS,FALSE,Thoroughbred,3,7,BACK,PLACE,6.5,7. Winning Shuffle,1,,235296524,75719236,7,0,2.28,-1,0,0
Terry Leighton,2/11/2024,Ascot,EXPERT TIPS,FALSE,Thoroughbred,4,12,BACK,WIN,4.5,12. Rock In Wonder,2,,235296532,75719250,7,0,14,-2,-2,0
Terry Leighton,2/11/2024,Ascot,EXPERT TIPS,FALSE,Thoroughbred,4,12,BACK,PLACE,4.5,12. Rock In Wonder,2,,235296533,75719250,7,0,3.58,-2,0,0
Terry Leighton,2/11/2024,Ascot,EXPERT TIPS,FALSE,Thoroughbred,8,2,BACK,WIN,2.9,2. Super Smink,3,BEST BET,235296568,62099314,7,1,3.25,6.28,6.28,6.28
Terry Leighton,2/11/2024,Ascot,EXPERT TIPS,FALSE,Thoroughbred,8,9,BACK,WIN,5.8,9. Diamond Scene,1,,235296568,51752670,7,0,9.01,-1,-1,0
Terry Leighton,2/11/2024,Ascot,EXPERT TIPS,FALSE,Thoroughbred,9,4,BACK,WIN,3.8,4. Malkar Pindari,1,,235296577,48403488,7,0,6.54,-1,-1,0
Rory Flanagan,2/11/2024,Del Mar,EXPERT TIPS,TRUE,Thoroughbred,6,8,BACK,WIN,3,Ecoro Sieg,3,,235246174,72723283,5,0,3.55,-3,-3,0
Rory Flanagan,2/11/2024,Del Mar,EXPERT TIPS,TRUE,Thoroughbred,7,3,BACK,WIN,3,Immersive,3,,235246177,28217447,5,1,3.37,6.75,6.75,0
Rory Flanagan,2/11/2024,Del Mar,EXPERT TIPS,TRUE,Thoroughbred,8,1,BACK,WIN,1.5,Lake Victoria,5,BEST BET,235246180,25381611,5,1,1.57,2.71,2.71,2.71
Rory Flanagan,2/11/2024,Del Mar,EXPERT TIPS,TRUE,Thoroughbred,9,1,BACK,WIN,2,East Avenue,5,BEST BET,235246183,10300916,5,0,3.33,-5,-5,-5
Rory Flanagan,2/11/2024,Del Mar,EXPERT TIPS,TRUE,Thoroughbred,10,4,BACK,WIN,4,Al Qudra,2,,235246186,795894,5,0,5.83,-2,-2,0
Rory Flanagan,2/11/2024,Del Mar,EXPERT TIPS,TRUE,Thoroughbred,10,1,BACK,WIN,5,Satono Carnaval,1,,235246186,70707107,5,0,13.21,-1,-1,0
Linton Chataway,2/11/2024,Eagle Farm,EXPERT TIPS,FALSE,Thoroughbred,5,4,BACK,WIN,1.75,4. Appin Girl,3,BEST BET,235294126,75718515,7,0,1.52,-3,0,-3
Linton Chataway,2/11/2024,Eagle Farm,EXPERT TIPS,FALSE,Thoroughbred,6,2,LAY,WIN,5,2. Transatlantic,1,BEST BET,235294135,67532044,7,0,3.28,0.41,0.41,0.41
Linton Chataway,2/11/2024,Eagle Farm,EXPERT TIPS,FALSE,Thoroughbred,6,3,BACK,WIN,2.7,3. Payline,1,,235294135,69675344,7,0,2.75,-1,-1,0
Linton Chataway,2/11/2024,Eagle Farm,EXPERT TIPS,FALSE,Thoroughbred,8,9,LAY,WIN,6,9. Ocean Zar,1,,235294153,51178359,7,0,2.44,0.65,0.65,0
Linton Chataway,2/11/2024,Eagle Farm,EXPERT TIPS,FALSE,Thoroughbred,9,10,BACK,WIN,3.2,10. Exotique Miss,1,,235294162,58635302,7,0,4,-1,-1,0
Jackson Oldham,2/11/2024,Flemington,EXPERT TIPS,FALSE,Thoroughbred,4,5,BACK,WIN,2.55,5. Jimmysstar ,3,,235288129,63085173,7,0,2.3,-3,0,0
Jackson Oldham,2/11/2024,Flemington,EXPERT TIPS,FALSE,Thoroughbred,5,5,BACK,WIN,2.33,5. Powers Of Opal,4,BEST BET,235288148,75718459,7,0,1.94,-4,0,-4
Jackson Oldham,2/11/2024,Flemington,EXPERT TIPS,FALSE,Thoroughbred,6,1,LAY,WIN,4.8,1. Growing Empire,3,BEST BET,235288167,68637849,7,0,4.1,0.9,0.9,0.9
Glenn Ingram,2/11/2024,Flemington,LATE MAIL,FALSE,Thoroughbred,7,4,BACK,WIN,5,4. Goldrush Guru,2,BEST BET,235288186,75718473,7,1,9.4,15.62,15.62,15.62
Glenn Ingram,2/11/2024,Flemington,LATE MAIL,FALSE,Thoroughbred,7,4,BACK,PLACE,5,4. Goldrush Guru,2,BEST BET,235288187,75718473,7,1,3.06,3.83,0,3.83
Jackson Oldham,2/11/2024,Flemington,EXPERT TIPS,FALSE,Thoroughbred,9,19,BACK,WIN,4,19. Pondalowie,2,,235288224,75718493,7,0,6.4,-2,-2,0
Jamie Cockshutt,2/11/2024,Hobart,EXPERT TIPS,FALSE,Harness,1,4,BACK,WIN,,4. Obler ,2,,235383772,60185172,7,0,4.08,-2,0,0
Jamie Cockshutt,2/11/2024,Hobart,EXPERT TIPS,FALSE,Harness,1,9,BACK,WIN,,9. Illtellyousumthing,1,,235383772,75676761,7,0,237.61,-1,0,0
Jamie Cockshutt,2/11/2024,Hobart,EXPERT TIPS,FALSE,Harness,1,9,BACK,PLACE,,9. Illtellyousumthing,1,,235383773,75676761,7,0,10.78,-1,0,0
Jamie Cockshutt,2/11/2024,Hobart,EXPERT TIPS,FALSE,Harness,2,1,BACK,WIN,,1. No Nukes Skipper ,2,,235383774,39085681,7,1,3.35,4.37,0,0
Jamie Cockshutt,2/11/2024,Hobart,EXPERT TIPS,FALSE,Harness,2,3,BACK,WIN,,3. Rock The Tableau ,1,,235383774,55572105,7,0,16.69,-1,0,0
Jamie Cockshutt,2/11/2024,Hobart,EXPERT TIPS,FALSE,Harness,2,3,BACK,PLACE,,3. Rock The Tableau ,1,,235383775,55572105,7,0,4.5,-1,0,0
Jamie Cockshutt,2/11/2024,Hobart,EXPERT TIPS,FALSE,Harness,3,1,BACK,WIN,,1. Waterfront ,5,,235383776,70602332,7,1,1.11,0.51,0,0
Jamie Cockshutt,2/11/2024,Hobart,EXPERT TIPS,FALSE,Harness,3,3,BACK,PLACE,,3. Shes A Tiny Dancer ,2,,235383777,68930819,7,1,5.5,8.37,0,0
Jamie Cockshutt,2/11/2024,Hobart,EXPERT TIPS,FALSE,Harness,4,7,BACK,WIN,,7. Smooth Reason ,3,,235383778,75676792,7,0,2.44,-3,0,0
Jamie Cockshutt,2/11/2024,Hobart,EXPERT TIPS,FALSE,Harness,5,1,BACK,WIN,,1. Okanui Beach ,3,BEST BET,235383780,75357852,7,1,1.57,1.59,0,1.59
Jamie Cockshutt,2/11/2024,Hobart,EXPERT TIPS,FALSE,Harness,6,5,BACK,WIN,,5. Kingman ,5,,235383782,75676800,7,1,1.16,0.74,0,0
Jamie Cockshutt,2/11/2024,Hobart,EXPERT TIPS,FALSE,Harness,7,4,BACK,WIN,,4. Miss Papenhuyzen ,3,BEST BET,235383784,60453585,7,1,2.48,4.13,0,4.13
Jamie Cockshutt,2/11/2024,Hobart,EXPERT TIPS,FALSE,Harness,8,7,BACK,WIN,,7. Royal Appointment ,2,,235383786,24700850,7,0,9.6,-2,0,0
Jamie Cockshutt,2/11/2024,Hobart,EXPERT TIPS,FALSE,Harness,9,1,BACK,WIN,,1. Yareckon Im Sweet,2,,235383788,48291253,7,1,2.26,2.34,0,0
Jamie Cockshutt,2/11/2024,Hobart,EXPERT TIPS,FALSE,Harness,10,1,BACK,WIN,,1. Crack The Vault,2,,235383790,66268298,7,0,3.09,-2,0,0
Jaycin Campbell,2/11/2024,Mandurah,EXPERT TIPS,FALSE,Greyhounds,2,3,BACK,WIN,2,3. Rigatoni Monelli,3,,235384268,75676406,7,1,1.89,2.48,0,0
Jaycin Campbell,2/11/2024,Mandurah,EXPERT TIPS,FALSE,Greyhounds,4,5,BACK,WIN,1.5,5. Molotov Boy,4,,235384278,63297446,7,0,1.42,-4,0,0
Jaycin Campbell,2/11/2024,Mandurah,EXPERT TIPS,FALSE,Greyhounds,5,1,LAY,WIN,5,1. Shy Emoji,2,BEST BET,235384283,66366410,7,0,2.84,1.01,1.01,1.01
Jaycin Campbell,2/11/2024,Mandurah,EXPERT TIPS,FALSE,Greyhounds,8,4,BACK,WIN,1.5,4. Bala Ace,4,BEST BET,235384298,67504321,7,1,1.77,2.86,2.86,2.86
Brett Carroll,2/11/2024,Melton,EXPERT TIPS,FALSE,Harness,5,6,BACK,WIN,2.4,6. Kendys Butterfly,2,BEST BET,235383703,35803708,7,0,3.2,-2,-2,-2
Lachlan Mosley,2/11/2024,Morphettville,EXPERT TIPS,FALSE,Thoroughbred,1,2,BACK,WIN,,2. Dolcemente ,3,BEST BET,235297636,75717675,7,1,2.8,5.02,0,5.02
