Date,Track,Race Name,Race,Market,Selection,Number,Horse,RP,WIN_RESULT,WIN_BSP,PLACE_RESULT,PLACE_BSP,Value
2024-01-01,Ascot,R6 1800m Grp3,6,223004295,51591086,9,Fine Touch,24.75,0.0,28.0,1.0,5.44,0.004689754689754695
2024-01-01,Ascot,R6 1800m Grp3,6,223004295,53882510,8,Yonga Lass,2.95,1.0,2.78,1.0,1.42,-0.020729179368369766
2024-01-01,Ascot,R6 1800m Grp3,6,223004295,59958348,10,Kia Ora Jewel,65.21,0.0,44.74,0.0,7.37,-0.00701629212508784
2024-01-01,Ascot,R6 1800m Grp3,6,223004295,63860554,2,Rusty Dreams,2.7,0.0,2.98,0.0,1.3,0.034799900571712616
2024-01-01,Ascot,R6 1800m Grp3,6,223004295,64343984,3,Ihts Closing Inn,13.19,0.0,12.24,0.0,2.96,-0.005884335032977056
2024-01-01,Ascot,R6 1800m Grp3,6,223004295,64343985,11,Ecstasy Of Gold,181.82,0.0,64.16,0.0,12.21,-0.01008608991216821
2024-01-01,Ascot,R7 1000m Listed,7,223004302,12143631,5,Capital Flight,37.46,0.0,27.0,0.0,6.0,-0.01034189555278717
2024-01-01,Ascot,R7 1000m Listed,7,223004302,27386621,4,Gemmas Son,8.28,0.0,11.5,0.0,3.15,0.03381642512077296
2024-01-01,Ascot,R7 1000m Listed,7,223004302,28495049,8,Moi Choux,22.58,0.0,20.98,0.0,5.24,-0.003377462698035412
2024-01-01,Ascot,R7 1000m Listed,7,223004302,36865191,7,Land Of Valens,53.61,0.0,64.83,0.0,14.37,0.003228278755137731
2024-01-01,Ascot,R7 1000m Listed,7,223004302,40022499,1,Ghost Who Walks,11.15,1.0,9.65,1.0,3.3,-0.013940844350472825
2024-01-01,Ascot,R7 1000m Listed,7,223004302,41145964,2,Itsarayday,10.62,0.0,9.69,0.0,2.81,-0.009037215837866514
2024-01-01,Ascot,R7 1000m Listed,7,223004302,50713854,3,Real Danger,5.41,0.0,5.73,1.0,2.1,0.01032281374095545
2024-01-01,Ascot,R7 1000m Listed,7,223004302,60491802,6,Cut The Talk,5.51,0.0,5.26,1.0,2.07,-0.008625865174276992
