LOCAL_MEETING_DATE,SCHEDULED_RACE_TIME,ACTUAL_OFF_TIME,TRACK,STATE_CODE,RACE_NO,WIN_MARKET_ID,WIN_MARKET_NAME,PLACE_MARKET_ID,RACING_TYPE,DISTANCE,RACE_TYPE,SELECTION_ID,TAB_NUMBER,SELECTION_NAME,WIN_RESULT,WIN_BSP,PLACE_RESULT,PLACE_BSP,WIN_BSP_VOLUME,WIN_PREPLAY_MAX_PRICE_TAKEN,WIN_PREPLAY_MIN_PRICE_TAKEN,WIN_PREPLAY_LAST_PRICE_TAKEN,WIN_PREPLAY_WEIGHTED_AVERAGE_PRICE_TAKEN,WIN_PREPLAY_VOLUME,WIN_INPLAY_MAX_PRICE_TAKEN,WIN_INPLAY_MIN_PRICE_TAKEN,WIN_LAST_PRICE_TAKEN,WIN_INPLAY_WEIGHTED_AVERAGE_PRICE_TAKEN,WIN_INPLAY_VOLUME,PLACE_BSP_VOLUME,PLACE_MAX_PRICE_TAKEN,PLACE_MIN_PRICE_TAKEN,PLACE_LAST_PRICE_TAKEN,PLACE_WEIGHTED_AVERAGE_PRICE_TAKEN,PLACE_PREPLAY_VOLUME,BEST_AVAIL_BACK_AT_SCHEDULED_OFF,BEST_AVAIL_LAY_AT_SCHEDULED_OFF,BACK_MARKET_PERCENTAGE_AT_SCHEDULED_OFF,LAY_MARKET_PERCENTAGE_AT_SCHEDULED_OFF
2022-02-01,13:35:00,13:35:42,Bowen,QLD,1,194058869,R1 1200m 3yo,194058870.0,Thoroughbred,1200,3yo,39396492,1,Cochrane,LOSER,6.48,LOSER,1.68,2521.16,8.0,5.2,6.6,6.12,4674.21,340.0,3.0,280.0,5.56,459.92,1265.66,1.72,1.61,1.7,1.65,588.2,6.2,6.4,1.02,1.01
2022-02-01,13:35:00,13:35:42,Bowen,QLD,1,194058869,R1 1200m 3yo,194058870.0,Thoroughbred,1200,3yo,42502164,2,Impeacher,LOSER,5.8,WINNER,1.64,2214.84,7.4,5.2,5.8,6.2,4877.65,130.0,2.0,36.0,5.36,585.34,1819.86,1.78,1.64,1.64,1.66,1162.56,5.9,6.2,1.02,1.01
2022-02-01,13:35:00,13:35:42,Bowen,QLD,1,194058869,R1 1200m 3yo,194058870.0,Thoroughbred,1200,3yo,38779513,5,Kamarcher,WINNER,1.93,WINNER,1.19,8083.82,2.16,1.65,1.93,1.95,17617.28,3.2,1.01,1.01,1.67,6866.21,3769.29,1.21,1.14,1.19,1.18,2644.51,1.94,1.97,1.02,1.01
2022-02-01,13:35:00,13:35:42,Bowen,QLD,1,194058869,R1 1200m 3yo,194058870.0,Thoroughbred,1200,3yo,28457888,6,Explosive Girl,LOSER,23.65,LOSER,3.9,751.71,60.0,18.0,23.0,21.93,1469.06,1000.0,4.7,340.0,16.46,624.64,544.35,4.8,3.65,3.8,4.13,290.25,22.0,25.0,1.02,1.01
2022-02-01,13:35:00,13:35:42,Bowen,QLD,1,194058869,R1 1200m 3yo,194058870.0,Thoroughbred,1200,3yo,39218940,8,Purple Hat,LOSER,14.97,LOSER,2.66,1930.27,16.0,10.5,14.0,13.7,1808.24,900.0,7.2,790.0,40.34,85.31,822.97,2.72,2.44,2.72,2.6,182.11,14.0,11.5,1.02,1.01
2022-02-01,13:35:00,13:35:42,Bowen,QLD,1,194058869,R1 1200m 3yo,194058870.0,Thoroughbred,1200,3yo,40062074,9,Yabulu Princess,LOSER,19.5,WINNER,3.3,1152.97,40.0,18.5,19.5,19.84,948.64,1000.0,10.0,790.0,49.95,90.84,628.79,3.8,3.2,3.4,3.36,59.8,19.0,19.5,1.02,1.01
2022-02-01,13:35:00,13:35:42,Bowen,QLD,1,194058869,R1 1200m 3yo,194058870.0,Thoroughbred,1200,3yo,40534358,10,Mishani Dude,LOSER,430.0,LOSER,23.53,140.29,530.0,44.0,430.0,272.96,55.67,990.0,90.0,990.0,386.13,7.04,112.69,27.0,13.5,23.0,18.99,33.71,290.0,300.0,1.02,1.01
2022-02-01,14:10:00,14:10:39,Bowen,QLD,2,194058871,R2 1000m Mdn,194058872.0,Thoroughbred,1000,Mdn,40534144,1,Kilkenny Jack,LOSER,90.0,LOSER,10.0,413.32,170.0,26.0,90.0,74.07,510.95,980.0,85.0,400.0,272.61,12.47,240.31,11.0,4.0,10.0,9.07,134.68,100.0,110.0,1.01,1.0
2022-02-01,14:10:00,14:10:39,Bowen,QLD,2,194058871,R2 1000m Mdn,194058872.0,Thoroughbred,1000,Mdn,27346573,2,Mackenzie Country,LOSER,90.09,LOSER,11.0,263.71,360.0,70.0,85.0,85.12,271.79,990.0,65.0,990.0,155.54,20.98,214.47,14.0,10.0,12.0,11.18,151.73,80.0,90.0,1.01,1.0
2022-02-01,14:10:00,14:10:39,Bowen,QLD,2,194058871,R2 1000m Mdn,194058872.0,Thoroughbred,1000,Mdn,24227721,3,Money Travels,LOSER,29.25,LOSER,4.9,1178.02,46.0,17.5,30.0,30.98,701.59,790.0,32.0,790.0,87.67,37.33,424.69,5.1,4.0,4.9,4.71,106.21,34.0,21.0,1.01,1.0
2022-02-01,14:10:00,14:10:39,Bowen,QLD,2,194058871,R2 1000m Mdn,194058872.0,Thoroughbred,1000,Mdn,42502167,4,Sidinct,LOSER,402.19,LOSER,50.89,116.12,970.0,150.0,650.0,414.94,26.52,990.0,320.0,910.0,809.46,4.43,61.65,55.0,25.0,50.0,31.85,33.05,390.0,950.0,1.01,1.0
2022-02-01,14:10:00,14:10:39,Bowen,QLD,2,194058871,R2 1000m Mdn,194058872.0,Thoroughbred,1000,Mdn,28420275,5,Sunny Ekcels,LOSER,32.96,WINNER,5.1,749.82,44.0,21.0,34.0,36.4,715.62,790.0,8.2,440.0,62.08,56.4,473.91,5.3,3.8,5.1,4.74,140.27,34.0,40.0,1.01,1.0
2022-02-01,14:10:00,14:10:39,Bowen,QLD,2,194058871,R2 1000m Mdn,194058872.0,Thoroughbred,1000,Mdn,37261860,6,Yufcalledcharlie,LOSER,65.0,LOSER,8.0,522.79,70.0,20.0,65.0,57.21,1019.73,790.0,9.0,790.0,59.56,63.37,333.31,8.6,5.5,8.4,7.59,228.02,50.0,55.0,1.01,1.0
2022-02-01,14:10:00,14:10:39,Bowen,QLD,2,194058871,R2 1000m Mdn,194058872.0,Thoroughbred,1000,Mdn,28579389,7,All Bar Surah,LOSER,60.0,LOSER,8.4,589.49,230.0,55.0,60.0,68.58,418.45,980.0,55.0,790.0,240.65,10.15,242.77,10.0,7.8,8.0,8.23,92.94,70.0,75.0,1.01,1.0
2022-02-01,14:10:00,14:10:39,Bowen,QLD,2,194058871,R2 1000m Mdn,194058872.0,Thoroughbred,1000,Mdn,38276594,8,Emma Rocket,LOSER,64.77,LOSER,8.4,702.66,150.0,44.0,60.0,69.59,298.72,980.0,65.0,980.0,130.22,18.54,339.97,9.8,7.0,8.4,8.01,152.33,75.0,85.0,1.01,1.0
2022-02-01,14:10:00,14:10:39,Bowen,QLD,2,194058871,R2 1000m Mdn,194058872.0,Thoroughbred,1000,Mdn,42502168,9,Tiaclair,LOSER,7.56,LOSER,1.93,2955.17,20.0,7.4,7.6,8.81,4814.24,790.0,8.4,790.0,15.25,321.74,1390.82,2.7,1.91,1.93,2.13,931.46,8.2,8.4,1.01,1.0
2022-02-01,14:10:00,14:10:39,Bowen,QLD,2,194058871,R2 1000m Mdn,194058872.0,Thoroughbred,1000,Mdn,40865730,10,Tiny Tiara,LOSER,4.3,WINNER,1.44,4174.43,5.6,3.45,4.3,4.49,6741.42,790.0,3.95,340.0,6.79,714.58,1385.43,1.58,1.41,1.45,1.48,1998.75,4.4,4.5,1.01,1.0
2022-02-01,14:10:00,14:10:39,Bowen,QLD,2,194058871,R2 1000m Mdn,194058872.0,Thoroughbred,1000,Mdn,42502169,11,Albertessa,WINNER,1.88,WINNER,1.18,10076.2,2.14,1.75,1.88,1.87,25135.56,1.96,1.01,1.01,1.28,8267.9,2048.35,1.21,1.18,1.19,1.2,925.76,1.89,1.9,1.01,1.0
2022-02-01,14:45:00,14:45:11,Bowen,QLD,3,194058873,R3 1000m CL3,194058874.0,Thoroughbred,1000,CL3,39679242,2,Man O Ross,LOSER,4.77,LOSER,2.1,2484.14,5.2,4.2,4.7,4.73,9681.29,790.0,3.3,790.0,11.15,353.46,1070.53,2.14,1.91,2.08,2.08,331.17,4.8,4.9,1.01,0.99
2022-02-01,14:45:00,14:45:11,Bowen,QLD,3,194058873,R3 1000m CL3,194058874.0,Thoroughbred,1000,CL3,42502170,3,Free Dawn,LOSER,1.87,WINNER,1.32,9897.32,2.04,1.74,1.88,1.91,25996.44,790.0,1.3,400.0,2.55,3326.07,3331.91,1.38,1.28,1.33,1.35,1023.45,1.9,1.92,1.01,0.99
2022-02-01,14:45:00,14:45:11,Bowen,QLD,3,194058873,R3 1000m CL3,194058874.0,Thoroughbred,1000,CL3,27602487,4,Cardice,LOSER,20.34,LOSER,6.47,1053.59,46.0,16.0,20.0,19.34,2135.88,790.0,8.8,790.0,32.47,75.56,346.04,7.6,5.9,6.4,6.45,34.38,20.0,21.0,1.01,0.99
2022-02-01,14:45:00,14:45:11,Bowen,QLD,3,194058873,R3 1000m CL3,194058874.0,Thoroughbred,1000,CL3,682575,5,Sarandos,WINNER,6.52,WINNER,2.56,2368.95,7.4,5.0,6.4,6.37,4207.0,6.8,1.01,1.01,1.37,5529.02,898.58,2.6,2.4,2.56,2.53,163.6,6.4,6.6,1.01,0.99
2022-02-01,14:45:00,14:45:11,Bowen,QLD,3,194058873,R3 1000m CL3,194058874.0,Thoroughbred,1000,CL3,26515920,6,Murungal,LOSER,16.1,LOSER,5.6,1056.33,46.0,15.5,16.0,19.1,1825.03,790.0,3.7,440.0,35.35,84.12,391.57,5.8,5.1,5.6,5.33,204.39,17.5,17.0,1.01,0.99
2022-02-01,14:45:00,14:45:11,Bowen,QLD,3,194058873,R3 1000m CL3,194058874.0,Thoroughbred,1000,CL3,42502171,7,Ready Mister Music,LOSER,95.0,LOSER,25.42,323.81,250.0,65.0,95.0,115.34,232.12,990.0,21.0,230.0,194.5,26.3,106.93,32.0,15.5,26.0,24.48,41.29,100.0,130.0,1.01,0.99
2022-02-01,14:45:00,14:45:11,Bowen,QLD,3,194058873,R3 1000m CL3,194058874.0,Thoroughbred,1000,CL3,41676480,9,Piqaboo,LOSER,320.0,LOSER,102.02,131.79,610.0,100.0,310.0,294.5,94.7,990.0,50.0,790.0,171.08,14.4,49.33,100.0,46.0,100.0,98.07,5.17,280.0,320.0,1.01,0.99
2022-02-01,15:20:00,15:20:16,Bowen,QLD,4,194058875,R4 1000m Hcap,194058876.0,Thoroughbred,1000,Hcap,26491966,1,Moreno,LOSER,10.5,LOSER,2.57,1615.84,12.5,7.4,11.0,10.51,3076.28,790.0,9.8,440.0,16.06,390.0,1040.03,2.74,1.81,2.6,2.46,912.74,10.5,11.0,1.02,1.0
2022-02-01,15:20:00,15:20:16,Bowen,QLD,4,194058875,R4 1000m Hcap,194058876.0,Thoroughbred,1000,Hcap,10974795,3,El Shaday,LOSER,16.5,LOSER,3.5,814.88,17.5,11.0,15.5,15.38,1582.29,900.0,11.0,710.0,37.81,116.79,624.32,3.7,3.05,3.45,3.3,401.04,15.5,16.5,1.02,1.0
2022-02-01,15:20:00,15:20:16,Bowen,QLD,4,194058875,R4 1000m Hcap,194058876.0,Thoroughbred,1000,Hcap,956020,5,Big Jake,WINNER,1.25,WINNER,1.07,28803.17,1.36,1.28,1.29,1.31,34536.01,1.3,1.01,1.01,1.18,15586.53,1111.76,1.16,1.06,1.09,1.1,4256.75,1.29,1.3,1.02,1.0
2022-02-01,15:20:00,15:20:16,Bowen,QLD,4,194058875,R4 1000m Hcap,194058876.0,Thoroughbred,1000,Hcap,12485380,6,Level Eight,LOSER,55.0,LOSER,9.2,347.89,150.0,42.0,65.0,59.49,719.97,930.0,50.0,930.0,97.46,56.1,247.75,12.0,8.8,9.6,9.32,30.39,50.0,55.0,1.02,1.0
2022-02-01,15:20:00,15:20:16,Bowen,QLD,4,194058875,R4 1000m Hcap,194058876.0,Thoroughbred,1000,Hcap,40927999,7,Such A Whit,LOSER,29.66,LOSER,6.14,613.41,120.0,29.0,30.0,33.15,549.98,790.0,30.0,790.0,83.41,32.84,496.43,10.5,6.2,6.2,7.09,19.73,30.0,32.0,1.02,1.0
2022-02-01,15:20:00,15:20:16,Bowen,QLD,4,194058875,R4 1000m Hcap,194058876.0,Thoroughbred,1000,Hcap,38197923,8,Hit Snooze,LOSER,34.11,WINNER,6.46,818.35,40.0,15.0,38.0,33.18,693.67,790.0,30.0,790.0,34.57,190.38,395.61,7.0,5.6,6.6,6.72,116.71,36.0,38.0,1.02,1.0
2022-02-01,15:55:00,15:55:13,Bowen,QLD,5,194058877,R5 1470m Hcap,194058878.0,Thoroughbred,1470,Hcap,37206128,1,Collombatti,LOSER,3.55,LOSER,2.02,3755.75,3.85,2.9,3.5,3.51,23925.66,790.0,2.04,780.0,3.46,2158.86,1435.93,2.1,1.77,2.04,1.92,803.55,3.5,3.6,1.0,0.99
2022-02-01,15:55:00,15:55:13,Bowen,QLD,5,194058877,R5 1470m Hcap,194058878.0,Thoroughbred,1470,Hcap,35524828,2,Lefkas Island,LOSER,15.84,LOSER,6.4,1670.74,20.0,11.0,17.5,17.15,1738.96,790.0,5.9,790.0,24.12,398.57,549.41,7.0,3.5,6.4,6.47,95.82,17.0,18.0,1.0,0.99
2022-02-01,15:55:00,15:55:13,Bowen,QLD,5,194058877,R5 1470m Hcap,194058878.0,Thoroughbred,1470,Hcap,38415834,3,Scent Of Fear,LOSER,3.23,LOSER,1.81,3947.07,4.4,3.15,3.3,3.44,8657.07,790.0,1.3,340.0,3.13,2504.18,1510.99,2.18,1.77,1.84,1.9,805.15,3.3,3.35,1.0,0.99
2022-02-01,15:55:00,15:55:13,Bowen,QLD,5,194058877,R5 1470m Hcap,194058878.0,Thoroughbred,1470,Hcap,22636219,4,Salsa Dreaming,WINNER,9.66,WINNER,4.0,2454.15,9.4,5.2,9.0,8.3,2775.22,19.5,1.01,1.01,2.44,6619.3,517.22,4.0,3.3,4.0,3.68,58.34,9.0,9.2,1.0,0.99
2022-02-01,15:55:00,15:55:13,Bowen,QLD,5,194058877,R5 1470m Hcap,194058878.0,Thoroughbred,1470,Hcap,9231151,6,Academy Hill,LOSER,11.5,LOSER,4.79,1371.7,24.0,11.0,11.5,12.71,2914.52,890.0,9.0,890.0,23.31,207.34,492.63,5.8,4.7,4.7,5.11,32.52,13.5,12.5,1.0,0.99
2022-02-01,15:55:00,15:55:13,Bowen,QLD,5,194058877,R5 1470m Hcap,194058878.0,Thoroughbred,1470,Hcap,22151977,7,Amuthon,LOSER,6.2,WINNER,2.88,2131.9,7.8,5.5,6.2,5.89,4898.9,1000.0,5.9,180.0,17.4,485.69,1002.07,3.45,2.74,2.92,2.91,558.7,5.9,6.0,1.0,0.99
2022-02-01,16:35:00,16:35:15,Bowen,QLD,6,194058879,R6 1280m CL2,194058880.0,Thoroughbred,1280,CL2,42502172,1,Brigalow Boy,WINNER,1.95,WINNER,1.24,5628.61,2.94,1.95,1.96,2.0,27579.36,46.0,1.02,46.0,1.67,3169.71,1887.04,1.3,1.21,1.25,1.24,2025.23,1.96,1.98,1.01,0.99
2022-02-01,16:35:00,16:35:15,Bowen,QLD,6,194058879,R6 1280m CL2,194058880.0,Thoroughbred,1280,CL2,42502173,2,Tactical Illusion,LOSER,9.6,LOSER,2.48,2020.29,13.0,8.0,9.6,9.15,7881.32,790.0,2.8,780.0,6.67,1541.93,850.37,2.58,2.24,2.56,2.36,1263.48,9.8,10.0,1.01,0.99
2022-02-01,16:35:00,16:35:15,Bowen,QLD,6,194058879,R6 1280m CL2,194058880.0,Thoroughbred,1280,CL2,42256783,3,Red Peroni,LOSER,18.5,LOSER,3.65,955.9,23.0,16.5,18.5,19.21,1181.62,790.0,17.0,790.0,29.94,116.01,567.51,3.9,3.5,3.8,3.62,241.84,19.0,19.5,1.01,0.99
2022-02-01,16:35:00,16:35:15,Bowen,QLD,6,194058879,R6 1280m CL2,194058880.0,Thoroughbred,1280,CL2,28024655,4,Mishani Rebel,LOSER,26.97,LOSER,3.96,698.17,28.0,17.5,28.0,22.98,724.78,910.0,18.0,400.0,41.17,246.78,656.14,4.3,3.9,4.1,4.08,274.24,24.0,25.0,1.01,0.99
2022-02-01,16:35:00,16:35:15,Bowen,QLD,6,194058879,R6 1280m CL2,194058880.0,Thoroughbred,1280,CL2,39733870,5,Yuan Fen,LOSER,5.5,WINNER,1.62,2240.24,5.9,3.7,5.5,5.25,7389.93,780.0,1.01,1.02,2.79,2779.46,1571.49,1.77,1.54,1.63,1.65,1476.79,5.4,5.5,1.01,0.99
2022-02-01,16:35:00,16:35:15,Bowen,QLD,6,194058879,R6 1280m CL2,194058880.0,Thoroughbred,1280,CL2,37583941,6,Pluckercarn,LOSER,15.25,LOSER,3.05,1490.14,19.0,8.4,15.5,15.82,2046.71,790.0,11.5,780.0,21.2,131.54,1232.47,3.3,1.97,3.15,3.13,574.96,16.5,17.5,1.01,0.99
2022-02-01,16:35:00,16:35:15,Bowen,QLD,6,194058879,R6 1280m CL2,194058880.0,Thoroughbred,1280,CL2,39595062,7,Sound Of Sleat,LOSER,29.0,WINNER,5.2,412.23,40.0,25.0,29.0,27.63,994.96,790.0,5.0,790.0,17.65,159.26,396.69,5.6,5.2,5.3,5.41,418.52,27.0,29.0,1.01,0.99
2022-02-01,16:35:00,16:35:15,Bowen,QLD,6,194058879,R6 1280m CL2,194058880.0,Thoroughbred,1280,CL2,39396502,9,Havannah Sunset,LOSER,50.0,LOSER,7.4,526.32,75.0,40.0,50.0,53.11,336.35,990.0,34.0,990.0,100.35,37.09,420.69,8.4,7.2,8.0,7.42,41.49,55.0,60.0,1.01,0.99
2022-02-01,16:35:00,16:35:15,Bowen,QLD,6,194058879,R6 1280m CL2,194058880.0,Thoroughbred,1280,CL2,21559500,10,Murtallica,LOSER,200.0,LOSER,22.0,118.14,310.0,110.0,200.0,196.64,169.16,1000.0,190.0,1000.0,257.73,38.07,81.47,32.0,15.0,23.0,20.4,111.22,190.0,200.0,1.01,0.99
