EVENT_DATE,EVENT_ID,MATCH,MARKET_TYPE,MARKET_NAME,MARKET_ID
6/08/2022,31531623,Bournemouth v Aston Villa,,First Half Goals 2.5,200235429
6/08/2022,31531623,Bournemouth v Aston Villa,,First Half Goals 1.5,200235438
6/08/2022,31531623,Bournemouth v Aston Villa,,Aston Villa +1,200235420
6/08/2022,31531623,Bournemouth v Aston Villa,,Aston Villa Win to Nil,200235426
6/08/2022,31531623,Bournemouth v Aston Villa,,Half Time,200235355
6/08/2022,31531623,Bournemouth v Aston Villa,,Aston Villa Over/Under 2.5 Goals,200235484
6/08/2022,31531623,Bournemouth v Aston Villa,,Draw No Bet,200235418
6/08/2022,31531623,Bournemouth v Aston Villa,,Match Odds and Over/Under 2.5 goals,200235444
6/08/2022,31531623,Bournemouth v Aston Villa,,Bournemouth Win to Nil,200235425
6/08/2022,31531623,Bournemouth v Aston Villa,,Over/Under 0.5 Goals,200235354
6/08/2022,31531623,Bournemouth v Aston Villa,,Correct Score,200235362
6/08/2022,31531623,Bournemouth v Aston Villa,,Over/Under 4.5 Goals,200235357
6/08/2022,31531623,Bournemouth v Aston Villa,,Match Odds and Over/Under 3.5 Goals,200235481
6/08/2022,31531623,Bournemouth v Aston Villa,,Bournemouth Over/Under 2.5 Goals,200235480
6/08/2022,31531623,Bournemouth v Aston Villa,,Double Chance,200235434
6/08/2022,31531623,Bournemouth v Aston Villa,,Half Time Score,200235364
6/08/2022,31531623,Bournemouth v Aston Villa,,Over/Under 2.5 Goals,200235368
6/08/2022,31531623,Bournemouth v Aston Villa,,Aston Villa Over/Under 0.5 Goals,200235486
6/08/2022,31531623,Bournemouth v Aston Villa,,Match Odds,200235432
6/08/2022,31531623,Bournemouth v Aston Villa,,Over/Under 3.5 Goals,200235363
6/08/2022,31531623,Bournemouth v Aston Villa,,Bournemouth +3,200235422
6/08/2022,31531623,Bournemouth v Aston Villa,,Aston Villa Over/Under 1.5 Goals,200235483
6/08/2022,31531623,Bournemouth v Aston Villa,,Over/Under 5.5 Goals,200235441
6/08/2022,31531623,Bournemouth v Aston Villa,,Over/Under 0.5 Goals,200235437
6/08/2022,31531623,Bournemouth v Aston Villa,,Over/Under 2.5 Goals,200235359
6/08/2022,31531623,Bournemouth v Aston Villa,,Match Odds and Both Teams to Score,200235365
6/08/2022,31531623,Bournemouth v Aston Villa,,Bournemouth +1,200235435
6/08/2022,31531623,Bournemouth v Aston Villa,,First Half Goals 0.5,200235436
6/08/2022,31531623,Bournemouth v Aston Villa,,Bournemouth Over/Under 0.5 Goals,200235485
6/08/2022,31531623,Bournemouth v Aston Villa,,Bournemouth +2,200235419
6/08/2022,31531623,Bournemouth v Aston Villa,,Over/Under 4.5 Goals,200235369
6/08/2022,31531623,Bournemouth v Aston Villa,,Over/Under 1.5 Goals,200235358
6/08/2022,31531623,Bournemouth v Aston Villa,,Correct Score,200235442
6/08/2022,31531623,Bournemouth v Aston Villa,,Both teams to Score?,200235430
6/08/2022,31531623,Bournemouth v Aston Villa,,Bournemouth Over/Under 1.5 Goals,200235482
6/08/2022,31531623,Bournemouth v Aston Villa,,Aston Villa +2,200235423
6/08/2022,31531623,Bournemouth v Aston Villa,,Aston Villa +3,200235424
6/08/2022,31531623,Bournemouth v Aston Villa,,First Half Goals 2.5,201698830
6/08/2022,31531623,Bournemouth v Aston Villa,,Over/Under 4.5 Goals,201698841
6/08/2022,31531623,Bournemouth v Aston Villa,,Correct Score,201698839
6/08/2022,31531623,Bournemouth v Aston Villa,,Half Time/Full Time,201698847
6/08/2022,31531623,Bournemouth v Aston Villa,,Over/Under 3.5 Goals,201698844
6/08/2022,31531623,Bournemouth v Aston Villa,,Half Time Score,201698842
6/08/2022,31531623,Bournemouth v Aston Villa,,Half Time,201698837
6/08/2022,31531623,Bournemouth v Aston Villa,,First Half Goals 1.5,201698835
6/08/2022,31531623,Bournemouth v Aston Villa,,Over/Under 1.5 Goals,201698843
6/08/2022,31531623,Bournemouth v Aston Villa,,Match Odds,201698832
6/08/2022,31531623,Bournemouth v Aston Villa,,Over/Under 5.5 Goals,201698838
