Player,Player,Nation,Age,Minutes,ShotsOnTargetAgainst,GoalsAgainst,Saves,Save%,HomeTeam,Away_Team,Date,PlayerTeam
Jack Duncan,Jack Duncan,AUS,23-200,90,7,2,5,71.4,Wellington Phoenix,Newcastle Jets,5/11/2016,Newcastle Jets
Glen Moss,Glen Moss,NZL,33-291,90,3,0,3,100,Wellington Phoenix,Newcastle Jets,5/11/2016,Wellington Phoenix
Paul Izzo,Paul Izzo,AUS,21-305,90,3,1,3,100,Adelaide United,Central Coast Mariners,6/11/2016,Central Coast Mariners
Eugene Galekovic,Eugene Galekovic,AUS,35-147,90,3,2,1,33.3,Adelaide United,Central Coast Mariners,6/11/2016,Adelaide United
Andrew Redmayne,Andrew Redmayne,AUS,27-298,90,4,2,2,50,Perth Glory,Western Sydney Wanderers,6/11/2016,Western Sydney Wanderers
Liam Reddy,Liam Reddy,AUS,35-090,90,4,2,2,50,Perth Glory,Western Sydney Wanderers,6/11/2016,Perth Glory
Jack Duncan,Jack Duncan,AUS,23-205,90,5,2,3,60,Melbourne City,Newcastle Jets,10/11/2016,Newcastle Jets
Dean Bouzanis,Dean Bouzanis,AUS,26-039,90,1,1,0,0,Melbourne City,Newcastle Jets,10/11/2016,Melbourne City
Michael Theo,Michael Theo,AUS,35-274,90,1,1,0,0,Adelaide United,Brisbane Roar,11/11/2016,Brisbane Roar
Eugene Galekovic,Eugene Galekovic,AUS,35-152,90,7,1,6,85.7,Adelaide United,Brisbane Roar,11/11/2016,Adelaide United
Lewis Italiano,Lewis Italiano,AUS,25-338,90,2,0,2,100,Central Coast Mariners,Wellington Phoenix,12/11/2016,Wellington Phoenix
Paul Izzo,Paul Izzo,AUS,21-311,90,7,2,5,71.4,Central Coast Mariners,Wellington Phoenix,12/11/2016,Central Coast Mariners
Andrew Redmayne,Andrew Redmayne,AUS,27-304,90,7,3,4,57.1,Melbourne Victory,Western Sydney Wanderers,12/11/2016,Western Sydney Wanderers
Lawrence Thomas,Lawrence Thomas,AUS,24-187,90,2,0,2,100,Melbourne Victory,Western Sydney Wanderers,12/11/2016,Melbourne Victory
Liam Reddy,Liam Reddy,AUS,35-097,90,8,4,4,50,Sydney FC,Perth Glory,13/11/2016,Perth Glory
Danny Vukovic,Danny Vukovic,AUS,31-231,90,1,1,0,0,Sydney FC,Perth Glory,13/11/2016,Sydney FC
Eugene Galekovic,Eugene Galekovic,AUS,35-159,90,3,3,0,0,Perth Glory,Adelaide United,18/11/2016,Adelaide United
Liam Reddy,Liam Reddy,AUS,35-102,90,2,1,1,50,Perth Glory,Adelaide United,18/11/2016,Perth Glory
Dean Bouzanis,Dean Bouzanis,AUS,26-047,45,1,0,1,100,Western Sydney Wanderers,Melbourne City,18/11/2016,Melbourne City
Thomas Sørensen,Thomas Sorensen,DEN,40-159,45,1,1,0,0,Western Sydney Wanderers,Melbourne City,18/11/2016,Melbourne City
