Player,Player,Nation,Age,Minutes,ShotsOnTargetAgainst,GoalsAgainst,Saves,Save%,HomeTeam,Away_Team,Date,PlayerTeam
Vedran Janjetović,Vedran Janjetovic,AUS,30-223,90,5,3,3,60,Melbourne Victory,Western Sydney Wanderers,31/03/2018,Western Sydney Wanderers
Lawrence Thomas,Lawrence Thomas,AUS,25-326,90,5,1,4,80,Melbourne Victory,Western Sydney Wanderers,31/03/2018,Melbourne Victory
Dean Bouzanis,Dean Bouzanis,AUS,27-181,90,3,0,3,100,Newcastle Jets,Melbourne City,1/04/2018,Melbourne City
Jack Duncan,Jack Duncan,AUS,24-347,90,6,3,3,50,Newcastle Jets,Melbourne City,1/04/2018,Newcastle Jets
Liam Reddy,Liam Reddy,AUS,36-241,90,5,0,5,100,Newcastle Jets,Perth Glory,6/04/2018,Perth Glory
Jack Duncan,Jack Duncan,AUS,24-352,90,3,2,2,66.7,Newcastle Jets,Perth Glory,6/04/2018,Newcastle Jets
Ben Kennedy,Ben Kennedy,AUS,31-052,90,5,1,4,80,Melbourne City,Central Coast Mariners,7/04/2018,Central Coast Mariners
Dean Bouzanis,Dean Bouzanis,AUS,27-187,90,0,0,0,,Melbourne City,Central Coast Mariners,7/04/2018,Melbourne City
Jamie Young,Jamie Young,ENG,32-225,90,6,3,3,50,Western Sydney Wanderers,Brisbane Roar,7/04/2018,Brisbane Roar
Vedran Janjetović,Vedran Janjetovic,AUS,30-230,90,5,0,4,100,Western Sydney Wanderers,Brisbane Roar,7/04/2018,Western Sydney Wanderers
Oliver Sail,Oliver Sail,NZL,22-085,90,2,2,1,50,Melbourne Victory,Wellington Phoenix,8/04/2018,Wellington Phoenix
Lawrence Thomas,Lawrence Thomas,AUS,25-334,90,3,1,2,66.7,Melbourne Victory,Wellington Phoenix,8/04/2018,Melbourne Victory
Paul Izzo,Paul Izzo,AUS,23-092,90,5,3,2,40,Sydney FC,Adelaide United,8/04/2018,Adelaide United
Andrew Redmayne,Andrew Redmayne,AUS,29-085,90,2,0,2,100,Sydney FC,Adelaide United,8/04/2018,Sydney FC
Lawrence Thomas,Lawrence Thomas,AUS,25-339,90,5,1,4,80,Sydney FC,Melbourne Victory,13/04/2018,Melbourne Victory
Andrew Redmayne,Andrew Redmayne,AUS,29-090,90,1,0,1,100,Sydney FC,Melbourne Victory,13/04/2018,Sydney FC
Jack Duncan,Jack Duncan,AUS,24-360,90,7,2,5,71.4,Central Coast Mariners,Newcastle Jets,14/04/2018,Newcastle Jets
Ben Kennedy,Ben Kennedy,AUS,31-059,90,8,8,1,12.5,Central Coast Mariners,Newcastle Jets,14/04/2018,Central Coast Mariners
Jamie Young,Jamie Young,ENG,32-232,90,3,2,2,33.3,Perth Glory,Brisbane Roar,14/04/2018,Brisbane Roar
Liam Reddy,Liam Reddy,AUS,36-249,90,7,3,4,57.1,Perth Glory,Brisbane Roar,14/04/2018,Perth Glory
Dean Bouzanis,Dean Bouzanis,AUS,27-194,90,7,2,5,71.4,Wellington Phoenix,Melbourne City,14/04/2018,Melbourne City
Oliver Sail,Oliver Sail,NZL,22-091,90,4,1,3,75,Wellington Phoenix,Melbourne City,14/04/2018,Wellington Phoenix
Paul Izzo,Paul Izzo,AUS,23-099,90,4,2,4,75,Western Sydney Wanderers,Adelaide United,15/04/2018,Adelaide United
Vedran Janjetović,Vedran Janjetovic,AUS,30-238,90,4,3,1,25,Western Sydney Wanderers,Adelaide United,15/04/2018,Western Sydney Wanderers
Jamie Young,Jamie Young,ENG,32-238,90,9,2,7,77.8,Melbourne City,Brisbane Roar,20/04/2018,Brisbane Roar
Dean Bouzanis,Dean Bouzanis,AUS,27-200,90,0,0,0,,Melbourne City,Brisbane Roar,20/04/2018,Melbourne City
Paul Izzo,Paul Izzo,AUS,23-106,90,5,2,3,60,Melbourne Victory,Adelaide United,22/04/2018,Adelaide United
Lawrence Thomas,Lawrence Thomas,AUS,25-348,90,3,1,2,66.7,Melbourne Victory,Adelaide United,22/04/2018,Melbourne Victory
Dean Bouzanis,Dean Bouzanis,AUS,27-207,90,3,2,1,33.3,Newcastle Jets,Melbourne City,27/04/2018,Melbourne City
Jack Duncan,Jack Duncan,AUS,25-008,28,1,1,0,0,Newcastle Jets,Melbourne City,27/04/2018,Newcastle Jets
Glen Moss,Glen Moss,NZL,35-098,62,1,0,1,100,Newcastle Jets,Melbourne City,27/04/2018,Newcastle Jets
Lawrence Thomas,Lawrence Thomas,AUS,25-354,120,12,2,10,83.3,Sydney FC,Melbourne Victory,28/04/2018,Melbourne Victory
Andrew Redmayne,Andrew Redmayne,AUS,29-105,120,6,3,4,50,Sydney FC,Melbourne Victory,28/04/2018,Sydney FC
Lawrence Thomas,Lawrence Thomas,AUS,25-361,90,4,0,4,100,Newcastle Jets,Melbourne Victory,5/05/2018,Melbourne Victory
Glen Moss,Glen Moss,NZL,35-106,90,2,1,1,50,Newcastle Jets,Melbourne Victory,5/05/2018,Newcastle Jets
Andrew Redmayne,Andrew Redmayne,AUS,29-279,90,3,1,2,66.7,Adelaide United,Sydney FC,19/10/2018,Sydney FC
Paul Izzo,Paul Izzo,AUS,23-286,90,3,1,2,66.7,Adelaide United,Sydney FC,19/10/2018,Adelaide United
Eugene Galekovic,Eugene Galekovic,AUS,37-130,90,7,1,6,85.7,Melbourne Victory,Melbourne City,20/10/2018,Melbourne City
Lawrence Thomas,Lawrence Thomas,AUS,26-164,90,3,2,2,33.3,Melbourne Victory,Melbourne City,20/10/2018,Melbourne Victory
Ben Kennedy,Ben Kennedy,AUS,31-249,90,5,1,4,80,Brisbane Roar,Central Coast Mariners,21/10/2018,Central Coast Mariners
Jamie Young,Jamie Young,ENG,33-057,90,2,1,1,50,Brisbane Roar,Central Coast Mariners,21/10/2018,Brisbane Roar
Vedran Janjetović,Vedran Janjetovic,AUS,31-062,90,5,1,4,80,Perth Glory,Western Sydney Wanderers,21/10/2018,Western Sydney Wanderers
Liam Reddy,Liam Reddy,AUS,37-074,90,4,1,3,75,Perth Glory,Western Sydney Wanderers,21/10/2018,Perth Glory
Glen Moss,Glen Moss,NZL,35-275,90,2,2,1,0,Wellington Phoenix,Newcastle Jets,21/10/2018,Newcastle Jets
Filip Kurto,Filip Kurto,POL,27-129,90,5,1,4,80,Wellington Phoenix,Newcastle Jets,21/10/2018,Wellington Phoenix
Glen Moss,Glen Moss,NZL,35-280,90,3,1,2,66.7,Adelaide United,Newcastle Jets,26/10/2018,Newcastle Jets
Paul Izzo,Paul Izzo,AUS,23-293,90,2,1,1,50,Adelaide United,Newcastle Jets,26/10/2018,Adelaide United
Eugene Galekovic,Eugene Galekovic,AUS,37-137,90,3,1,2,66.7,Central Coast Mariners,Melbourne City,27/10/2018,Melbourne City
Ben Kennedy,Ben Kennedy,AUS,31-255,90,5,1,4,80,Central Coast Mariners,Melbourne City,27/10/2018,Central Coast Mariners
Vedran Janjetović,Vedran Janjetovic,AUS,31-068,90,5,2,3,60,Sydney FC,Western Sydney Wanderers,27/10/2018,Western Sydney Wanderers
Andrew Redmayne,Andrew Redmayne,AUS,29-287,90,3,0,2,100,Sydney FC,Western Sydney Wanderers,27/10/2018,Sydney FC
Filip Kurto,Filip Kurto,POL,27-136,90,2,0,2,100,Brisbane Roar,Wellington Phoenix,28/10/2018,Wellington Phoenix
Jamie Young,Jamie Young,ENG,33-064,90,2,0,2,100,Brisbane Roar,Wellington Phoenix,28/10/2018,Brisbane Roar
Liam Reddy,Liam Reddy,AUS,37-081,90,6,2,4,66.7,Melbourne Victory,Perth Glory,28/10/2018,Perth Glory
Lawrence Thomas,Lawrence Thomas,AUS,26-172,90,4,3,1,25,Melbourne Victory,Perth Glory,28/10/2018,Melbourne Victory
Andrew Redmayne,Andrew Redmayne,AUS,29-293,90,2,0,2,100,Melbourne City,Sydney FC,2/11/2018,Sydney FC
Eugene Galekovic,Eugene Galekovic,AUS,37-143,90,4,3,1,25,Melbourne City,Sydney FC,2/11/2018,Melbourne City
Lawrence Thomas,Lawrence Thomas,AUS,26-178,90,4,0,4,100,Newcastle Jets,Melbourne Victory,3/11/2018,Melbourne Victory
Glen Moss,Glen Moss,NZL,35-288,90,3,1,2,66.7,Newcastle Jets,Melbourne Victory,3/11/2018,Newcastle Jets
Jamie Young,Jamie Young,ENG,33-070,90,8,2,6,75,Perth Glory,Brisbane Roar,3/11/2018,Brisbane Roar
Liam Reddy,Liam Reddy,AUS,37-087,90,0,1,0,,Perth Glory,Brisbane Roar,3/11/2018,Perth Glory
Vedran Janjetović,Vedran Janjetovic,AUS,31-075,90,4,0,4,100,Wellington Phoenix,Western Sydney Wanderers,3/11/2018,Western Sydney Wanderers
Filip Kurto,Filip Kurto,POL,27-142,90,5,3,3,60,Wellington Phoenix,Western Sydney Wanderers,3/11/2018,Wellington Phoenix
Paul Izzo,Paul Izzo,AUS,23-302,90,2,0,2,100,Central Coast Mariners,Adelaide United,4/11/2018,Adelaide United
Ben Kennedy,Ben Kennedy,AUS,31-263,90,5,3,2,40,Central Coast Mariners,Adelaide United,4/11/2018,Central Coast Mariners
Filip Kurto,Filip Kurto,POL,27-148,90,7,2,5,71.4,Melbourne City,Wellington Phoenix,9/11/2018,Wellington Phoenix
Eugene Galekovic,Eugene Galekovic,AUS,37-150,90,1,0,1,100,Melbourne City,Wellington Phoenix,9/11/2018,Melbourne City
Andrew Redmayne,Andrew Redmayne,AUS,29-301,90,3,1,2,66.7,Newcastle Jets,Sydney FC,10/11/2018,Sydney FC
Glen Moss,Glen Moss,NZL,35-295,90,3,1,2,66.7,Newcastle Jets,Sydney FC,10/11/2018,Newcastle Jets
Jamie Young,Jamie Young,ENG,33-077,90,3,2,2,33.3,Western Sydney Wanderers,Brisbane Roar,10/11/2018,Brisbane Roar
Vedran Janjetović,Vedran Janjetovic,AUS,31-082,90,3,2,2,66.7,Western Sydney Wanderers,Brisbane Roar,10/11/2018,Western Sydney Wanderers
Liam Reddy,Liam Reddy,AUS,37-095,90,1,0,1,100,Adelaide United,Perth Glory,11/11/2018,Perth Glory
Paul Izzo,Paul Izzo,AUS,23-309,90,6,2,4,66.7,Adelaide United,Perth Glory,11/11/2018,Adelaide United
Ben Kennedy,Ben Kennedy,AUS,31-270,90,9,4,5,55.6,Melbourne Victory,Central Coast Mariners,11/11/2018,Central Coast Mariners
Lawrence Thomas,Lawrence Thomas,AUS,26-186,90,5,1,4,80,Melbourne Victory,Central Coast Mariners,11/11/2018,Melbourne Victory
Glen Moss,Glen Moss,NZL,35-308,90,5,0,5,100,Western Sydney Wanderers,Newcastle Jets,23/11/2018,Newcastle Jets
Vedran Janjetović,Vedran Janjetovic,AUS,31-095,90,5,2,3,60,Western Sydney Wanderers,Newcastle Jets,23/11/2018,Western Sydney Wanderers
Eugene Galekovic,Eugene Galekovic,AUS,37-165,90,4,2,2,50,Brisbane Roar,Melbourne City,24/11/2018,Melbourne City
Jamie Young,Jamie Young,ENG,33-091,90,3,0,3,100,Brisbane Roar,Melbourne City,24/11/2018,Brisbane Roar
Paul Izzo,Paul Izzo,AUS,23-322,90,4,1,3,75,Wellington Phoenix,Adelaide United,24/11/2018,Adelaide United
Filip Kurto,Filip Kurto,POL,27-163,90,6,3,3,50,Wellington Phoenix,Adelaide United,24/11/2018,Wellington Phoenix
Ben Kennedy,Ben Kennedy,AUS,31-284,90,4,3,1,25,Perth Glory,Central Coast Mariners,25/11/2018,Central Coast Mariners
Liam Reddy,Liam Reddy,AUS,37-109,90,4,2,2,50,Perth Glory,Central Coast Mariners,25/11/2018,Perth Glory
Lawrence Thomas,Lawrence Thomas,AUS,26-200,90,1,1,1,0,Sydney FC,Melbourne Victory,25/11/2018,Melbourne Victory
Andrew Redmayne,Andrew Redmayne,AUS,29-316,90,4,2,3,75,Sydney FC,Melbourne Victory,25/11/2018,Sydney FC
Jamie Young,Jamie Young,ENG,33-097,90,8,2,6,75,Adelaide United,Brisbane Roar,30/11/2018,Brisbane Roar
Paul Izzo,Paul Izzo,AUS,23-328,90,5,1,4,80,Adelaide United,Brisbane Roar,30/11/2018,Adelaide United
Andrew Redmayne,Andrew Redmayne,AUS,29-322,90,4,1,3,75,Central Coast Mariners,Sydney FC,1/12/2018,Sydney FC
Ben Kennedy,Ben Kennedy,AUS,31-290,90,2,2,1,50,Central Coast Mariners,Sydney FC,1/12/2018,Central Coast Mariners
Vedran Janjetović,Vedran Janjetovic,AUS,31-103,90,10,4,7,70,Melbourne Victory,Western Sydney Wanderers,1/12/2018,Western Sydney Wanderers
Lawrence Thomas,Lawrence Thomas,AUS,26-206,90,5,0,5,100,Melbourne Victory,Western Sydney Wanderers,1/12/2018,Melbourne Victory
Glen Moss,Glen Moss,NZL,35-317,90,6,3,3,50,Melbourne City,Newcastle Jets,2/12/2018,Newcastle Jets
Eugene Galekovic,Eugene Galekovic,AUS,37-173,90,3,0,3,100,Melbourne City,Newcastle Jets,2/12/2018,Melbourne City
Liam Reddy,Liam Reddy,AUS,37-116,90,4,1,3,75,Wellington Phoenix,Perth Glory,2/12/2018,Perth Glory
Filip Kurto,Filip Kurto,POL,27-171,19,0,0,0,,Wellington Phoenix,Perth Glory,2/12/2018,Wellington Phoenix
Oliver Sail,Oliver Sail,NZL,22-323,71,3,1,2,66.7,Wellington Phoenix,Perth Glory,2/12/2018,Wellington Phoenix
Ben Kennedy,Ben Kennedy,AUS,31-296,90,7,2,5,71.4,Western Sydney Wanderers,Central Coast Mariners,7/12/2018,Central Coast Mariners
Vedran Janjetović,Vedran Janjetovic,AUS,31-109,90,3,0,3,100,Western Sydney Wanderers,Central Coast Mariners,7/12/2018,Western Sydney Wanderers
Paul Izzo,Paul Izzo,AUS,23-336,90,4,2,2,50,Melbourne Victory,Adelaide United,8/12/2018,Adelaide United
Lawrence Thomas,Lawrence Thomas,AUS,26-213,90,4,0,4,100,Melbourne Victory,Adelaide United,8/12/2018,Melbourne Victory
Eugene Galekovic,Eugene Galekovic,AUS,37-179,90,4,1,3,75,Perth Glory,Melbourne City,8/12/2018,Melbourne City
Liam Reddy,Liam Reddy,AUS,37-122,90,0,0,0,,Perth Glory,Melbourne City,8/12/2018,Perth Glory
Oliver Sail,Oliver Sail,NZL,22-329,90,4,1,3,75,Sydney FC,Wellington Phoenix,8/12/2018,Wellington Phoenix
Andrew Redmayne,Andrew Redmayne,AUS,29-329,90,7,3,4,57.1,Sydney FC,Wellington Phoenix,8/12/2018,Sydney FC
Jamie Young,Jamie Young,ENG,33-106,90,4,2,2,50,Newcastle Jets,Brisbane Roar,9/12/2018,Brisbane Roar
Glen Moss,Glen Moss,NZL,35-324,90,3,0,3,100,Newcastle Jets,Brisbane Roar,9/12/2018,Newcastle Jets
Lawrence Thomas,Lawrence Thomas,AUS,26-219,90,3,2,2,66.7,Brisbane Roar,Melbourne Victory,14/12/2018,Melbourne Victory
Jamie Young,Jamie Young,ENG,33-111,90,3,4,0,0,Brisbane Roar,Melbourne Victory,14/12/2018,Brisbane Roar
Adam Pearce,Adam Pearce,AUS,21-341,90,4,2,2,50,Wellington Phoenix,Central Coast Mariners,15/12/2018,Central Coast Mariners
Filip Kurto,Filip Kurto,POL,27-184,90,2,0,2,100,Wellington Phoenix,Central Coast Mariners,15/12/2018,Wellington Phoenix
Andrew Redmayne,Andrew Redmayne,AUS,29-336,90,2,1,1,50,Western Sydney Wanderers,Sydney FC,15/12/2018,Sydney FC
Vedran Janjetović,Vedran Janjetovic,AUS,31-117,25,1,0,1,100,Western Sydney Wanderers,Sydney FC,15/12/2018,Western Sydney Wanderers
Danijel Nizic,Danijel Nizic,AUS,23-275,62,4,3,1,25,Western Sydney Wanderers,Sydney FC,15/12/2018,Western Sydney Wanderers
Eugene Galekovic,Eugene Galekovic,AUS,37-187,90,2,0,2,100,Adelaide United,Melbourne City,16/12/2018,Melbourne City
Paul Izzo,Paul Izzo,AUS,23-344,90,3,2,1,33.3,Adelaide United,Melbourne City,16/12/2018,Adelaide United
Liam Reddy,Liam Reddy,AUS,37-130,90,6,0,6,100,Newcastle Jets,Perth Glory,16/12/2018,Perth Glory
Glen Moss,Glen Moss,NZL,35-331,90,2,2,1,50,Newcastle Jets,Perth Glory,16/12/2018,Newcastle Jets
Andrew Redmayne,Andrew Redmayne,AUS,29-342,90,4,1,3,75,Perth Glory,Sydney FC,21/12/2018,Sydney FC
Liam Reddy,Liam Reddy,AUS,37-135,90,5,2,3,60,Perth Glory,Sydney FC,21/12/2018,Perth Glory
Lawrence Thomas,Lawrence Thomas,AUS,26-227,90,5,1,4,80,Melbourne City,Melbourne Victory,22/12/2018,Melbourne Victory
Eugene Galekovic,Eugene Galekovic,AUS,37-193,90,2,1,1,50,Melbourne City,Melbourne Victory,22/12/2018,Melbourne City
Jamie Young,Jamie Young,ENG,33-119,90,6,4,3,50,Wellington Phoenix,Brisbane Roar,22/12/2018,Brisbane Roar
Filip Kurto,Filip Kurto,POL,27-191,90,3,1,2,66.7,Wellington Phoenix,Brisbane Roar,22/12/2018,Wellington Phoenix
Glen Moss,Glen Moss,NZL,35-338,90,5,1,4,80,Central Coast Mariners,Newcastle Jets,23/12/2018,Newcastle Jets
Adam Pearce,Adam Pearce,AUS,21-349,90,7,2,5,71.4,Central Coast Mariners,Newcastle Jets,23/12/2018,Central Coast Mariners
Nick Suman,Nick Suman,AUS,18-301,90,4,2,2,50,Adelaide United,Western Sydney Wanderers,26/12/2018,Western Sydney Wanderers
Paul Izzo,Paul Izzo,AUS,23-354,90,6,2,5,66.7,Adelaide United,Western Sydney Wanderers,26/12/2018,Adelaide United
Filip Kurto,Filip Kurto,POL,27-197,90,6,1,5,83.3,Melbourne Victory,Wellington Phoenix,28/12/2018,Wellington Phoenix
Lawrence Thomas,Lawrence Thomas,AUS,26-233,90,3,1,2,66.7,Melbourne Victory,Wellington Phoenix,28/12/2018,Melbourne Victory
Jamie Young,Jamie Young,ENG,33-126,90,8,2,6,75,Sydney FC,Brisbane Roar,29/12/2018,Brisbane Roar
Andrew Redmayne,Andrew Redmayne,AUS,29-350,90,4,1,4,75,Sydney FC,Brisbane Roar,29/12/2018,Sydney FC
Paul Izzo,Paul Izzo,AUS,23-358,90,8,1,7,87.5,Newcastle Jets,Adelaide United,30/12/2018,Adelaide United
Glen Moss,Glen Moss,NZL,35-345,45,3,1,2,66.7,Newcastle Jets,Adelaide United,30/12/2018,Newcastle Jets
Lewis Italiano,Lewis Italiano,AUS,28-020,45,2,1,2,100,Newcastle Jets,Adelaide United,30/12/2018,Newcastle Jets
Liam Reddy,Liam Reddy,AUS,37-145,90,2,1,1,50,Central Coast Mariners,Perth Glory,31/12/2018,Perth Glory
Adam Pearce,Adam Pearce,AUS,21-357,90,7,4,3,42.9,Central Coast Mariners,Perth Glory,31/12/2018,Central Coast Mariners
Eugene Galekovic,Eugene Galekovic,AUS,37-203,90,4,0,5,100,Western Sydney Wanderers,Melbourne City,1/01/2019,Melbourne City
Vedran Janjetović,Vedran Janjetovic,AUS,31-134,90,3,2,1,33.3,Western Sydney Wanderers,Melbourne City,1/01/2019,Western Sydney Wanderers
Jamie Young,Jamie Young,ENG,33-130,90,8,2,6,75,Newcastle Jets,Brisbane Roar,2/01/2019,Brisbane Roar
Lewis Italiano,Lewis Italiano,AUS,28-023,90,5,2,3,60,Newcastle Jets,Brisbane Roar,2/01/2019,Newcastle Jets
Ben Kennedy,Ben Kennedy,AUS,31-324,90,12,5,8,66.7,Sydney FC,Central Coast Mariners,4/01/2019,Central Coast Mariners
Andrew Redmayne,Andrew Redmayne,AUS,29-356,90,2,2,0,0,Sydney FC,Central Coast Mariners,4/01/2019,Sydney FC
Filip Kurto,Filip Kurto,POL,27-205,90,7,0,7,100,Adelaide United,Wellington Phoenix,5/01/2019,Wellington Phoenix
Paul Izzo,Paul Izzo,AUS,23-364,90,2,0,2,100,Adelaide United,Wellington Phoenix,5/01/2019,Adelaide United
Lawrence Thomas,Lawrence Thomas,AUS,26-241,90,5,1,5,100,Western Sydney Wanderers,Melbourne Victory,5/01/2019,Melbourne Victory
Vedran Janjetović,Vedran Janjetovic,AUS,31-138,90,3,2,1,33.3,Western Sydney Wanderers,Melbourne Victory,5/01/2019,Western Sydney Wanderers
Liam Reddy,Liam Reddy,AUS,37-151,90,3,2,1,33.3,Brisbane Roar,Perth Glory,6/01/2019,Perth Glory
Jamie Young,Jamie Young,ENG,33-134,90,8,4,6,75,Brisbane Roar,Perth Glory,6/01/2019,Brisbane Roar
Lewis Italiano,Lewis Italiano,AUS,28-027,90,2,2,1,50,Melbourne City,Newcastle Jets,6/01/2019,Newcastle Jets
Eugene Galekovic,Eugene Galekovic,AUS,37-208,90,2,1,1,50,Melbourne City,Newcastle Jets,6/01/2019,Melbourne City
Filip Kurto,Filip Kurto,POL,27-208,90,8,2,6,75,Western Sydney Wanderers,Wellington Phoenix,8/01/2019,Wellington Phoenix
Vedran Janjetović,Vedran Janjetovic,AUS,31-141,90,6,3,3,50,Western Sydney Wanderers,Wellington Phoenix,8/01/2019,Western Sydney Wanderers
Lawrence Thomas,Lawrence Thomas,AUS,26-245,90,7,2,5,71.4,Adelaide United,Melbourne Victory,9/01/2019,Melbourne Victory
Paul Izzo,Paul Izzo,AUS,24-003,90,6,0,6,100,Adelaide United,Melbourne Victory,9/01/2019,Adelaide United
Andrew Redmayne,Andrew Redmayne,AUS,29-361,90,4,3,1,25,Perth Glory,Sydney FC,9/01/2019,Sydney FC
Liam Reddy,Liam Reddy,AUS,37-154,90,2,1,1,50,Perth Glory,Sydney FC,9/01/2019,Perth Glory
Jamie Young,Jamie Young,ENG,33-139,90,6,1,5,83.3,Melbourne City,Brisbane Roar,11/01/2019,Brisbane Roar
Eugene Galekovic,Eugene Galekovic,AUS,37-213,90,3,0,3,100,Melbourne City,Brisbane Roar,11/01/2019,Melbourne City
Lewis Italiano,Lewis Italiano,AUS,28-033,90,3,2,1,33.3,Melbourne Victory,Newcastle Jets,12/01/2019,Newcastle Jets
Lawrence Thomas,Lawrence Thomas,AUS,26-248,90,4,1,3,75,Melbourne Victory,Newcastle Jets,12/01/2019,Melbourne Victory
Ben Kennedy,Ben Kennedy,AUS,31-332,90,3,3,2,66.7,Wellington Phoenix,Central Coast Mariners,12/01/2019,Central Coast Mariners
Filip Kurto,Filip Kurto,POL,27-212,90,4,2,3,75,Wellington Phoenix,Central Coast Mariners,12/01/2019,Wellington Phoenix
Nick Suman,Nick Suman,AUS,18-319,90,7,4,4,57.1,Perth Glory,Western Sydney Wanderers,13/01/2019,Western Sydney Wanderers
Liam Reddy,Liam Reddy,AUS,37-158,90,5,3,2,40,Perth Glory,Western Sydney Wanderers,13/01/2019,Perth Glory
Paul Izzo,Paul Izzo,AUS,24-007,90,5,2,3,60,Sydney FC,Adelaide United,13/01/2019,Adelaide United
Andrew Redmayne,Andrew Redmayne,AUS,30-000,90,1,1,1,100,Sydney FC,Adelaide United,13/01/2019,Sydney FC
Lawrence Thomas,Lawrence Thomas,AUS,26-251,90,6,0,6,100,Brisbane Roar,Melbourne Victory,15/01/2019,Melbourne Victory
Jamie Young,Jamie Young,ENG,33-143,90,6,5,2,33.3,Brisbane Roar,Melbourne Victory,15/01/2019,Brisbane Roar
Eugene Galekovic,Eugene Galekovic,AUS,37-218,90,2,2,1,0,Central Coast Mariners,Melbourne City,16/01/2019,Melbourne City
Ben Kennedy,Ben Kennedy,AUS,31-336,90,4,1,3,75,Central Coast Mariners,Melbourne City,16/01/2019,Central Coast Mariners
Paul Izzo,Paul Izzo,AUS,24-012,90,4,1,3,75,Western Sydney Wanderers,Adelaide United,18/01/2019,Adelaide United
Nick Suman,Nick Suman,AUS,18-324,90,7,2,5,71.4,Western Sydney Wanderers,Adelaide United,18/01/2019,Western Sydney Wanderers
Liam Reddy,Liam Reddy,AUS,37-164,90,0,0,0,,Melbourne City,Perth Glory,19/01/2019,Perth Glory
Eugene Galekovic,Eugene Galekovic,AUS,37-221,90,2,0,2,100,Melbourne City,Perth Glory,19/01/2019,Melbourne City
Glen Moss,Glen Moss,NZL,36-000,90,6,1,5,83.3,Sydney FC,Newcastle Jets,19/01/2019,Newcastle Jets
Andrew Redmayne,Andrew Redmayne,AUS,30-006,90,1,0,1,100,Sydney FC,Newcastle Jets,19/01/2019,Sydney FC
Jamie Young,Jamie Young,ENG,33-148,90,4,1,3,75,Central Coast Mariners,Brisbane Roar,20/01/2019,Brisbane Roar
Ben Kennedy,Ben Kennedy,AUS,31-340,90,2,1,1,50,Central Coast Mariners,Brisbane Roar,20/01/2019,Central Coast Mariners
Filip Kurto,Filip Kurto,POL,27-220,90,8,3,5,62.5,Melbourne Victory,Wellington Phoenix,20/01/2019,Wellington Phoenix
Lawrence Thomas,Lawrence Thomas,AUS,26-256,90,6,3,4,66.7,Melbourne Victory,Wellington Phoenix,20/01/2019,Melbourne Victory
Nick Suman,Nick Suman,AUS,18-328,90,11,4,7,63.6,Melbourne City,Western Sydney Wanderers,22/01/2019,Western Sydney Wanderers
Eugene Galekovic,Eugene Galekovic,AUS,37-224,90,7,3,5,71.4,Melbourne City,Western Sydney Wanderers,22/01/2019,Melbourne City
Ben Kennedy,Ben Kennedy,AUS,31-343,90,4,1,3,75,Newcastle Jets,Central Coast Mariners,23/01/2019,Central Coast Mariners
Glen Moss,Glen Moss,NZL,36-004,90,3,0,3,100,Newcastle Jets,Central Coast Mariners,23/01/2019,Newcastle Jets
Paul Izzo,Paul Izzo,AUS,24-017,90,3,0,3,100,Perth Glory,Adelaide United,23/01/2019,Adelaide United
Liam Reddy,Liam Reddy,AUS,37-168,90,4,0,4,100,Perth Glory,Adelaide United,23/01/2019,Perth Glory
Andrew Redmayne,Andrew Redmayne,AUS,30-010,90,2,0,3,100,Wellington Phoenix,Sydney FC,23/01/2019,Sydney FC
Filip Kurto,Filip Kurto,POL,27-223,90,6,1,5,83.3,Wellington Phoenix,Sydney FC,23/01/2019,Wellington Phoenix
Vedran Janjetović,Vedran Janjetovic,AUS,31-158,90,5,2,3,60,Brisbane Roar,Western Sydney Wanderers,25/01/2019,Western Sydney Wanderers
Jamie Young,Jamie Young,ENG,33-153,90,3,2,1,33.3,Brisbane Roar,Western Sydney Wanderers,25/01/2019,Brisbane Roar
Andrew Redmayne,Andrew Redmayne,AUS,30-013,90,4,2,2,50,Melbourne Victory,Sydney FC,26/01/2019,Sydney FC
Lawrence Thomas,Lawrence Thomas,AUS,26-262,90,5,1,4,80,Melbourne Victory,Sydney FC,26/01/2019,Melbourne Victory
Eugene Galekovic,Eugene Galekovic,AUS,37-228,90,5,1,4,80,Wellington Phoenix,Melbourne City,26/01/2019,Melbourne City
Filip Kurto,Filip Kurto,POL,27-226,90,6,0,6,100,Wellington Phoenix,Melbourne City,26/01/2019,Wellington Phoenix
Ben Kennedy,Ben Kennedy,AUS,31-347,90,10,2,8,80,Adelaide United,Central Coast Mariners,27/01/2019,Central Coast Mariners
Paul Izzo,Paul Izzo,AUS,24-021,90,3,1,2,66.7,Adelaide United,Central Coast Mariners,27/01/2019,Adelaide United
Glen Moss,Glen Moss,NZL,36-008,90,7,2,5,71.4,Perth Glory,Newcastle Jets,27/01/2019,Newcastle Jets
Liam Reddy,Liam Reddy,AUS,37-172,90,2,0,2,100,Perth Glory,Newcastle Jets,27/01/2019,Perth Glory
Glen Moss,Glen Moss,NZL,36-013,90,7,1,6,85.7,Western Sydney Wanderers,Newcastle Jets,1/02/2019,Newcastle Jets
Vedran Janjetović,Vedran Janjetovic,AUS,31-165,90,6,5,3,33.3,Western Sydney Wanderers,Newcastle Jets,1/02/2019,Western Sydney Wanderers
Jamie Young,Jamie Young,ENG,33-161,63,1,0,1,100,Adelaide United,Brisbane Roar,2/02/2019,Brisbane Roar
