Player,Number,Nation,Pos,Age,Minutes,Goals,Assists,Penalty_Goals,Penalty_Shots,Shots,ShotsOnTarget,CardsYellow,CardsRed,FoulsAgainst,FoulsFor,Offsides,Crosses,TacklesWon,Intercepts,OwnGoals,home,away,date,player_team
Asumah Abubakar,11,pt POR,FW,27-302,86,0,0,0,0,0,0,0,0,2,2,1,2,0,0,0,Adelaide United,Brisbane Roar,8/03/2025,Brisbane Roar
Rafael Struick,7,id IDN,FW,21-346,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Adelaide United,Brisbane Roar,8/03/2025,Brisbane Roar
Henry Hore,13,au AUS,AM,25-203,86,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,Adelaide United,Brisbane Roar,8/03/2025,Brisbane Roar
Adam Zimarino,43,au AUS,MF,23-192,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Adelaide United,Brisbane Roar,8/03/2025,Brisbane Roar
Nathan Amanatidis,17,au AUS,AM,19-044,55,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Adelaide United,Brisbane Roar,8/03/2025,Brisbane Roar
Jacob Brazete,18,au AUS,FW,19-047,35,1,0,0,0,3,2,0,0,1,0,0,1,0,0,0,Adelaide United,Brisbane Roar,8/03/2025,Brisbane Roar
Keegan Jelacic,23,nz NZL,DM,22-220,89,0,0,0,0,1,0,1,0,2,0,1,6,1,0,0,Adelaide United,Brisbane Roar,8/03/2025,Brisbane Roar
James Durrington,47,au AUS,MF,18-347,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Adelaide United,Brisbane Roar,8/03/2025,Brisbane Roar
Jay OShea,26,ie IRL,DM,36-210,90,0,1,0,0,0,0,0,0,0,2,0,1,1,1,0,Adelaide United,Brisbane Roar,8/03/2025,Brisbane Roar
Samuel Klein,24,au AUS,DM,,90,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,Adelaide United,Brisbane Roar,8/03/2025,Brisbane Roar
Louis Zabala,35,au AUS,LB,24-042,90,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,Adelaide United,Brisbane Roar,8/03/2025,Brisbane Roar
Austin Ludwik,6,,CB,,61,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Adelaide United,Brisbane Roar,8/03/2025,Brisbane Roar
Lucas Herrington,12,au AUS,DF,17-184,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Adelaide United,Brisbane Roar,8/03/2025,Brisbane Roar
Hosine Bility,15,au AUS,CB,23-302,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Adelaide United,Brisbane Roar,8/03/2025,Brisbane Roar
Antonee Burke-Gilroy,21,au AUS,RB,27-156,55,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,Adelaide United,Brisbane Roar,8/03/2025,Brisbane Roar
Jack Hingert,19,lk SRI,"DF,MF",34-163,35,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,Adelaide United,Brisbane Roar,8/03/2025,Brisbane Roar
Matt Acton,29,au AUS,GK,32-278,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Adelaide United,Brisbane Roar,8/03/2025,Brisbane Roar
Archie Goodwin,26,au AUS,FW,20-121,90,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Adelaide United,Brisbane Roar,8/03/2025,Adelaide United
Ben Folami,17,au AUS,AM,25-273,45,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,Adelaide United,Brisbane Roar,8/03/2025,Adelaide United
Jonny Yull,12,au AUS,MF,20-003,45,0,0,0,0,2,1,0,0,0,1,0,4,0,0,0,Adelaide United,Brisbane Roar,8/03/2025,Adelaide United
