Player,Number,Nation,Pos,Age,Minutes,Goals,Assists,Penalty_Goals,Penalty_Shots,Shots,ShotsOnTarget,CardsYellow,CardsRed,FoulsAgainst,FoulsFor,Offsides,Crosses,TacklesWon,Intercepts,OwnGoals,date,player_team,date,player_team
Archie Goodwin,26,au AUS,FW,20-114,89,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,Auckland FC,Adelaide United,1/03/2025,Adelaide United
Austin Ayoubi,42,au AUS,FW,23-217,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,Auckland FC,Adelaide United,1/03/2025,Adelaide United
Ben Folami,17,au AUS,AM,25-266,62,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,Auckland FC,Adelaide United,1/03/2025,Adelaide United
Stefan Mauk,6,au AUS,"FW,MF",29-140,28,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,Auckland FC,Adelaide United,1/03/2025,Adelaide United
Zach Clough,10,eng ENG,AM,29-358,89,2,0,2,2,7,3,0,0,0,1,0,5,1,0,0,Auckland FC,Adelaide United,1/03/2025,Adelaide United
Ryan White,44,au AUS,MF,20-282,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,Auckland FC,Adelaide United,1/03/2025,Adelaide United
Yaya Dukuly,19,au AUS,AM,22-043,81,0,0,0,0,3,0,0,0,3,1,0,0,0,0,0,Auckland FC,Adelaide United,1/03/2025,Adelaide United
Amlani Tatu,74,au AUS,FW,17-053,9,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,Auckland FC,Adelaide United,1/03/2025,Adelaide United
Ethan Alagich,55,au AUS,DM,21-073,90,0,0,0,0,1,0,0,0,0,3,0,3,2,3,0,Auckland FC,Adelaide United,1/03/2025,Adelaide United
Jay Barnett,14,au AUS,DM,24-015,90,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,Auckland FC,Adelaide United,1/03/2025,Adelaide United
Ryan Kitto,7,au AUS,LB,30-204,90,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,Auckland FC,Adelaide United,1/03/2025,Adelaide United
Jordan Elsey,4,au AUS,CB,30-364,90,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,Auckland FC,Adelaide United,1/03/2025,Adelaide United
Bart Vriends,3,nl NED,CB,33-296,90,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,Auckland FC,Adelaide United,1/03/2025,Adelaide United
Harry Crawford,58,au AUS,RB,18-231,90,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,Auckland FC,Adelaide United,1/03/2025,Adelaide United
Ethan Cox,40,au AUS,GK,21-053,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Auckland FC,Adelaide United,1/03/2025,Adelaide United
Max Mata,9,nz NZL,FW,24-234,54,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,Auckland FC,Adelaide United,1/03/2025,Auckland FC
Jesse Randall,21,nz NZL,FW,22-194,36,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,Auckland FC,Adelaide United,1/03/2025,Auckland FC
Guillermo May,10,uy URU,FW,26-355,90,2,0,0,0,7,2,0,0,1,1,1,0,1,1,0,Auckland FC,Adelaide United,1/03/2025,Auckland FC
Neyder Moreno,25,co COL,LM,28-020,83,0,0,0,0,1,0,0,0,0,2,0,2,3,2,0,Auckland FC,Adelaide United,1/03/2025,Auckland FC
Callan Elliot,17,nz NZL,DF,25-237,7,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,Auckland FC,Adelaide United,1/03/2025,Auckland FC
Felipe Gallegos,28,cl CHI,CM,33-088,69,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,Auckland FC,Adelaide United,1/03/2025,Auckland FC
Cameron Howieson,7,nz NZL,MF,30-069,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Auckland FC,Adelaide United,1/03/2025,Auckland FC
Jake Brimmer,22,au AUS,CM,26-332,54,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,Auckland FC,Adelaide United,1/03/2025,Auckland FC
Louis Verstraete,6,be BEL,MF,25-301,36,0,0,0,0,0,0,0,0,2,2,0,1,1,2,0,Auckland FC,Adelaide United,1/03/2025,Auckland FC
Logan Rogerson,27,nz NZL,RM,26-277,69,1,0,0,0,1,1,0,0,0,0,1,0,2,1,0,Auckland FC,Adelaide United,1/03/2025,Auckland FC
Marlee Francois,11,au AUS,FW,22-062,21,0,0,0,0,1,0,0,0,0,0,0,1,4,0,0,Auckland FC,Adelaide United,1/03/2025,Auckland FC
Francis de Vries,15,nz NZL,LB,30-093,90,0,2,0,0,0,0,0,0,1,0,0,7,5,2,0,Auckland FC,Adelaide United,1/03/2025,Auckland FC
Nando Pijnaker,4,nz NZL,CB,26-004,90,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,Auckland FC,Adelaide United,1/03/2025,Auckland FC
Tommy Smith,5,nz NZL,CB,34-335,90,0,0,0,0,1,1,0,0,3,0,0,0,0,1,0,Auckland FC,Adelaide United,1/03/2025,Auckland FC
Hiroki Sakai,2,jp JPN,RB,34-323,90,1,0,0,0,2,2,0,0,1,0,0,2,1,3,0,Auckland FC,Adelaide United,1/03/2025,Auckland FC
Alex Paulsen,12,nz NZL,GK,22-240,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Auckland FC,Adelaide United,1/03/2025,Auckland FC
Nikos Vergos,9,gr GRE,FW,29-047,71,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,Brisbane Roar,Melbourne Victory,1/03/2025,Melbourne Victory
Bruno Fornaroli,10,au AUS,FW,37-175,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brisbane Roar,Melbourne Victory,1/03/2025,Melbourne Victory
Reno Piscopo,27,au AUS,AM,26-278,77,0,0,0,0,2,2,0,0,0,1,0,2,1,0,0,Brisbane Roar,Melbourne Victory,1/03/2025,Melbourne Victory
Daniel Arzani,7,au AUS,MF,26-056,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Brisbane Roar,Melbourne Victory,1/03/2025,Melbourne Victory
Zinedine Machach,8,fr FRA,AM,29-055,58,0,0,0,0,1,0,1,0,2,1,0,0,1,0,0,Brisbane Roar,Melbourne Victory,1/03/2025,Melbourne Victory
Nishan Velupillay,17,au AUS,MF,23-298,32,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,Brisbane Roar,Melbourne Victory,1/03/2025,Melbourne Victory
Santos,11,br BRA,AM,23-217,90,0,0,0,0,1,0,0,0,0,2,0,2,1,2,0,Brisbane Roar,Melbourne Victory,1/03/2025,Melbourne Victory
Jordi Valadon,14,au AUS,DM,21-362,77,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,Brisbane Roar,Melbourne Victory,1/03/2025,Melbourne Victory
Fabian Monge,18,au AUS,MF,23-232,13,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Brisbane Roar,Melbourne Victory,1/03/2025,Melbourne Victory
Ryan Teague,6,au AUS,DM,23-036,90,0,0,0,0,2,1,0,0,0,1,0,4,2,0,0,Brisbane Roar,Melbourne Victory,1/03/2025,Melbourne Victory
Kasey Bos,28,au AUS,LB,20-297,90,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,Brisbane Roar,Melbourne Victory,1/03/2025,Melbourne Victory
Roderick Miranda,21,pt POR,CB,33-336,90,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,Brisbane Roar,Melbourne Victory,1/03/2025,Melbourne Victory
Brendan Hamill,5,au AUS,CB,32-164,70,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,Brisbane Roar,Melbourne Victory,1/03/2025,Melbourne Victory
Lachlan Jackson,4,au AUS,DF,29-354,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brisbane Roar,Melbourne Victory,1/03/2025,Melbourne Victory
Joshua Rawlins,22,au AUS,RB,20-312,90,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,Brisbane Roar,Melbourne Victory,1/03/2025,Melbourne Victory
Mitchell Langerak,1,au AUS,GK,36-191,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Brisbane Roar,Melbourne Victory,1/03/2025,Melbourne Victory
Nathan Amanatidis,17,au AUS,FW,19-037,52,0,0,0,0,3,2,0,0,3,0,0,0,0,0,0,Brisbane Roar,Melbourne Victory,1/03/2025,Brisbane Roar
Adam Zimarino,43,au AUS,MF,23-185,38,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,Brisbane Roar,Melbourne Victory,1/03/2025,Brisbane Roar
Asumah Abubakar,11,pt POR,FW,27-295,45,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,Brisbane Roar,Melbourne Victory,1/03/2025,Brisbane Roar
Ben Halloran,27,au AUS,"FW,MF",32-260,45,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,Brisbane Roar,Melbourne Victory,1/03/2025,Brisbane Roar
Henry Hore,13,au AUS,LM,25-196,90,1,0,0,0,2,1,1,0,2,0,0,0,1,1,0,Brisbane Roar,Melbourne Victory,1/03/2025,Brisbane Roar
Jay OShea,26,ie IRL,CM,36-203,90,0,1,0,0,1,1,1,0,2,1,0,1,2,3,0,Brisbane Roar,Melbourne Victory,1/03/2025,Brisbane Roar
Samuel Klein,24,au AUS,CM,,90,0,0,0,0,3,2,0,0,2,1,0,1,1,0,0,Brisbane Roar,Melbourne Victory,1/03/2025,Brisbane Roar
Keegan Jelacic,23,nz NZL,RM,22-213,90,0,0,0,0,0,0,1,0,2,1,0,4,1,1,0,Brisbane Roar,Melbourne Victory,1/03/2025,Brisbane Roar
Antonee Burke-Gilroy,21,au AUS,LB,27-149,84,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,Brisbane Roar,Melbourne Victory,1/03/2025,Brisbane Roar
Pearson Kasawaya,14,au AUS,DF,18-138,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brisbane Roar,Melbourne Victory,1/03/2025,Brisbane Roar
Hosine Bility,15,au AUS,CB,23-295,90,0,0,0,0,0,0,0,0,2,1,0,0,2,1,0,Brisbane Roar,Melbourne Victory,1/03/2025,Brisbane Roar
Austin Ludwik,6,,CB,,68,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,Brisbane Roar,Melbourne Victory,1/03/2025,Brisbane Roar
Jack Hingert,19,lk SRI,"DF,MF",34-156,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Brisbane Roar,Melbourne Victory,1/03/2025,Brisbane Roar
Louis Zabala,35,au AUS,RB,24-035,90,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Brisbane Roar,Melbourne Victory,1/03/2025,Brisbane Roar
Matt Acton,29,au AUS,GK,32-271,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brisbane Roar,Melbourne Victory,1/03/2025,Brisbane Roar
Hiroshi Ibusuki,9,jp JPN,FW,34-001,63,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,Central Coast Mariners,Western United,28/02/2025,Western United
Michael Ruhs,24,au AUS,FW,22-185,27,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,Central Coast Mariners,Western United,28/02/2025,Western United
Noah Botic,19,au AUS,FW,23-048,77,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,Central Coast Mariners,Western United,28/02/2025,Western United
Ramy Najjarine,7,au AUS,MF,24-311,13,0,0,0,0,1,1,0,0,1,0,0,2,0,0,0,Central Coast Mariners,Western United,28/02/2025,Western United
Abel Walatee,20,au AUS,LM,21-006,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Central Coast Mariners,Western United,28/02/2025,Western United
Riku Danzaki,77,jp JPN,MF,24-273,65,0,1,0,0,3,1,0,0,0,0,0,1,2,0,0,Central Coast Mariners,Western United,28/02/2025,Western United
Angus Thurgate,32,au AUS,CM,25-020,90,0,0,0,0,0,0,0,0,0,2,0,5,1,1,0,Central Coast Mariners,Western United,28/02/2025,Western United
Rhys Bozinovski,23,au AUS,CM,20-358,77,0,0,0,0,1,1,0,0,1,0,0,0,4,1,0,Central Coast Mariners,Western United,28/02/2025,Western United
Jordan Lauton,44,au AUS,MF,21-333,13,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,Central Coast Mariners,Western United,28/02/2025,Western United
Matthew Grimaldi,10,au AUS,RM,21-092,77,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,Central Coast Mariners,Western United,28/02/2025,Western United
Luke Vickery,37,au AUS,FW,19-126,13,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,Central Coast Mariners,Western United,28/02/2025,Western United
Charbel Shamoon,29,iq IRQ,LB,21-018,90,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,Central Coast Mariners,Western United,28/02/2025,Western United
Dylan Leonard,30,au AUS,CB,17-290,90,0,0,0,0,1,1,0,0,0,0,0,1,2,0,0,Central Coast Mariners,Western United,28/02/2025,Western United
Tomoki Imai,6,jp JPN,CB,34-091,90,0,0,0,0,1,1,0,0,1,0,0,0,0,3,1,Central Coast Mariners,Western United,28/02/2025,Western United
Tate Russell,13,au AUS,RB,25-188,90,0,0,0,0,0,0,0,0,2,1,0,1,2,0,0,Central Coast Mariners,Western United,28/02/2025,Western United
Matthew Sutton,33,au AUS,GK,24-358,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Central Coast Mariners,Western United,28/02/2025,Western United
Alou Kuol,9,au AUS,FW,24-154,45,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Central Coast Mariners,Western United,28/02/2025,Central Coast Mariners
Nicholas Duarte,29,au AUS,MF,21-074,45,0,0,0,0,3,1,0,0,1,1,0,0,1,0,0,Central Coast Mariners,Western United,28/02/2025,Central Coast Mariners
Miguel Di Pizio,23,au AUS,FW,19-055,84,0,0,0,0,2,0,0,0,2,1,0,3,1,3,0,Central Coast Mariners,Western United,28/02/2025,Central Coast Mariners
Bailey Brandtman,37,au AUS,FW,19-245,6,0,0,0,0,2,2,0,0,0,0,0,2,1,0,0,Central Coast Mariners,Western United,28/02/2025,Central Coast Mariners
Mikael Doka,10,br BRA,LM,25-035,90,0,0,0,0,1,0,0,0,0,1,0,8,0,0,0,Central Coast Mariners,Western United,28/02/2025,Central Coast Mariners
Harrison Steele,16,au AUS,CM,22-139,58,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Central Coast Mariners,Western United,28/02/2025,Central Coast Mariners
Alfie McCalmont,8,nir NIR,MF,24-340,32,0,0,0,0,3,0,1,0,1,0,0,0,1,0,0,Central Coast Mariners,Western United,28/02/2025,Central Coast Mariners
