gameId,gameTimeLocal,gameTimeUTC,duration,gameCode,gameStatusText,gameStatus,regulationPeriods,period,arenaId,arenaName,arenaCity,arenaState,arenaCountry,arenaTimezone,teamId,teamName,teamCity,teamTricode,score,teamStatus,status,order,personId,jerseyNum,position,starter,oncourt,played,name,nameI,firstName,familyName,statistics.assists,statistics.blocks,statistics.blocksReceived,statistics.fieldGoalsAttempted,statistics.fieldGoalsMade,statistics.fieldGoalsPercentage,statistics.foulsOffensive,statistics.foulsDrawn,statistics.foulsPersonal,statistics.foulsTechnical,statistics.freeThrowsAttempted,statistics.freeThrowsMade,statistics.freeThrowsPercentage,statistics.minus,statistics.minutes,statistics.minutesCalculated,statistics.plus,statistics.plusMinusPoints,statistics.points,statistics.pointsFastBreak,statistics.pointsInThePaint,statistics.pointsSecondChance,statistics.reboundsDefensive,statistics.reboundsOffensive,statistics.reboundsTotal,statistics.steals,statistics.threePointersAttempted,statistics.threePointersMade,statistics.threePointersPercentage,statistics.turnovers,statistics.twoPointersAttempted,statistics.twoPointersMade,statistics.twoPointersPercentage,notPlayingReason,notPlayingDescription
0022400037,2024-11-26T19:00:00-06:00,2024-11-27T01:00:00Z,139,20241126/HOUMIN,Final,3,4,5,61,Target Center,Minneapolis,MN,US,America/Chicago,1610612750,Timberwolves,Minnesota,MIN,111,HOME,ACTIVE,13,1631169,8,,0,0,0,Josh Minott,J. Minott,Josh,Minott,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,PT00M00.00S,PT00M,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,,
0022400037,2024-11-26T19:00:00-06:00,2024-11-27T01:00:00Z,139,20241126/HOUMIN,Final,3,4,5,61,Target Center,Minneapolis,MN,US,America/Chicago,1610612750,Timberwolves,Minnesota,MIN,111,HOME,ACTIVE,14,1630227,1,,0,0,0,Daishen Nix,D. Nix,Daishen,Nix,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,PT00M00.00S,PT00M,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,,
0022400037,2024-11-26T19:00:00-06:00,2024-11-27T01:00:00Z,139,20241126/HOUMIN,Final,3,4,5,61,Target Center,Minneapolis,MN,US,America/Chicago,1610612750,Timberwolves,Minnesota,MIN,111,HOME,ACTIVE,15,1630545,00,,0,0,0,Terrence Shannon Jr.,T. Shannon Jr.,Terrence,Shannon Jr.,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,PT00M00.00S,PT00M,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,,
0022400037,2024-11-26T19:00:00-06:00,2024-11-27T01:00:00Z,139,20241126/HOUMIN,Final,3,4,5,61,Target Center,Minneapolis,MN,US,America/Chicago,1610612750,Timberwolves,Minnesota,MIN,111,HOME,INACTIVE,16,201144,10,,0,0,0,Mike Conley,M. Conley,Mike,Conley,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,PT00M00.00S,PT00M,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,INACTIVE_INJURY,Left Great Toe; Sprain
0022400037,2024-11-26T19:00:00-06:00,2024-11-27T01:00:00Z,139,20241126/HOUMIN,Final,3,4,5,61,Target Center,Minneapolis,MN,US,America/Chicago,1610612750,Timberwolves,Minnesota,MIN,111,HOME,INACTIVE,17,1642399,14,,0,0,0,Jesse Edwards,J. Edwards,Jesse,Edwards,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,PT00M00.00S,PT00M,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,INACTIVE_GLEAGUE_TWOWAY,
0022400037,2024-11-26T19:00:00-06:00,2024-11-27T01:00:00Z,139,20241126/HOUMIN,Final,3,4,5,61,Target Center,Minneapolis,MN,US,America/Chicago,1610612750,Timberwolves,Minnesota,MIN,111,HOME,INACTIVE,18,204060,7,,0,0,0,Joe Ingles,J. Ingles,Joe,Ingles,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,PT00M00.00S,PT00M,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,INACTIVE_INJURY,Left Soleus; Strain
0022400039,2024-11-26T20:00:00-07:00,2024-11-27T03:00:00Z,139,20241126/LALPHX,Final,3,4,4,1000051,Footprint Center,Phoenix,AZ,US,America/Phoenix,1610612747,Lakers,Los Angeles,LAL,100,AWAY,ACTIVE,1,1629060,28,SF,1,0,1,Rui Hachimura,R. Hachimura,Rui,Hachimura,1,0,0,8,3,0.375,0,0,1,0,0,0,0.0,63.0,PT23M08.00S,PT23M,53.0,-10.0,7,0,2,0,1,0,1,0,4,1,0.25,0,4,2,0.5,,
0022400039,2024-11-26T20:00:00-07:00,2024-11-27T03:00:00Z,139,20241126/LALPHX,Final,3,4,4,1000051,Footprint Center,Phoenix,AZ,US,America/Phoenix,1610612747,Lakers,Los Angeles,LAL,100,AWAY,ACTIVE,2,2544,23,PF,1,0,1,LeBron James,L. James,LeBron,James,10,0,1,16,7,0.4375,0,2,0,0,2,2,1.0,96.0,PT34M44.03S,PT35M,66.0,-30.0,18,5,6,2,7,1,8,0,7,2,0.28571428571428603,5,9,5,0.555555555555556,,
0022400039,2024-11-26T20:00:00-07:00,2024-11-27T03:00:00Z,139,20241126/LALPHX,Final,3,4,4,1000051,Footprint Center,Phoenix,AZ,US,America/Phoenix,1610612747,Lakers,Los Angeles,LAL,100,AWAY,ACTIVE,3,203076,3,C,1,0,1,Anthony Davis,A. Davis,Anthony,Davis,5,4,0,19,10,0.5263157894736841,1,5,3,0,7,5,0.714285714285714,94.0,PT34M42.97S,PT35M,70.0,-24.0,25,0,18,0,13,2,15,1,2,0,0.0,3,17,10,0.5882352941176471,,
0022400039,2024-11-26T20:00:00-07:00,2024-11-27T03:00:00Z,139,20241126/LALPHX,Final,3,4,4,1000051,Footprint Center,Phoenix,AZ,US,America/Phoenix,1610612747,Lakers,Los Angeles,LAL,100,AWAY,ACTIVE,4,1629629,5,SG,1,1,1,Cam Reddish,C. Reddish,Cam,Reddish,1,0,1,3,0,0.0,0,0,3,0,0,0,0.0,57.0,PT22M58.00S,PT23M,58.0,1.0,0,0,0,0,2,0,2,2,1,0,0.0,0,2,0,0.0,,
