Player,Nation,Age,Minutes,ShotsOnTargetAgainst,GoalsAgainst,Saves,Save%,HomeTeam,Away_Team,Date,PlayerTeam
Noah James,au AUS,24-001,90,8,1,7,88%,Adelaide United,Newcastle Jets,15/02/2025,Newcastle Jets
Ethan Cox,au AUS,21-039,90,5,2,3,60%,Adelaide United,Newcastle Jets,15/02/2025,Adelaide United
Oliver Sail,nz NZL,29-033,90,7,1,6,86%,Melbourne City,Perth Glory,15/02/2025,Perth Glory
Patrick Beach,au AUS,21-193,90,3,0,3,100%,Melbourne City,Perth Glory,15/02/2025,Melbourne City
Albert Kelly-Heald,nz NZL,19-333,90,5,1,4,80%,Melbourne Victory,Wellington Phoenix,14/02/2025,Wellington Phoenix
Mitchell Langerak,au AUS,36-176,90,1,0,1,100%,Melbourne Victory,Wellington Phoenix,14/02/2025,Melbourne Victory
Filip Kurto,pl POL,33-247,90,8,2,6,75%,Western Sydney Wanderers,Macarthur FC,16/02/2025,Macarthur FC
Lawrence Thomas,au AUS,32-283,90,5,1,4,80%,Western Sydney Wanderers,Macarthur FC,16/02/2025,Western Sydney Wanderers
Alex Paulsen,nz NZL,22-226,90,3,0,3,100%,Western United,Auckland FC,15/02/2025,Auckland FC
Matthew Sutton,au AUS,24-345,90,2,2,0,0%,Western United,Auckland FC,15/02/2025,Western United
