DATE,HOME_TEAM,AWAY_TEAM,HOME_HT_SCORE,AWAY_HT_SCORE
11/03/2017,Melbourne Victory,Perth Glory,2,1
18/03/2017,Melbourne City,Newcastle Jets,1,0
19/03/2017,Adelaide United,Brisbane Roar,1,0
19/03/2017,Western Sydney Wanderers,Wellington Phoenix,2,0
24/03/2017,Western Sydney Wanderers,Melbourne City,1,1
25/03/2017,Brisbane Roar,Melbourne Victory,0,0
25/03/2017,Central Coast Mariners,Adelaide United,1,0
26/03/2017,Perth Glory,Sydney FC,0,2
26/03/2017,Wellington Phoenix,Newcastle Jets,2,0
31/03/2017,Adelaide United,Perth Glory,1,1
1/04/2017,Newcastle Jets,Western Sydney Wanderers,0,2
1/04/2017,Sydney FC,Melbourne City,0,0
2/04/2017,Brisbane Roar,Central Coast Mariners,0,0
2/04/2017,Melbourne Victory,Wellington Phoenix,0,2
7/04/2017,Melbourne City,Adelaide United,1,0
8/04/2017,Perth Glory,Brisbane Roar,1,0
8/04/2017,Wellington Phoenix,Sydney FC,0,0
8/04/2017,Western Sydney Wanderers,Melbourne Victory,0,0
9/04/2017,Central Coast Mariners,Newcastle Jets,1,0
14/04/2017,Melbourne Victory,Central Coast Mariners,0,0
15/04/2017,Adelaide United,Western Sydney Wanderers,2,0
15/04/2017,Sydney FC,Newcastle Jets,0,0
16/04/2017,Brisbane Roar,Wellington Phoenix,1,3
16/04/2017,Perth Glory,Melbourne City,1,1
21/04/2017,Brisbane Roar,Western Sydney Wanderers,0,1
23/04/2017,Melbourne City,Perth Glory,0,2
29/04/2017,Sydney FC,Perth Glory,3,0
30/04/2017,Melbourne Victory,Brisbane Roar,0,0
7/05/2017,Sydney FC,Melbourne Victory,0,1
6/10/2017,Melbourne City,Brisbane Roar,1,0
7/10/2017,Central Coast Mariners,Newcastle Jets,1,3
7/10/2017,Melbourne Victory,Sydney FC,0,0
8/10/2017,Wellington Phoenix,Adelaide United,1,1
8/10/2017,Western Sydney Wanderers,Perth Glory,2,0
13/10/2017,Brisbane Roar,Adelaide United,1,0
14/10/2017,Melbourne Victory,Melbourne City,0,1
14/10/2017,Western Sydney Wanderers,Central Coast Mariners,1,1
15/10/2017,Newcastle Jets,Perth Glory,1,1
15/10/2017,Sydney FC,Wellington Phoenix,2,1
20/10/2017,Adelaide United,Melbourne Victory,1,1
21/10/2017,Melbourne City,Wellington Phoenix,0,0
21/10/2017,Sydney FC,Western Sydney Wanderers,1,2
22/10/2017,Perth Glory,Central Coast Mariners,0,1
22/10/2017,Brisbane Roar,Newcastle Jets,1,2
27/10/2017,Sydney FC,Perth Glory,1,0
28/10/2017,Adelaide United,Melbourne City,0,2
28/10/2017,Wellington Phoenix,Brisbane Roar,3,1
29/10/2017,Central Coast Mariners,Melbourne Victory,0,0
29/10/2017,Newcastle Jets,Western Sydney Wanderers,0,1
3/11/2017,Melbourne City,Sydney FC,0,0
4/11/2017,Newcastle Jets,Wellington Phoenix,2,0
4/11/2017,Perth Glory,Adelaide United,0,0
5/11/2017,Brisbane Roar,Central Coast Mariners,0,0
6/11/2017,Melbourne Victory,Western Sydney Wanderers,0,1
10/11/2017,Central Coast Mariners,Sydney FC,1,0
11/11/2017,Adelaide United,Newcastle Jets,1,1
11/11/2017,Melbourne Victory,Brisbane Roar,0,0
12/11/2017,Melbourne City,Western Sydney Wanderers,0,1
12/11/2017,Wellington Phoenix,Perth Glory,2,1
16/11/2017,Central Coast Mariners,Adelaide United,1,0
17/11/2017,Brisbane Roar,Melbourne City,2,0
18/11/2017,Sydney FC,Newcastle Jets,1,0
19/11/2017,Perth Glory,Melbourne Victory,0,0
23/11/2017,Newcastle Jets,Melbourne Victory,2,1
24/11/2017,Melbourne City,Perth Glory,1,2
25/11/2017,Sydney FC,Brisbane Roar,2,0
25/11/2017,Wellington Phoenix,Central Coast Mariners,0,1
26/11/2017,Adelaide United,Western Sydney Wanderers,1,0
1/12/2017,Adelaide United,Sydney FC,0,1
2/12/2017,Newcastle Jets,Melbourne City,1,1
2/12/2017,Western Sydney Wanderers,Brisbane Roar,0,1
3/12/2017,Central Coast Mariners,Perth Glory,0,0
3/12/2017,Wellington Phoenix,Melbourne Victory,2,0
8/12/2017,Melbourne Victory,Adelaide United,0,1
9/12/2017,Brisbane Roar,Wellington Phoenix,0,0
9/12/2017,Perth Glory,Newcastle Jets,1,0
9/12/2017,Western Sydney Wanderers,Sydney FC,0,3
10/12/2017,Melbourne City,Central Coast Mariners,0,0
15/12/2017,Sydney FC,Melbourne City,2,1
16/12/2017,Central Coast Mariners,Western Sydney Wanderers,0,1
16/12/2017,Newcastle Jets,Adelaide United,0,0
16/12/2017,Perth Glory,Wellington Phoenix,0,0
17/12/2017,Brisbane Roar,Melbourne Victory,0,2
21/12/2017,Brisbane Roar,Perth Glory,1,0
22/12/2017,Newcastle Jets,Western Sydney Wanderers,1,0
23/12/2017,Melbourne City,Melbourne Victory,0,0
23/12/2017,Wellington Phoenix,Sydney FC,1,2
26/12/2017,Adelaide United,Central Coast Mariners,1,0
29/12/2017,Melbourne Victory,Newcastle Jets,1,1
30/12/2017,Adelaide United,Brisbane Roar,0,2
30/12/2017,Sydney FC,Perth Glory,1,0
31/12/2017,Central Coast Mariners,Wellington Phoenix,0,0
1/01/2018,Western Sydney Wanderers,Melbourne City,2,1
3/01/2018,Sydney FC,Newcastle Jets,1,1
5/01/2018,Brisbane Roar,Western Sydney Wanderers,0,2
5/01/2018,Perth Glory,Adelaide United,0,1
6/01/2018,Melbourne City,Wellington Phoenix,0,1
6/01/2018,Melbourne Victory,Central Coast Mariners,0,0
8/01/2018,Brisbane Roar,Sydney FC,0,1
9/01/2018,Newcastle Jets,Central Coast Mariners,0,0
9/01/2018,Perth Glory,Melbourne City,0,2
10/01/2018,Wellington Phoenix,Melbourne Victory,0,1
10/01/2018,Western Sydney Wanderers,Adelaide United,0,0
12/01/2018,Newcastle Jets,Brisbane Roar,1,0
13/01/2018,Melbourne Victory,Perth Glory,1,1
13/01/2018,Wellington Phoenix,Western Sydney Wanderers,0,1
14/01/2018,Adelaide United,Sydney FC,0,0
14/01/2018,Central Coast Mariners,Melbourne City,1,1
18/01/2018,Brisbane Roar,Perth Glory,1,1
19/01/2018,Western Sydney Wanderers,Melbourne Victory,0,1
20/01/2018,Newcastle Jets,Wellington Phoenix,0,2
20/01/2018,Sydney FC,Central Coast Mariners,0,1
21/01/2018,Melbourne City,Adelaide United,2,0
25/01/2018,Melbourne City,Newcastle Jets,1,1
26/01/2018,Melbourne Victory,Sydney FC,0,0
27/01/2018,Central Coast Mariners,Brisbane Roar,0,1
27/01/2018,Wellington Phoenix,Adelaide United,0,1
28/01/2018,Perth Glory,Western Sydney Wanderers,3,1
2/02/2018,Sydney FC,Wellington Phoenix,2,0
3/02/2018,Adelaide United,Perth Glory,2,1
3/02/2018,Newcastle Jets,Melbourne Victory,1,0
4/02/2018,Brisbane Roar,Melbourne City,1,1
4/02/2018,Central Coast Mariners,Western Sydney Wanderers,0,2
9/02/2018,Melbourne Victory,Brisbane Roar,0,2
10/02/2018,Melbourne City,Sydney FC,0,2
11/02/2018,Western Sydney Wanderers,Wellington Phoenix,1,0
16/02/2018,Western Sydney Wanderers,Newcastle Jets,1,0
17/02/2018,Adelaide United,Central Coast Mariners,0,1
17/02/2018,Wellington Phoenix,Perth Glory,1,1
23/02/2018,Central Coast Mariners,Wellington Phoenix,1,0
24/02/2018,Brisbane Roar,Newcastle Jets,0,0
