Player,Nation,Age,Minutes,ShotsOnTargetAgainst,GoalsAgainst,Saves,Save%,HomeTeam,Away_Team,Date,PlayerTeam
Noah James,au AUS,24-026,90,8,0,8,100,Melbourne City,Newcastle Jets,12/03/2025,Newcastle Jets
Patrick Beach,au AUS,21-218,90,1,1,0,0,Melbourne City,Newcastle Jets,12/03/2025,Melbourne City
