Player,Number,Nation,Pos,Age,Minutes,Goals,Assists,Penalty_Goals,Penalty_Shots,Shots,ShotsOnTarget,CardsYellow,CardsRed,FoulsAgainst,FoulsFor,Offsides,Crosses,TacklesWon,Intercepts,OwnGoals,date,player_team,date,player_team
Sasha Kuzevski,27,au AUS,MF,23-332,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Central Coast Mariners,Western Sydney Wanderers,22/02/2025,Central Coast Mariners
Nathan Paull,33,au AUS,CB,21-185,45,0,0,0,0,1,0,0,0,1,1,0,0,2,0,0,Central Coast Mariners,Western Sydney Wanderers,22/02/2025,Central Coast Mariners
Abdelelah Faisal,21,au AUS,FW,19-118,45,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,Central Coast Mariners,Western Sydney Wanderers,22/02/2025,Central Coast Mariners
Brian Kaltack,3,vu VAN,CB,31-145,90,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,Central Coast Mariners,Western Sydney Wanderers,22/02/2025,Central Coast Mariners
Trent Sainsbury,4,au AUS,CB,33-048,90,0,0,0,0,0,0,1,0,4,2,0,0,0,3,0,Central Coast Mariners,Western Sydney Wanderers,22/02/2025,Central Coast Mariners
Adam Pavlesic,1,au AUS,GK,22-207,90,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Central Coast Mariners,Western Sydney Wanderers,22/02/2025,Central Coast Mariners
Andreas Kuen,30,at AUT,FW,29-335,75,0,0,0,0,1,0,1,0,1,1,0,6,0,0,0,Melbourne Victory,Melbourne City,22/02/2025,Melbourne City
Lawrence Wong,41,au AUS,MF,17-139,15,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Melbourne Victory,Melbourne City,22/02/2025,Melbourne City
Max Caputo,17,au AUS,FW,19-189,59,0,1,0,0,2,2,0,0,1,0,3,1,0,0,0,Melbourne Victory,Melbourne City,22/02/2025,Melbourne City
Zane Schreiber,19,au AUS,MF,19-267,31,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Melbourne Victory,Melbourne City,22/02/2025,Melbourne City
Kavian Rahmani,47,au AUS,AM,18-055,59,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Melbourne Victory,Melbourne City,22/02/2025,Melbourne City
Harry Politidis,38,au AUS,DF,22-239,31,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,Melbourne Victory,Melbourne City,22/02/2025,Melbourne City
Mathew Leckie,7,au AUS,AM,34-018,90,0,0,0,0,1,0,0,0,1,2,0,0,1,0,0,Melbourne Victory,Melbourne City,22/02/2025,Melbourne City
Marco Tilio,23,au AUS,AM,23-183,85,1,0,0,0,4,1,0,0,1,1,0,2,0,0,0,Melbourne Victory,Melbourne City,22/02/2025,Melbourne City
Callum Talbot,2,au AUS,DF,23-362,5,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,Melbourne Victory,Melbourne City,22/02/2025,Melbourne City
Kai Trewin,27,au AUS,DM,23-280,90,1,0,1,1,2,1,1,0,1,0,0,0,1,0,0,Melbourne Victory,Melbourne City,22/02/2025,Melbourne City
Aziz Behich,16,au AUS,LB,34-068,90,0,0,0,0,0,0,0,0,2,3,0,1,1,0,0,Melbourne Victory,Melbourne City,22/02/2025,Melbourne City
Samuel Souprayen,26,fr FRA,CB,36-004,90,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,Melbourne Victory,Melbourne City,22/02/2025,Melbourne City
German Ferreyra,22,ar ARG,CB,29-040,90,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,Melbourne Victory,Melbourne City,22/02/2025,Melbourne City
Nathaniel Atkinson,13,au AUS,RB,25-254,90,0,0,0,0,1,1,1,0,0,3,0,1,3,1,0,Melbourne Victory,Melbourne City,22/02/2025,Melbourne City
Patrick Beach,33,au AUS,GK,21-200,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Melbourne Victory,Melbourne City,22/02/2025,Melbourne City
Nikos Vergos,9,gr GRE,FW,29-040,65,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,Melbourne Victory,Melbourne City,22/02/2025,Melbourne Victory
Bruno Fornaroli,10,au AUS,FW,37-168,25,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,Melbourne Victory,Melbourne City,22/02/2025,Melbourne Victory
Reno Piscopo,27,au AUS,AM,26-271,65,0,0,0,0,3,2,0,0,1,2,0,5,0,1,0,Melbourne Victory,Melbourne City,22/02/2025,Melbourne Victory
Daniel Arzani,7,au AUS,MF,26-049,25,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,Melbourne Victory,Melbourne City,22/02/2025,Melbourne Victory
Zinédine Machach,8,fr FRA,AM,29-048,90,1,0,1,1,3,1,0,0,1,2,0,0,3,0,0,Melbourne Victory,Melbourne City,22/02/2025,Melbourne Victory
Santos,11,br BRA,AM,23-210,85,1,0,0,0,4,2,0,0,2,3,0,0,1,0,0,Melbourne Victory,Melbourne City,22/02/2025,Melbourne Victory
Nishan Velupillay,17,au AUS,MF,23-291,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Melbourne Victory,Melbourne City,22/02/2025,Melbourne Victory
Jordi Valadon,14,au AUS,DM,21-355,79,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,Melbourne Victory,Melbourne City,22/02/2025,Melbourne Victory
Fabian Monge,18,au AUS,MF,23-225,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Melbourne Victory,Melbourne City,22/02/2025,Melbourne Victory
Ryan Teague,6,au AUS,DM,23-029,90,0,0,0,0,1,1,0,0,1,0,0,1,4,0,0,Melbourne Victory,Melbourne City,22/02/2025,Melbourne Victory
Kasey Bos,28,au AUS,LB,20-290,85,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,Melbourne Victory,Melbourne City,22/02/2025,Melbourne Victory
Adama Traore,3,ci CIV,"DF,MF",35-019,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Melbourne Victory,Melbourne City,22/02/2025,Melbourne Victory
Lachlan Jackson,4,au AUS,CB,29-347,90,0,0,0,0,1,0,0,0,1,1,0,0,0,2,0,Melbourne Victory,Melbourne City,22/02/2025,Melbourne Victory
Roderick Miranda,21,pt POR,CB,33-329,90,0,0,0,0,0,0,1,0,3,1,0,0,2,2,0,Melbourne Victory,Melbourne City,22/02/2025,Melbourne Victory
Joshua Rawlins,22,au AUS,RB,20-305,90,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,Melbourne Victory,Melbourne City,22/02/2025,Melbourne Victory
Mitchell Langerak,1,au AUS,GK,36-184,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Melbourne Victory,Melbourne City,22/02/2025,Melbourne Victory
Henry Hore,13,au AUS,FW,25-188,90,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,Newcastle Jets,Brisbane Roar,21/02/2025,Brisbane Roar
Florin Berenguer,10,fr FRA,FW,35-326,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Newcastle Jets,Brisbane Roar,21/02/2025,Brisbane Roar
Nathan Amanatidis,17,au AUS,FW,19-029,45,0,0,0,0,2,2,0,0,2,1,0,1,0,0,0,Newcastle Jets,Brisbane Roar,21/02/2025,Brisbane Roar
Keegan Jelacic,23,nz NZL,LW,22-205,90,0,0,0,0,1,1,0,0,0,1,0,6,0,1,0,Newcastle Jets,Brisbane Roar,21/02/2025,Brisbane Roar
Ben Halloran,27,au AUS,RW,32-252,69,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,Newcastle Jets,Brisbane Roar,21/02/2025,Brisbane Roar
Asumah Abubakar,11,pt POR,FW,27-287,21,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,Newcastle Jets,Brisbane Roar,21/02/2025,Brisbane Roar
Jay OShea,26,ie IRL,CM,36-195,90,1,0,0,0,2,1,0,0,0,2,0,0,1,1,0,Newcastle Jets,Brisbane Roar,21/02/2025,Brisbane Roar
Samuel Klein,24,au AUS,CM,,82,0,0,0,0,3,1,0,0,3,1,0,0,0,1,0,Newcastle Jets,Brisbane Roar,21/02/2025,Brisbane Roar
Jacob Brazete,18,au AUS,FW,19-032,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,Newcastle Jets,Brisbane Roar,21/02/2025,Brisbane Roar
Louis Zabala,35,au AUS,LB,24-027,69,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,Newcastle Jets,Brisbane Roar,21/02/2025,Brisbane Roar
Austin Ludwik,6,,DF,,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Newcastle Jets,Brisbane Roar,21/02/2025,Brisbane Roar
Hosine Bility,15,au AUS,CB,23-287,90,0,0,0,0,0,0,1,0,2,2,0,0,0,1,0,Newcastle Jets,Brisbane Roar,21/02/2025,Brisbane Roar
Walid Shour,8,lb LIB,CB,28-256,90,0,0,0,0,0,0,1,0,1,1,0,0,1,3,0,Newcastle Jets,Brisbane Roar,21/02/2025,Brisbane Roar
Antonee Burke-Gilroy,21,au AUS,RB,27-141,82,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,Newcastle Jets,Brisbane Roar,21/02/2025,Brisbane Roar
Adam Zimarino,43,au AUS,MF,23-177,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Newcastle Jets,Brisbane Roar,21/02/2025,Brisbane Roar
Macklin Freke,1,au AUS,GK,26-046,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Newcastle Jets,Brisbane Roar,21/02/2025,Brisbane Roar
Lachlan Rose,9,au AUS,FW,25-287,81,0,0,0,0,3,1,0,0,0,3,1,0,0,1,0,Newcastle Jets,Brisbane Roar,21/02/2025,Newcastle Jets
Ben Gibson,22,au AUS,FW,22-049,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Newcastle Jets,Brisbane Roar,21/02/2025,Newcastle Jets
Clayton Taylor,13,au AUS,AM,20-357,86,1,0,0,0,2,1,0,0,1,0,1,2,2,1,0,Newcastle Jets,Brisbane Roar,21/02/2025,Newcastle Jets
Will Dobson,28,au AUS,MF,17-167,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Newcastle Jets,Brisbane Roar,21/02/2025,Newcastle Jets
Eli Adams,7,au AUS,AM,22-346,86,1,0,0,0,4,2,0,0,4,2,0,0,1,0,0,Newcastle Jets,Brisbane Roar,21/02/2025,Newcastle Jets
Matthew Scarcella,6,au AUS,MF,20-354,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Newcastle Jets,Brisbane Roar,21/02/2025,Newcastle Jets
Daniel Wilmering,23,au AUS,DM,24-064,90,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,Newcastle Jets,Brisbane Roar,21/02/2025,Newcastle Jets
Lachlan Bayliss,37,au AUS,DM,22-212,90,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,Newcastle Jets,Brisbane Roar,21/02/2025,Newcastle Jets
Callum Timmins,19,au AUS,DM,25-060,82,0,0,0,0,2,1,0,0,1,3,0,0,0,0,0,Newcastle Jets,Brisbane Roar,21/02/2025,Newcastle Jets
Charles MMombwa,20,tz TAN,MF,26-344,8,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Newcastle Jets,Brisbane Roar,21/02/2025,Newcastle Jets
Kota Mizunuma,18,jp JPN,DM,34-365,89,1,0,0,0,2,1,0,0,2,0,0,6,0,0,0,Newcastle Jets,Brisbane Roar,21/02/2025,Newcastle Jets
Garang Arou,60,au AUS,DF,20-321,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Newcastle Jets,Brisbane Roar,21/02/2025,Newcastle Jets
Mark Natta,33,au AUS,CB,22-085,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Newcastle Jets,Brisbane Roar,21/02/2025,Newcastle Jets
Kostandinos Grozos,17,au AUS,CB,24-195,90,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,Newcastle Jets,Brisbane Roar,21/02/2025,Newcastle Jets
Thomas Aquilina,39,au AUS,CB,24-019,90,0,0,0,0,1,0,0,0,0,1,0,0,3,4,0,Newcastle Jets,Brisbane Roar,21/02/2025,Newcastle Jets
Noah James,21,au AUS,GK,24-007,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Newcastle Jets,Brisbane Roar,21/02/2025,Newcastle Jets
Jaiden Kucharski,25,au AUS,FW,22-242,45,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,Perth Glory,Sydney FC,22/02/2025,Sydney FC
Patryk Klimala,9,pl POL,FW,26-201,45,0,0,0,0,3,1,0,0,3,0,1,0,0,0,0,Perth Glory,Sydney FC,22/02/2025,Sydney FC
Adrian Segecic,7,au AUS,AM,20-266,65,0,0,0,0,3,0,0,0,0,3,0,1,0,0,0,Perth Glory,Sydney FC,22/02/2025,Sydney FC
Douglas Costa,11,br BRA,"FW,MF",34-161,25,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,Perth Glory,Sydney FC,22/02/2025,Sydney FC
Anthony Caceres,17,au AUS,AM,32-146,90,0,0,0,0,1,0,0,0,3,0,0,2,2,0,0,Perth Glory,Sydney FC,22/02/2025,Sydney FC
Joe Lolley,10,eng ENG,AM,32-181,90,0,0,0,0,2,1,0,0,0,2,1,9,0,0,0,Perth Glory,Sydney FC,22/02/2025,Sydney FC
Leo Sena,15,br BRA,DM,29-053,90,0,0,0,0,2,0,0,0,0,4,0,0,1,1,0,Perth Glory,Sydney FC,22/02/2025,Sydney FC
Wataru Kamijo,24,au AUS,DM,18-311,65,0,0,0,0,0,0,0,0,2,1,0,0,2,2,0,Perth Glory,Sydney FC,22/02/2025,Sydney FC
Anas Ouahim,8,de GER,"FW,MF",27-152,25,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,Perth Glory,Sydney FC,22/02/2025,Sydney FC
Jordan Courtney-Perkins,4,au AUS,LB,22-108,90,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,Perth Glory,Sydney FC,22/02/2025,Sydney FC
Joel King,16,au AUS,CB,24-115,90,0,0,0,0,1,0,0,0,0,0,0,1,1,2,0,Perth Glory,Sydney FC,22/02/2025,Sydney FC
Rhyan Grant,23,au AUS,CB,33-362,90,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,Perth Glory,Sydney FC,22/02/2025,Sydney FC
Zac De Jesus,21,au AUS,RB,19-018,65,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,Perth Glory,Sydney FC,22/02/2025,Sydney FC
Will Kennedy,37,au AUS,DF,20-008,25,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,Perth Glory,Sydney FC,22/02/2025,Sydney FC
Harrison Devenish-Meares,12,au AUS,GK,28-118,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Perth Glory,Sydney FC,22/02/2025,Sydney FC
Adam Taggart,22,au AUS,FW,31-265,90,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,Perth Glory,Sydney FC,22/02/2025,Perth Glory
Nikola Mileusnic,10,au AUS,FW,31-220,58,0,0,0,0,1,1,0,0,0,0,0,6,1,0,0,Perth Glory,Sydney FC,22/02/2025,Perth Glory
Hiroaki Aoyama,11,jp JPN,MF,28-131,32,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,Perth Glory,Sydney FC,22/02/2025,Perth Glory
Lachlan Wales,18,au AUS,AM,27-126,90,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,Perth Glory,Sydney FC,22/02/2025,Perth Glory
Luke Amos,21,eng ENG,AM,27-365,58,0,0,0,0,1,0,0,0,1,2,0,0,1,6,0,Perth Glory,Sydney FC,22/02/2025,Perth Glory
Taras Gomulka,12,au AUS,MF,23-159,32,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,Perth Glory,Sydney FC,22/02/2025,Perth Glory
Trent Ostler,20,au AUS,AM,22-325,90,0,0,0,0,2,1,0,0,2,1,0,1,1,0,0,Perth Glory,Sydney FC,22/02/2025,Perth Glory
Nicholas Pennington,7,au AUS,DM,26-066,90,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,Perth Glory,Sydney FC,22/02/2025,Perth Glory
Yuto Misao,17,jp JPN,LB,33-312,85,0,0,0,0,0,0,0,0,1,2,0,2,2,1,0,Perth Glory,Sydney FC,22/02/2025,Perth Glory
Anas Hamzaoui,3,be BEL,DF,28-223,5,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,Perth Glory,Sydney FC,22/02/2025,Perth Glory
Tass Mourdoukoutas,4,au AUS,CB,25-356,45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Perth Glory,Sydney FC,22/02/2025,Perth Glory
